match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_bigChanceCreated,stat_outfielderBlock,stat_totalContest,stat_unsuccessfulTouch,stat_dispossessed,stat_clearanceOffLine,stat_challengeLost,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyMiss,stat_totalOffside,stat_penaltyWon,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
12514069,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,26.0,13.0,17.0,4.0,0.0,9.0,10.0,4.0,16.0,1.0,8.0,2.0,2.0,1.0,90.0,33.0,7.1,14.0,0.0009964,0,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514069,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,31.0,20.0,5.0,3.0,0.0,10.0,12.0,11.0,20.0,2.0,4.0,,,,90.0,49.0,7.6,15.0,0.117462,1,,1.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0457,0.0636,2.0,,,,,,,,,,,,,,,,,,,,
12514069,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,28.0,21.0,5.0,2.0,0.0,19.0,22.0,2.0,6.0,3.0,1.0,,,,90.0,38.0,7.1,7.0,0.0228199,2,,,,2.0,4.0,5.0,,1.0,1.0,,2.0,3.0,0.0373,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12514069,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,,33.0,24.0,9.0,3.0,0.0,17.0,20.0,7.0,14.0,5.0,1.0,,,,90.0,48.0,7.5,11.0,0.0137805,2,,1.0,,3.0,1.0,4.0,,,1.0,,,,0.1232,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12514069,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,M,2,2,False,,7.0,2.0,2.0,,0.0,1.0,5.0,1.0,2.0,,,,,,62.0,17.0,6.0,9.0,0.00105584,0,,,,,4.0,2.0,,,1.0,,1.0,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,,,
12514069,home,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,False,,31.0,26.0,3.0,1.0,0.0,14.0,14.0,12.0,19.0,1.0,3.0,,,,84.0,42.0,6.8,9.0,0.0155133,0,,2.0,,1.0,2.0,4.0,,,,,3.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12514069,home,Santa Clara,Gustavo Klismahn,Klismahn,,gustavo-klismahn,G. Klismahn,M,77,179,89,M,1162051,EUR,943315200,M,77,77,False,,20.0,17.0,7.0,5.0,0.0,6.0,6.0,14.0,22.0,2.0,5.0,,,,79.0,47.0,7.7,11.0,0.19974,2,,8.0,3.0,,9.0,7.0,,,4.0,2.0,3.0,4.0,0.0412,,5.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12514069,home,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,M,3,3,False,,19.0,10.0,3.0,,0.0,6.0,8.0,5.0,14.0,,5.0,,,,84.0,44.0,6.7,18.0,0.0718213,1,,3.0,1.0,1.0,6.0,5.0,,2.0,1.0,,2.0,,0.0586,,,2.0,1.0,,,2.0,3.0,,,3.0,1.0,,,,,,,,,,
12514069,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,15.0,12.0,2.0,2.0,0.0,2.0,3.0,10.0,13.0,1.0,4.0,,,,90.0,30.0,6.4,6.0,0.0859788,7,,1.0,,1.0,8.0,2.0,2.0,,,,,1.0,1.6941,1.1241,2.0,5.0,4.0,1.0,,1.0,,2.0,,,1.0,3.0,1.0,1.0,,,,,,,
12514069,home,Santa Clara,Alisson Safira,,,allison-safira,A. Safira,F,25,178,356,M,870927,EUR,795398400,F,9,9,False,,7.0,4.0,,,0.0,,,4.0,7.0,,,,,,45.0,9.0,6.8,3.0,0.0203218,0,,,,3.0,1.0,5.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
12514069,home,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,F,11,11,False,,10.0,7.0,1.0,1.0,0.0,2.0,3.0,5.0,9.0,,2.0,,,,90.0,32.0,7.8,10.0,0.0376042,4,,2.0,,2.0,4.0,6.0,3.0,,,,3.0,,0.527,0.6057,2.0,1.0,,,,4.0,2.0,,,,1.0,,1.0,,,1.0,,,,,
12514069,home,Santa Clara,Ricardinho,,,ricardinho,Ricardinho,M,21,178,116,M,1094399,EUR,902361600,M,10,10,True,,10.0,6.0,,,0.0,1.0,1.0,5.0,10.0,1.0,2.0,,,,45.0,24.0,7.0,10.0,0.00200471,1,,1.0,,,9.0,1.0,1.0,3.0,,,,2.0,0.6922,0.991,,3.0,,,,2.0,1.0,3.0,,,1.0,,,,,,1.0,,,,
