match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,captain,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist,stat_goodHighClaim
11352470,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,17.0,12.0,7.0,2.0,11.0,13.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,90.0,26.0,6.6,5.0,0.0118232,0,-0.0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352470,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,7,7,False,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,35.0,10.0,6.9,,0.00532137,2,,,,1.0,1.0,1.0,1.0,1.0,0.1248,0.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352470,home,Nottingham Forest,Willy Boly,willy-boly,W. Boly,D,30,195,1884,M,139310,EUR,665539200,D,30,30,False,27.0,22.0,4.0,3.0,14.0,16.0,8.0,11.0,10.0,4.0,,,,84.0,48.0,7.2,9.0,0.0021169,1,,,,1.0,,,,2.0,0.084,,1.0,6.0,2.0,2.0,1.0,1.0,2.0,8.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,
11352470,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,40,40,False,34.0,22.0,9.0,3.0,17.0,24.0,5.0,10.0,3.0,4.0,,,,74.0,46.0,6.6,14.0,0.00115986,1,,Murillo,,,,,4.0,,0.5533,,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,murillosantiago40,1.0,1.0,,,,,,,,,,,,,
11352470,home,Nottingham Forest,Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,8301,M,758168,EUR,826243200,D,19,19,False,35.0,29.0,5.0,2.0,20.0,22.0,9.0,13.0,,5.0,,,,90.0,44.0,6.4,7.0,0.00488698,0,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,niakhate,,,1.0,,,,,,,,,,,,
11352470,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,43,43,False,32.0,29.0,2.0,2.0,8.0,9.0,24.0,29.0,8.0,7.0,1.0,,,90.0,62.0,7.4,11.0,0.174297,0,,,,,,,,,,,,5.0,2.0,4.0,4.0,,2.0,3.0,3.0,2.0,2.0,,,,1.0,6.0,3.0,1.0,,,,,,,,,
11352470,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,M,21,21,False,18.0,16.0,,,8.0,9.0,8.0,10.0,1.0,5.0,,,,74.0,24.0,6.6,5.0,0.107752,0,,,,,,,1.0,,,,1.0,3.0,1.0,2.0,1.0,,,,,,,anthonyelanga,,,,1.0,,1.0,1.0,1.0,,,,,,,
11352470,home,Nottingham Forest,Danilo,danilo,Danilo,M,8,177,5250,M,1064039,EUR,988502400,M,28,28,False,29.0,24.0,6.0,4.0,12.0,14.0,13.0,17.0,3.0,5.0,,,,74.0,37.0,6.9,8.0,0.0267928,0,,,,,,,,,,,,2.0,1.0,,,,1.0,3.0,2.0,1.0,1.0,Danilo,,,,2.0,1.0,2.0,,,,,,,,,
11352470,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,42.0,37.0,6.0,3.0,19.0,21.0,19.0,22.0,1.0,11.0,1.0,,,90.0,63.0,6.7,12.0,0.0938377,3,,,,,,1.0,,,0.1088,,,6.0,3.0,2.0,,2.0,3.0,,,1.0,1.0,Morgangibbs27,,,,1.0,1.0,1.0,,,True,,,,,,
11352470,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,38.0,35.0,1.0,,8.0,9.0,29.0,34.0,2.0,5.0,1.0,,,90.0,55.0,7.2,10.0,0.168756,3,,,,,1.0,,,,0.0899,0.5613,,2.0,2.0,1.0,1.0,2.0,,,,1.0,,Calteck10,,,,5.0,2.0,2.0,,,,,,,,,
