match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_fouls,captain,stat_onTargetScoringAttempt,stat_keyPass,stat_goals,stat_accurateCross,player_sofascoreId,stat_errorLeadToAGoal,stat_goodHighClaim,stat_ownGoals,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt
10382202,home,FC Emmen,Mickey van der Hart,mickey-van-der-hart,M. v. d. Hart,G,188,97,M,242313,EUR,771465600,G,32,32,False,30.0,22.0,14.0,7.0,19.0,21.0,3.0,9.0,10.0,3.0,5.0,1.0,1.0,90.0,45.0,7.4,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382202,home,FC Emmen,Mohamed Bouchouari,mohamed-bouchouari,M. Bouchouari,D,170,778,M,965329,EUR,974246400,D,34,34,False,39.0,25.0,1.0,1.0,8.0,12.0,17.0,31.0,5.0,,,,,90.0,64.0,6.3,24.0,0,,,34,4.0,1.0,3.0,9.0,8.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10382202,home,FC Emmen,Mike te Wierik,mike-te-wierik,M. t. Wierik,D,191,47,M,127554,EUR,707961600,D,17,17,False,73.0,57.0,6.0,1.0,29.0,33.0,28.0,40.0,7.0,,,,,90.0,91.0,6.9,18.0,1,,,23,,,2.0,6.0,7.0,1.0,,,,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,,,
10382202,home,FC Emmen,Miguel Araujo,miguel-araujo,M. Araujo,D,178,883,M,370226,EUR,782956800,D,5,5,False,82.0,70.0,7.0,4.0,41.0,47.0,29.0,35.0,4.0,,,,,90.0,95.0,6.7,14.0,0,,,20,,4.0,1.0,5.0,4.0,,,1.0,,1.0,2.0,,1.0,1.0,,3.0,,,,,,,,,,,,,,
10382202,home,FC Emmen,Jeroen Veldmate,jeroen-veldmate,J. Veldmate,D,187,9,,28111,EUR,594950400,D,4,4,False,39.0,36.0,2.0,2.0,24.0,25.0,12.0,14.0,5.0,,,,,45.0,46.0,6.6,3.0,0,,,,,1.0,,1.0,1.0,,,,,2.0,,,,1.0,,2.0,,,True,,,,,,,,,,,
10382202,home,FC Emmen,Lorenzo Burnet,lorenzo-burnet,L. Burnet,D,170,12,M,100384,EUR,663552000,D,18,18,False,15.0,10.0,2.0,1.0,7.0,8.0,3.0,9.0,3.0,,,,,31.0,23.0,7.0,7.0,1,Lorenzo,Burnet,18,2.0,,,,2.0,,,,,,2.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,
10382202,home,FC Emmen,Ahmed El Messaoudi,ahmed-el-messaoudi,A. E. Messaoudi,M,182,170,M,369798,EUR,807408000,M,23,23,False,30.0,21.0,,,5.0,6.0,16.0,24.0,4.0,,,,,90.0,43.0,6.8,14.0,0,,,10,,4.0,1.0,5.0,6.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,
10382202,home,FC Emmen,Keziah Veendorp,keziah-veendorp,K. Veendorp,D,183,41,M,361778,EUR,856137600,M,2,2,False,57.0,44.0,7.0,2.0,19.0,25.0,25.0,32.0,10.0,,,,,90.0,74.0,7.4,16.0,1,,,,,,,1.0,5.0,1.0,,1.0,1.0,2.0,4.0,3.0,3.0,,1.0,3.0,,,,,1.0,,,,,,,,,
10382202,home,FC Emmen,Lucas Bernadou,bernadou-lucas,L. Bernadou,M,178,53,M,997187,EUR,969753600,M,8,8,False,30.0,24.0,1.0,1.0,6.0,9.0,18.0,22.0,4.0,,,,,77.0,41.0,6.5,9.0,0,,,6,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
10382202,home,FC Emmen,Jasin Assehnoun,jasin-assehnoun,J. Assehnoun,M,175,80,M,943188,EUR,914630400,F,11,11,False,17.0,14.0,,,4.0,6.0,10.0,11.0,2.0,,,,,77.0,27.0,7.2,6.0,1,,,78,,2.0,1.0,6.0,5.0,,,3.0,1.0,,2.0,2.0,1.0,1.0,,,,2.0,,1.0,,1.0,,,,,,,,
