match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_lastManTackle,stat_wasFouled,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_keyPass,stat_challengeLost,stat_totalOffside,stat_blockedScoringAttempt,captain,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals
12436956,home,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,96531,EUR,730771200,G,23,23,False,40.0,31.0,15.0,9.0,0.0,27.0,32.0,4.0,8.0,1.0,1.0,13.0,1.0,1.0,1.0,4.0,4.0,90.0,55.0,7.7,9.0,0.00157818,0,0.9657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436956,home,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,863653,EUR,880502400,D,29,29,False,52.0,44.0,1.0,1.0,0.0,19.0,22.0,25.0,35.0,4.0,2.0,6.0,2.0,,,,,90.0,77.0,7.1,16.0,0.0239146,0,,,,awbissaka,5.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12436956,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,829022,EUR,881798400,D,15,15,False,52.0,48.0,4.0,1.0,0.0,38.0,39.0,10.0,13.0,6.0,7.0,3.0,2.0,1.0,,,,88.0,67.0,7.2,5.0,0.00703093,1,,,,,,3.0,3.0,4.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.039,0.1521,,,,,,,,,,,,,,
12436956,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,26,26,False,55.0,42.0,6.0,,0.0,27.0,32.0,15.0,23.0,6.0,4.0,2.0,,,,,,90.0,67.0,7.2,13.0,0.0940387,0,,,,,,2.0,5.0,2.0,,,,,1.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,
12436956,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,155997,EUR,775872000,D,33,33,False,20.0,18.0,2.0,1.0,0.0,11.0,12.0,7.0,9.0,2.0,3.0,1.0,,,,,,45.0,30.0,6.7,3.0,0.00700636,1,,,,,1.0,2.0,,3.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0138,0.0337,,,,,,,,,,,,,,
12436956,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,847151,EUR,877651200,M,19,19,False,56.0,49.0,3.0,1.0,0.0,22.0,25.0,27.0,31.0,5.0,1.0,,3.0,1.0,,,,90.0,66.0,6.6,7.0,0.0437392,0,,,,EdsonAlvarez19,,3.0,2.0,7.0,,,,,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,
12436956,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,27.0,24.0,3.0,2.0,0.0,15.0,16.0,9.0,11.0,3.0,2.0,3.0,2.0,,,,,45.0,36.0,6.6,3.0,0.021903,1,,,,,,1.0,,3.0,,,,1.0,,,,,2.0,0.1191,,,,,,1.0,,,,,,,,,
12436956,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,552884,EUR,851040000,M,20,20,False,27.0,22.0,1.0,1.0,0.0,10.0,10.0,13.0,25.0,6.0,,4.0,2.0,2.0,,,,90.0,52.0,6.7,21.0,0.0468377,0,,,,jarrodbowen,8.0,2.0,1.0,8.0,2.0,,,2.0,4.0,1.0,,4.0,1.0,,,,1.0,,1.0,,True,1.0,,,,,,,
12436956,home,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,905163,EUR,965174400,M,14,14,False,30.0,28.0,,,0.0,11.0,12.0,17.0,24.0,8.0,,5.0,3.0,2.0,,,,90.0,60.0,6.5,16.0,0.0269523,3,,,,Kudus,6.0,3.0,,11.0,2.0,,,2.0,6.0,3.0,,3.0,1.0,0.3046,,,,2.0,,1.0,,,1.0,2.0,1.0,,,,
12436956,home,West Ham United,Carlos Soler,carlos-soler,C. Soler,M,18,180,3724,M,832427,EUR,852163200,M,4,4,False,8.0,7.0,,,0.0,5.0,6.0,2.0,4.0,1.0,1.0,1.0,,,,,,45.0,15.0,6.5,5.0,0.00104686,0,,,,Carlos10Soler,2.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
12436956,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,839981,EUR,872640000,F,10,10,False,55.0,46.0,4.0,3.0,0.0,16.0,18.0,30.0,38.0,11.0,,3.0,3.0,1.0,,,,90.0,78.0,7.5,17.0,0.175383,2,,,,Paqueta,1.0,,2.0,4.0,2.0,,,6.0,1.0,,,4.0,1.0,0.0979,,1.0,3.0,,,2.0,,,,,,,,,
12436956,home,West Ham United,Oliver Scarles,scarles-oliver,O. Scarles,M,30,180,573,M,1150952,EUR,1134345600,D,57,57,True,28.0,22.0,4.0,1.0,0.0,10.0,14.0,12.0,15.0,1.0,,3.0,1.0,,,,,45.0,45.0,6.7,10.0,0.00734559,2,,Oliver Scarles,,,1.0,,,1.0,1.0,,,,,,,2.0,,0.0853,,,,,,1.0,,,,1.0,,,,,
