match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_totalCross,stat_totalContest,stat_wonContest,captain,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_blockedScoringAttempt,stat_lastManTackle
12450896,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,26.0,16.0,16.0,7.0,0.0,12.0,17.0,4.0,9.0,4.0,1.0,90.0,29.0,6.8,10.0,0.00090668,0,0.0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450896,home,Lille,Aïssa Mandi,,,aissa-mandi,A. Mandi,D,23,186,10320,M,122810,EUR,688089600,D,2,2,False,35.0,27.0,3.0,1.0,0.0,17.0,19.0,10.0,16.0,4.0,,90.0,50.0,6.9,10.0,0.0155674,0,,aissamandi23,4.0,2.0,6.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
12450896,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182,1863,M,962408,EUR,978739200,D,18,18,False,58.0,54.0,10.0,7.0,0.0,36.0,37.0,18.0,21.0,2.0,,90.0,67.0,7.2,4.0,0.00683879,0,,,,,4.0,2.0,,3.0,,,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12450896,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192,4572,M,1049775,EUR,934156800,D,4,4,False,73.0,67.0,9.0,6.0,0.0,49.0,50.0,18.0,23.0,8.0,,90.0,85.0,7.0,8.0,0.00838833,0,,,1.0,1.0,5.0,2.0,1.0,7.0,,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12450896,home,Lille,Gabriel Gudmundsson,,,gabriel-gudmundsson,G. Gudmundsson,D,3,181,1194,M,834308,EUR,925344000,D,5,5,False,50.0,46.0,4.0,1.0,0.0,25.0,28.0,21.0,23.0,6.0,,90.0,74.0,6.4,14.0,0.00648844,0,,,,,7.0,3.0,,2.0,,1.0,1.0,1.0,,,,2.0,1.0,6.0,2.0,,,,,,,,,,,,
12450896,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180,759,M,51665,EUR,649641600,M,21,21,False,68.0,52.0,4.0,2.0,0.0,25.0,30.0,27.0,38.0,10.0,,90.0,86.0,7.2,19.0,0.0191197,0,,,2.0,5.0,6.0,13.0,1.0,,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,,,,True,,,,,,,,,,,
12450896,home,Lille,Ayyoub Bouaddi,Ayyoub Bouaddi,,bouaddi-ayyoub,A. Bouaddi,M,32,185,5410,M,1564180,EUR,1191283200,M,32,32,False,35.0,27.0,2.0,1.0,0.0,11.0,15.0,16.0,20.0,7.0,,90.0,46.0,7.2,8.0,0.0295999,0,,,1.0,1.0,4.0,8.0,,,,,2.0,3.0,,3.0,2.0,,,2.0,2.0,,1.0,,,,,,,,,,
12450896,home,Lille,Edon Zhegrova,,,edon-zhegrova,E. Zhegrova,M,11,181,9820,M,887766,EUR,922838400,M,23,23,False,27.0,25.0,,,0.0,5.0,5.0,21.0,26.0,3.0,,87.0,48.0,7.3,13.0,0.0999651,3,,edonzhegrova10,,2.0,7.0,4.0,,1.0,,2.0,2.0,1.0,,,,4.0,4.0,2.0,,,,1.0,1.0,2.0,1.0,1.0,0.2891,1.0874,,,
12450896,home,Lille,Rémy Cabella,,,remy-cabella,R. Cabella,M,20,171,1177,M,72998,EUR,636854400,M,10,10,False,44.0,40.0,1.0,1.0,0.0,14.0,14.0,27.0,33.0,7.0,,81.0,64.0,7.3,13.0,0.241578,0,,,,,5.0,6.0,1.0,,,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,,3.0,1.0,,,,,,,,,
12450896,home,Lille,Mitchel Bakker,,,mitchel-bakker,M. Bakker,D,5,185,1246,M,856638,EUR,961459200,M,20,20,False,28.0,24.0,,,0.0,7.0,8.0,17.0,23.0,3.0,,68.0,40.0,6.9,9.0,0.0362184,1,,,,,3.0,3.0,,,,,,1.0,,3.0,3.0,1.0,3.0,1.0,,,,,1.0,,,1.0,0.0804,,,,
