match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,captain,stat_outfielderBlock,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_punches
14065105,home,VfB Stuttgart,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2048,M,584722,EUR,844041600,G,33,33,False,38.0,30.0,14.0,6.0,0.0,27.0,27.0,3.0,11.0,11.0,1.0,1.0,90.0,44.0,7.0,8.0,0.00162227,0.0344,0,0.077,0.08,0.02,0.24,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065105,home,VfB Stuttgart,Lorenz Assignon,,,lorenz-assignon,L. Assignon,M,22,179,649,M,1009334,EUR,961632000,D,22,22,False,32.0,28.0,3.0,2.0,0.0,11.0,11.0,17.0,21.0,3.0,,,90.0,62.0,7.1,13.0,0.249327,,1,,0.29,0.12,0.17,,5.0,1.0,3.0,1.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,0.0282,0.0225,1.0,-0.01,,,,,,,,,,,
14065105,home,VfB Stuttgart,Luca Jaquez,,,luca-jaquez,L. Jaquez,D,14,187,419,M,1127823,EUR,1054512000,D,14,14,False,70.0,63.0,2.0,,0.0,24.0,24.0,39.0,46.0,7.0,,,56.0,73.0,6.9,7.0,0.0371719,,1,,0.24,0.15,0.15,,,,,,,,,,,,,,,,,,,,0.0146,,2.0,-0.08,1.0,1.0,,,,,,,,,
14065105,home,VfB Stuttgart,Jeff Chabot,,,julian-chabot,J. Chabot,D,24,194,723,M,863271,EUR,887241600,D,24,24,False,106.0,97.0,12.0,7.0,0.0,38.0,41.0,59.0,65.0,9.0,,,90.0,131.0,8.2,12.0,0.0452098,,2,,0.46,0.36,0.36,,1.0,,6.0,3.0,7.0,9.0,,,1.0,1.0,,2.0,9.0,1.0,1.0,1.0,1.0,,0.0354,0.1306,1.0,-0.07,,3.0,4.0,,,,,,,,
14065105,home,VfB Stuttgart,Maximilian Mittelstädt,,,maximilian-mittelstadt,M. Mittelstädt,D,7,178,2368,M,788949,EUR,858643200,D,7,7,False,57.0,52.0,2.0,2.0,1.0,16.0,17.0,36.0,40.0,6.0,,,90.0,90.0,7.6,13.0,0.0313212,,2,,0.18,0.1,0.25,,3.0,,2.0,1.0,5.0,8.0,,3.0,,,,,3.0,5.0,4.0,,,,0.0669,,1.0,-0.02,1.0,1.0,2.0,1.0,,,,,,,
14065105,home,VfB Stuttgart,Atakan Karazor,,,atakan-karazor,A. Karazor,M,16,190,1082,M,801030,EUR,845164800,M,16,16,False,42.0,34.0,,,0.0,8.0,9.0,26.0,33.0,4.0,,,57.0,49.0,6.8,11.0,0.0668035,,0,,0.08,0.09,0.14,,2.0,1.0,,1.0,1.0,2.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,True,,,,,,
14065105,home,VfB Stuttgart,Chema Andrés,Chema Andrés,,chema-andres,C. Andrés,M,30,193,8497,M,1464641,EUR,1114387200,M,30,30,False,59.0,55.0,2.0,,0.0,17.0,20.0,38.0,39.0,9.0,,,90.0,79.0,7.4,5.0,0.0425558,,0,,0.19,0.16,0.44,,,,3.0,3.0,4.0,6.0,,,,,,,5.0,3.0,2.0,1.0,1.0,,,,1.0,,,3.0,,,,1.0,,,,,
14065105,home,VfB Stuttgart,Badredine Bouanani,Badredine Bouanani,,badredine-bouanani,B. Bouanani,M,27,177,10055,M,1153265,EUR,1102464000,M,27,27,False,23.0,16.0,1.0,1.0,0.0,3.0,3.0,13.0,20.0,4.0,,,57.0,38.0,6.3,14.0,0.0146026,,3,,-0.31,0.12,-0.01,,3.0,,,,2.0,1.0,,1.0,2.0,1.0,,,,,,,,,0.2829,,,-0.44,2.0,,,1.0,,,bouanani,1.0,,,
14065105,home,VfB Stuttgart,Bilal El Khannouss,Bilal,El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,11,11,False,58.0,45.0,1.0,1.0,0.0,8.0,8.0,37.0,50.0,4.0,,,89.0,75.0,7.8,18.0,0.117023,,2,,0.25,0.36,0.14,,2.0,1.0,1.0,,4.0,4.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,,0.0795,0.4589,4.0,0.53,,,1.0,,,,bilalekns_34,,1.0,,
14065105,home,VfB Stuttgart,Jamie Leweling,,,leweling-jamie,J. Leweling,M,18,184,1954,M,990201,EUR,983145600,M,18,18,False,42.0,34.0,,,0.0,7.0,8.0,27.0,34.0,3.0,,,89.0,58.0,7.4,12.0,0.444812,,3,,0.31,0.42,0.14,,5.0,2.0,,2.0,,6.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,0.1854,0.0174,1.0,-0.36,2.0,1.0,2.0,,,,,,,,
