match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_aerialWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_wonContest,stat_shotOffTarget,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_penaltyWon
12624968,home,Al-Okhdood,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195.0,133,M,861003,EUR,596073600,G,28,28,False,25.0,19.0,12.0,6.0,0.0,14.0,15.0,5.0,10.0,1.0,9.0,1.0,2.0,1.0,3.0,1.0,90.0,34.0,7.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Hussain Al Zabdani,Hussain Al Zabdani,,hussain-al-zabdani,H. A. Zabdani,D,8,183.0,18,M,1521661,EUR,797904000,D,8,8,False,28.0,23.0,2.0,,0.0,17.0,19.0,7.0,10.0,2.0,4.0,,,,,,89.0,54.0,6.3,10.0,0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Naif Assery,Naif Assery,,naif-assery,N. Assery,D,15,181.0,16,M,1394760,EUR,982454400,D,15,15,False,37.0,30.0,7.0,2.0,0.0,24.0,25.0,6.0,12.0,2.0,1.0,,,,,,88.0,46.0,7.3,7.0,1,,,,,5.0,,,,,3.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12624968,home,Al-Okhdood,Saeed Al-Rabiei,,,saeed-al-rabiei,S. Al-Rabiei,D,4,187.0,32,M,954639,EUR,746841600,D,4,4,False,61.0,54.0,7.0,3.0,0.0,40.0,43.0,14.0,18.0,4.0,6.0,,,,,,90.0,73.0,7.1,8.0,1,,,,1.0,5.0,,,1.0,2.0,3.0,3.0,,,,2.0,,,,,True,1.0,1.0,,,,,,,,,
12624968,home,Al-Okhdood,Mohanad Alqaydhi,,,mohanad-alqaydhi,M. Alqaydhi,D,98,187.0,20,M,879649,EUR,896140800,D,98,98,False,11.0,9.0,,,0.0,2.0,3.0,7.0,10.0,1.0,1.0,,,,,,45.0,20.0,6.5,4.0,0,2.0,,,3.0,2.0,1.0,,,1.0,,,,,2.0,1.0,,,,,,,,2.0,1.0,,,,,,,
12624968,home,Al-Okhdood,Mohammed Petros,,,petros,Petros,M,,182.0,273,M,552678,EUR,612403200,M,66,66,False,77.0,66.0,9.0,5.0,0.0,31.0,35.0,35.0,42.0,,8.0,,,,,,90.0,90.0,7.1,13.0,1,,,,3.0,7.0,1.0,2.0,,,2.0,1.0,,,,1.0,,1.0,,2.0,,,,1.0,4.0,,,,,,,
12624968,home,Al-Okhdood,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600,M,18,18,False,57.0,49.0,2.0,1.0,0.0,21.0,22.0,31.0,40.0,,4.0,,,,,,90.0,83.0,8.0,14.0,3,5.0,3.0,,1.0,8.0,,,1.0,,3.0,3.0,1.0,,1.0,2.0,,,,3.0,,,,3.0,2.0,1.0,3.0,,,,,
12624968,home,Al-Okhdood,Christian Bassogog,,,christian-bassogog,C. Bassogog,M,13,173.0,2514,M,818218,EUR,813974400,M,13,13,False,29.0,23.0,1.0,1.0,0.0,10.0,11.0,15.0,20.0,2.0,4.0,,,,,,89.0,53.0,6.7,15.0,1,2.0,2.0,,7.0,4.0,,1.0,6.0,,2.0,1.0,3.0,,1.0,,,,,2.0,,,1.0,,1.0,1.0,,,,,,
12624968,home,Al-Okhdood,Knowledge Musona,,,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400,M,11,11,False,39.0,34.0,1.0,1.0,1.0,13.0,16.0,21.0,24.0,2.0,7.0,,,,,,90.0,55.0,7.7,9.0,5,1.0,,1.0,3.0,3.0,,,2.0,,2.0,2.0,2.0,,1.0,,1.0,2.0,,3.0,,,,,,1.0,3.0,,,,,
12624968,home,Al-Okhdood,Saviour Godwin,,,saviour-godwin,S. Godwin,M,77,170.0,248,M,359650,EUR,840672000,M,10,10,False,24.0,14.0,2.0,,0.0,3.0,5.0,12.0,24.0,,6.0,,,,,,90.0,50.0,7.1,21.0,4,5.0,1.0,,8.0,3.0,2.0,2.0,2.0,,,,5.0,,4.0,,,1.0,,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,
12624968,home,Al-Okhdood,Saleh Al Abbas,,,saleh-al-abbas,S. A. Abbas,F,14,177.0,52,M,989766,EUR,797904000,F,14,14,False,12.0,10.0,,,0.0,4.0,4.0,6.0,8.0,1.0,3.0,,,,,,45.0,16.0,6.5,3.0,0,,,,3.0,2.0,,,1.0,,,,,,2.0,,,,1.0,,,,,,2.0,,,,,,,
12624968,home,Al-Okhdood,Diego Ferreira,,,ferreira-diego,D. Ferreira,D,66,,28,M,1147011,EUR,1053302400,D,16,16,True,22.0,19.0,,,0.0,9.0,11.0,10.0,14.0,1.0,2.0,,,,,,45.0,39.0,6.7,9.0,0,3.0,,,2.0,4.0,,2.0,,,4.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,
12624968,home,Al-Okhdood,Ibrahima Kone,,,ibrahima-kone,I. Kone,F,9,190.0,808,M,873630,EUR,929491200,F,9,9,True,12.0,8.0,,,0.0,1.0,2.0,7.0,10.0,,,,,,,,45.0,18.0,6.8,6.0,2,,,2.0,4.0,2.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,2.0,,,,,
12624968,home,Al-Okhdood,Ghassan Hawsawi,Ghassan,,ghassan,G. Hawsawi,D,87,,9,M,1917845,EUR,1044403200,D,87,87,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,,,,,,,,13.0,6.0,6.1,,0,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Eid Al Muwallad,Eid Al Muwallad,,eid-al-muwallad,E. A. Muwallad,M,14,175.0,194,M,1521467,EUR,1008288000,M,6,6,True,3.0,3.0,,,0.0,3.0,3.0,,,,,,,,,,10.0,4.0,6.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Abdulaziz Al Hatila,Abdulaziz Al Hatila,,abdulaziz-al-hatila,A. A. Hatila,M,12,175.0,27,M,1521660,EUR,895363200,M,12,12,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,10.0,2.0,6.5,,0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12624968,home,Al-Okhdood,Saad Al Qarni,Saad Al Qarni,,saad-al-qarni,S. A. Qarni,G,92,177.0,4,M,1916094,EUR,1011052800,G,92,92,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Mohammed Al Saeed,,,mohammed-al-saeed,M. A. Saeed,D,81,172.0,23,M,870365,EUR,847929600,M,2,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Saleh Al-Harthi,Saleh Al-Harthi,,saleh-al-harthi,S. Al-Harthi,M,20,167.0,13,M,1182099,EUR,808012800,M,20,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624968,home,Al-Okhdood,Mohammed Al Jahif,Mohammed Al Jahif,,mohammed-al-jahif,M. A. Jahif,M,10,175.0,11,M,1521471,EUR,912297600,M,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
