match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_fouls,stat_keyPass,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_totalCross,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,captain,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_clearanceOffLine,stat_totalOffside
12499763,home,VfL Wolfsburg,Kamil Grabara,grabara-kamil,K. Grabara,G,1,195,3175,M,902080,EUR,915753600,G,1,1,False,40.0,38.0,7.0,5.0,0.0,35.0,35.0,3.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,90.0,47.0,6.0,2.0,0.00136218,0,-0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Kilian Fischer,kilian-fischer,K. Fischer,D,2,179,189,M,995316,EUR,971308800,D,2,2,False,48.0,41.0,2.0,,0.0,22.0,25.0,19.0,23.0,4.0,,2.0,3.0,,,,57.0,61.0,6.4,11.0,0.016994,0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Denis Vavro,denis-vavro,D. Vavro,D,3,187,674,M,293127,EUR,829094400,D,18,18,False,101.0,93.0,15.0,11.0,0.0,60.0,62.0,33.0,39.0,4.0,1.0,5.0,4.0,,,,90.0,114.0,7.0,9.0,0.04407,1,,,,2.0,,1.0,,,3.0,4.0,1.0,1.0,1.0,0.011,,,,,,,,,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Konstantinos Koulierakis,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,111.0,102.0,19.0,13.0,0.0,65.0,66.0,37.0,46.0,1.0,,1.0,3.0,,,,90.0,126.0,7.5,14.0,0.108159,1,,,,,,1.0,,2.0,3.0,8.0,,,3.0,0.0121,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,56.0,44.0,3.0,1.0,1.0,19.0,23.0,25.0,33.0,2.0,,1.0,1.0,,,,90.0,80.0,7.5,17.0,0.181167,2,,,,,,5.0,,1.0,,5.0,,,1.0,0.1765,,,1.0,,2.0,3.0,2.0,0.951,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Bence Dárdai,bence-dardai,B. Dárdai,M,8,185,1186,M,1418624,EUR,1138060800,M,24,24,False,51.0,42.0,3.0,1.0,0.0,19.0,21.0,24.0,33.0,3.0,1.0,,3.0,,,,90.0,67.0,7.8,13.0,0.386312,0,,Bence Dárdai,,1.0,,,1.0,4.0,1.0,7.0,,,1.0,,3.0,,5.0,5.0,2.0,,,,1.0,1.0,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,65.0,55.0,12.0,9.0,0.0,29.0,31.0,28.0,43.0,3.0,1.0,,6.0,,,,90.0,85.0,7.4,18.0,0.0474517,1,,,,1.0,1.0,,,2.0,,3.0,,4.0,2.0,0.0367,9.0,,1.0,,,,1.0,0.0552,2.0,,True,,,,,,,,,,
12499763,home,VfL Wolfsburg,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,M,20,20,False,43.0,36.0,5.0,3.0,0.0,10.0,11.0,26.0,36.0,,,,3.0,,,,80.0,53.0,6.7,12.0,0.0469792,2,,,,,,,,,,,,,,0.1055,4.0,2.0,,,,,,,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,M,23,23,False,18.0,17.0,,,0.0,8.0,8.0,9.0,10.0,1.0,,,1.0,,,,57.0,22.0,6.7,2.0,0.0719388,1,,,,1.0,,1.0,,,1.0,2.0,1.0,,,0.0155,,,,,1.0,1.0,,,,,,,,,,,,,,,
12499763,home,VfL Wolfsburg,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,M,11,11,False,23.0,17.0,1.0,,0.0,5.0,5.0,12.0,20.0,6.0,1.0,,2.0,,,,79.0,39.0,6.9,11.0,0.0392486,3,,,,3.0,1.0,2.0,1.0,1.0,,6.0,2.0,,4.0,0.5965,2.0,,,,1.0,2.0,1.0,0.018,,,,1.0,,,,,,,,,
