match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_keyPass,captain,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_bigChanceMissed,stat_bigChanceCreated
13472692,home,Mirassol,Walter,walter,Walter,G,22,188.0,774,M,329055,EUR,564192000,G,22,22,False,29.0,18.0,18.0,8.0,0.0,12.0,13.0,6.0,16.0,3.0,3.0,2.0,9.0,1.0,1.0,2.0,4.0,2.0,90.0,42.0,8.0,11.0,0.00392802,0,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472692,home,Mirassol,Lucas Ramon,lucas-ramon,L. Ramon,D,19,178.0,617,M,797225,EUR,762998400,D,19,19,False,37.0,23.0,5.0,,0.0,12.0,16.0,11.0,21.0,3.0,8.0,2.0,2.0,4.0,,,,,90.0,70.0,8.0,19.0,0.0180531,1,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.015,0.0366,,,,,,,,,,,,,,,,,,
13472692,home,Mirassol,João Victor,joao-victor,J. Victor,D,34,188.0,233,M,863297,EUR,873158400,D,34,34,False,41.0,36.0,5.0,3.0,0.0,21.0,23.0,15.0,18.0,4.0,4.0,4.0,2.0,,,,,,90.0,56.0,7.3,8.0,0.00445415,0,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,
13472692,home,Mirassol,Jemmes,ribeiro-da-silva-jemmes-bruno,Jemmes,D,3,187.0,583,M,1527129,EUR,955238400,D,3,3,False,41.0,39.0,1.0,1.0,0.0,29.0,30.0,10.0,11.0,2.0,4.0,9.0,3.0,,,,,,90.0,57.0,7.5,4.0,0.00356081,0,,,,,1.0,,,,2.0,2.0,2.0,,,,,Jemmes Ribeiro,,,1.0,1.0,1.0,,,,,,,,,,,,
13472692,home,Mirassol,Reinaldo,reinaldo,Reinaldo,D,6,178.0,2574,M,243109,EUR,622944000,D,6,6,False,52.0,44.0,9.0,6.0,0.0,17.0,18.0,27.0,34.0,,2.0,3.0,8.0,1.0,,,,,90.0,81.0,8.1,12.0,0.0561857,5,,2.0,,,4.0,2.0,1.0,2.0,1.0,,,1.0,,0.8546,0.9544,,,2.0,,,,2.0,1.0,1.0,2.0,,,,,,,,
13472692,home,Mirassol,Danielzinho,danielzinho,Danielzinho,M,94,166.0,1169,M,356514,EUR,783907200,M,8,8,False,50.0,43.0,1.0,1.0,0.0,20.0,22.0,23.0,28.0,1.0,4.0,1.0,4.0,3.0,,,,,90.0,64.0,7.2,11.0,0.034327,3,,,,,3.0,1.0,,1.0,1.0,,,1.0,,0.1443,0.1013,,,,,2.0,1.0,1.0,1.0,,1.0,True,,,,,,,
13472692,home,Mirassol,José Aldo,jose-aldo,J. Aldo,M,21,174.0,317,M,988851,EUR,901324800,M,21,21,False,26.0,24.0,,,0.0,10.0,10.0,14.0,16.0,1.0,3.0,3.0,2.0,1.0,,,,,67.0,35.0,6.9,2.0,0.00785001,1,,,,,,,,,,1.0,,,,0.0106,,,,,,,,1.0,,,,,,,,,,,
13472692,home,Mirassol,Yago Felipe,yago-felipe,Y. Felipe,M,41,174.0,406,M,552164,EUR,791769600,M,41,41,False,34.0,30.0,2.0,1.0,0.0,15.0,16.0,15.0,18.0,,7.0,,4.0,3.0,,,,,59.0,49.0,7.1,8.0,0.0100636,1,,2.0,1.0,,3.0,,,,1.0,4.0,3.0,1.0,,0.0195,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
13472692,home,Mirassol,Negueba,negueba,Negueba,M,11,175.0,664,M,872007,EUR,944179200,F,11,11,False,18.0,14.0,,,0.0,1.0,3.0,13.0,15.0,1.0,3.0,,1.0,1.0,,,,,78.0,29.0,6.6,9.0,0.0760867,1,,2.0,,2.0,6.0,2.0,1.0,,,,,1.0,,0.0141,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,
13472692,home,Mirassol,Edson Carioca,edson-carioca,E. Carioca,F,95,180.0,201,M,1048612,EUR,896918400,F,95,95,False,12.0,9.0,,,0.0,2.0,2.0,7.0,10.0,,3.0,1.0,1.0,1.0,,,,,67.0,26.0,6.4,10.0,0.00841702,0,,,,2.0,6.0,4.0,1.0,,,1.0,,,,,,,,,,3.0,1.0,,,,1.0,,,,,,,,
