match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoalsOnTarget,stat_totalCross,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_goalAssist,stat_goals,stat_punches,stat_ownGoals
11408390,home,FC Porto,Evanilson,evanilson,Evanilson,F,9,181,7635,M,evanilsonlima99,998490,EUR,939168000,F,30,30,False,,18.0,18.0,,,8.0,8.0,10.0,10.0,,2.0,,,,,,90.0,34.0,6.7,5.0,0.151872,3,,,,2.0,5.0,8.0,3.0,,2.0,1.0,,1.0,,,1.0,0.7129,2.0,,3.0,1.0,4.0,0.5279,,3.0,1.0,,,,,,,,
11408390,home,FC Porto,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178,4340,M,w_galeno90,845754,EUR,877478400,F,13,13,True,,22.0,14.0,2.0,1.0,4.0,4.0,10.0,21.0,,2.0,,,,,,45.0,38.0,7.6,16.0,0.160343,1,,,,2.0,2.0,4.0,3.0,,,,1.0,,,1.0,,0.0336,1.0,,2.0,,1.0,0.1983,3.0,2.0,,,,,,1.0,,,
11408390,home,FC Porto,Alan Varela,alan-varela,A. Varela,M,22,177,5689,M,alan_varela01,1066560,EUR,994204800,M,22,22,True,,42.0,39.0,,,4.0,5.0,36.0,42.0,,2.0,,,,,,45.0,51.0,6.9,8.0,0.526631,2,,Alan Varela,,,5.0,,,,,,2.0,,2.0,1.0,1.0,0.0645,,,,,2.0,,5.0,,,1.0,1.0,1.0,,,,,
11408390,home,FC Porto,Mehdi Taremi,mehdi-taremi,M. Taremi,F,99,187,20235,M,mehditaremi9,812533,EUR,711417600,F,9,9,True,,13.0,10.0,,,2.0,2.0,8.0,11.0,1.0,,,,,,,45.0,24.0,6.9,6.0,0.0736814,5,,,,1.0,3.0,1.0,,,,,2.0,2.0,,,1.0,1.6352,1.0,,2.0,1.0,,0.6457,,,2.0,3.0,,1.0,1.0,,1.0,,
11408390,home,FC Porto,Danny Namaso,danny-namaso,D. Namaso,F,19,182,4899,M,,867440,EUR,967420800,F,19,19,True,,4.0,3.0,,,,,3.0,4.0,,,,,,,,9.0,5.0,6.7,1.0,0.117692,0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11408390,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,,886223,EUR,851126400,M,6,6,True,,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,10.0,4.0,6.7,,0.00130213,0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
11408390,home,FC Porto,Cláudio Ramos,claudio-ramos,C. Ramos,G,14,183,1032,M,,116372,EUR,690249600,G,14,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,home,FC Porto,Gabriel Brás,gabriel-bras,G. Brás,D,73,183,656,M,,1142587,EUR,1080172800,D,73,73,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,home,FC Porto,João Mendes,joao-mendes,J. Mendes,D,13,179,180,M,,1133568,EUR,955584000,D,55,55,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,home,FC Porto,Gonçalo Borges,goncalo-borges,G. Borges,F,11,184,1083,M,,979221,EUR,985824000,F,70,70,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,away,Famalicão,Luiz Júnior,luiz-junior,L. Júnior,G,1,192,2350,M,,1066603,EUR,979430400,G,31,31,False,,28.0,7.0,26.0,5.0,3.0,5.0,4.0,23.0,5.0,12.0,3.0,6.0,9.0,,,90.0,51.0,8.4,21.0,0.00033258,0,-0.1779,Luiz Lúcio Reis Júnior,,3.0,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,
11408390,away,Famalicão,Nathan,nathan,Nathan,D,22,183,482,M,,1016912,EUR,999648000,D,22,22,False,,14.0,12.0,1.0,1.0,8.0,8.0,5.0,7.0,1.0,2.0,,,,,,90.0,34.0,6.7,7.0,0.171268,0,,,,1.0,9.0,6.0,3.0,,3.0,3.0,1.0,1.0,5.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,
11408390,away,Famalicão,Enea Mihaj,enea-mihaj,E. Mihaj,D,4,186,414,M,,850828,EUR,899596800,D,4,4,False,,26.0,22.0,7.0,3.0,20.0,20.0,2.0,6.0,9.0,4.0,,,,,,90.0,41.0,6.4,7.0,0.00188178,0,,,,3.0,4.0,4.0,1.0,2.0,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,
11408390,away,Famalicão,Justin De Haas,justin-de-haas,J. De Haas,D,16,192,307,M,,876255,EUR,949363200,D,16,16,False,,27.0,17.0,6.0,,16.0,18.0,1.0,9.0,7.0,3.0,,,,,,90.0,42.0,6.8,10.0,0.0158886,0,,,,2.0,1.0,4.0,1.0,3.0,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,
11408390,away,Famalicão,Francisco Moura,francisco-moura,F. Moura,D,74,181,1191,M,,985138,EUR,934761600,D,74,74,False,,27.0,20.0,2.0,2.0,12.0,16.0,9.0,14.0,1.0,7.0,,,,,,90.0,42.0,6.5,12.0,0.171194,0,,,,1.0,4.0,3.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,2.0,,3.0,,,,1.0,,,,,,
11408390,away,Famalicão,Zaydou Youssouf,zaydou-youssouf,Z. Youssef,M,33,183,570,M,,862194,EUR,931651200,M,28,28,False,,21.0,15.0,2.0,,13.0,15.0,2.0,6.0,1.0,6.0,,,,,,87.0,35.0,6.5,7.0,0.00129635,0,,,,,7.0,8.0,3.0,,3.0,2.0,1.0,1.0,2.0,,,,,,1.0,2.0,4.0,,,3.0,,,,,,,,,1.0
11408390,away,Famalicão,Mirko Topić,mirko-topic,M. Topić,M,22,190,486,M,,980797,EUR,981331200,M,8,8,False,,29.0,20.0,3.0,1.0,17.0,20.0,3.0,9.0,4.0,7.0,,,,,,90.0,49.0,7.1,11.0,0.00344709,0,,,,2.0,2.0,5.0,,3.0,3.0,1.0,,2.0,,,,,,3.0,2.0,,,,,,,,,,,,,,
11408390,away,Famalicão,José Luis Rodríguez,jose-luis-rodriguez,J. L. Rodríguez,M,11,180,747,M,,842253,EUR,898214400,M,7,7,False,,13.0,11.0,,,5.0,5.0,7.0,10.0,1.0,3.0,,,,,,75.0,29.0,7.2,9.0,0.215105,1,,,,1.0,4.0,6.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,0.4623,1.0,,5.0,2.0,1.0,0.0598,2.0,2.0,,,1.0,1.0,1.0,1.0,,,
11408390,away,Famalicão,Gustavo Sá,gustavo-sa,G. Sá,M,20,186,1268,M,,1563665,EUR,1100131200,M,20,20,False,,18.0,15.0,4.0,4.0,5.0,5.0,11.0,14.0,,5.0,,,,,,65.0,37.0,7.5,7.0,0.442295,1,,,,,8.0,7.0,5.0,,1.0,,3.0,2.0,2.0,2.0,,0.0378,,1.0,,3.0,,,1.0,3.0,,1.0,1.0,2.0,,1.0,,,
11408390,away,Famalicão,Sorriso,sorriso,Sorriso,M,7,175,556,M,,1105595,EUR,982886400,M,77,77,False,,14.0,10.0,1.0,,4.0,7.0,9.0,12.0,1.0,2.0,,,,,,90.0,39.0,6.3,12.0,0.0986107,2,,Sorriso,,,8.0,8.0,1.0,,5.0,3.0,2.0,1.0,2.0,,,0.4516,,,4.0,3.0,3.0,,5.0,,2.0,2.0,3.0,1.0,,,,,
11408390,away,Famalicão,Jhonder Cádiz,jhonder-cadiz,J. Cádiz,F,99,191,1954,M,,332257,EUR,806976000,F,29,29,False,True,22.0,15.0,3.0,1.0,8.0,8.0,7.0,14.0,,2.0,,,,,,87.0,38.0,8.7,10.0,0.00512753,5,,,,4.0,10.0,9.0,3.0,,,,,7.0,,,1.0,1.1388,2.0,,2.0,3.0,2.0,0.9892,,2.0,,2.0,,,,,2.0,,
11408390,away,Famalicão,Filipe Soares,filipe-soares,F. Soares,M,22,180,145,M,,851030,EUR,927158400,M,19,19,True,,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,25.0,4.0,6.3,,0.00998173,0,,,,,4.0,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
11408390,away,Famalicão,Alexandru Dobre,mihai-alexandru-dobre,A. Dobre,F,29,185,768,M,,897623,EUR,904435200,F,23,23,True,,1.0,,,,,1.0,,,,2.0,,,,,,15.0,4.0,6.5,2.0,,0,,,,,2.0,1.0,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,
11408390,away,Famalicão,Gustavo Assunção,gustavo-assuncao,G. Assunção,M,12,178,266,M,,981217,EUR,954374400,M,12,12,True,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,10.0,2.0,6.6,1.0,0.00011219,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,away,Famalicão,Óscar Aranda,oscar-aranda,Ó. Aranda,F,11,178,568,M,,984626,EUR,1020038400,F,11,11,True,,,,,,,,,,,,,,,,,10.0,2.0,6.5,1.0,,0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11408390,away,Famalicão,Ivan Zlobin,ivan-zlobin,I. Zlobin,G,1,191,247,M,,788203,EUR,857692800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,away,Famalicão,Martín Aguirregabiria,martin-aguirregabiria,M. Aguirregabiria,D,20,178,74,M,,868262,EUR,831686400,D,32,32,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,away,Famalicão,Tom Lacoux,tom-lacoux,T. Lacoux,M,18,175,66,M,,1047931,EUR,1011916800,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,away,Famalicão,Henrique Araújo,henrique-araujo,H. Araújo,F,39,183,1642,M,,998870,EUR,1011398400,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408390,away,Famalicão,Florian Danho,florian-danho,F. Danho,F,22,188,1575,M,,1388727,EUR,961545600,F,21,21,True,,,,,,,,,,,,,,,,,,,,,,0,,Florian Danho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
