match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_accurateCross,stat_wonContest,stat_unsuccessfulTouch,stat_bigChanceCreated,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
13472808,home,Grêmio,Tiago Volpi,tiago-volpi,T. Volpi,G,18,189.0,1690,M,243509,EUR,661564800,G,1,1,False,14.0,9.0,9.0,4.0,0.0,8.0,10.0,1.0,4.0,4.0,1.0,2.0,90.0,19.0,7.2,5.0,0.00013335,0,0.1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472808,home,Grêmio,Marcos Rocha,marcos-rocha,M. Rocha,D,14,176.0,2464,M,82576,EUR,597801600,D,14,14,False,46.0,38.0,9.0,6.0,0.0,15.0,16.0,23.0,30.0,5.0,,,67.0,62.0,7.1,14.0,0.01865,0,,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13472808,home,Grêmio,Gustavo Martins,gustavo-martins,G. Martins,D,53,191.0,1207,M,1105796,EUR,1029024000,D,53,53,False,36.0,28.0,3.0,1.0,0.0,25.0,27.0,3.0,9.0,1.0,,,90.0,50.0,7.4,8.0,0.00272452,2,,,,6.0,,8.0,,,6.0,,2.0,,,,,,Gustavo Martins,,1.0,1.0,1.0,0.0426,,,,,,,,,,,,,,
13472808,home,Grêmio,Wagner Leonardo,wagner-leonardo,W. Leonardo,D,3,186.0,1490,M,976235,EUR,932688000,D,3,3,False,41.0,35.0,5.0,1.0,0.0,26.0,28.0,9.0,13.0,3.0,,,90.0,50.0,6.8,7.0,0.00224826,1,,,1.0,,4.0,1.0,1.0,,5.0,,1.0,1.0,,2.0,,,,,,1.0,1.0,0.0859,,,,,,,,,,,,,,
13472808,home,Grêmio,Marlon,marlon,Marlon,D,23,178.0,1921,M,870787,EUR,864086400,D,23,23,False,41.0,40.0,6.0,5.0,0.0,11.0,11.0,29.0,30.0,5.0,,,90.0,69.0,7.8,10.0,0.163991,1,,9.0,1.0,1.0,3.0,6.0,2.0,2.0,2.0,,1.0,1.0,2.0,,,2.0,,,,1.0,,0.0549,3.0,2.0,1.0,,,,,,,,,,,
13472808,home,Grêmio,Dodi,dodi,Dodi,M,17,169.0,1040,M,870804,EUR,829699200,M,17,17,False,29.0,28.0,1.0,,1.0,17.0,17.0,11.0,12.0,5.0,,,90.0,40.0,7.5,2.0,0.00941515,0,,,,,2.0,4.0,1.0,,3.0,,4.0,1.0,,1.0,,3.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,
13472808,home,Grêmio,Arthur,arthur,Arthur,M,29,172.0,8983,M,794927,EUR,839808000,M,29,29,False,53.0,50.0,6.0,4.0,0.0,21.0,22.0,29.0,31.0,9.0,,,81.0,67.0,7.4,5.0,0.0419584,5,,,,,1.0,4.0,,1.0,,,1.0,,2.0,1.0,,1.0,,,2.0,2.0,,0.3254,,1.0,2.0,,arthurmelo,True,1.0,0.5191,,,,,,
13472808,home,Grêmio,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169.0,2406,M,358956,EUR,822182400,M,7,7,False,24.0,21.0,2.0,2.0,0.0,9.0,9.0,12.0,15.0,4.0,,,73.0,39.0,7.7,6.0,0.0602557,3,,4.0,2.0,1.0,4.0,4.0,,,1.0,,1.0,,2.0,2.0,,3.0,,,2.0,1.0,1.0,0.0673,2.0,,1.0,,,,,,,,,,,
13472808,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175.0,2295,M,558820,EUR,840067200,M,10,10,False,19.0,13.0,,,0.0,2.0,2.0,11.0,17.0,1.0,,,73.0,41.0,7.7,12.0,0.0854586,4,,6.0,,2.0,2.0,7.0,,2.0,,,,,3.0,2.0,,4.0,,,,1.0,1.0,0.6754,2.0,2.0,,,,,3.0,0.4792,1.0,1.0,,,,
13472808,home,Grêmio,Francis Amuzu,amuzu-francis,F. Amuzu,M,9,170.0,1934,M,901889,EUR,935366400,M,9,9,False,25.0,22.0,1.0,1.0,0.0,4.0,4.0,18.0,21.0,,,,89.0,35.0,8.2,3.0,0.0382023,6,,,,,,2.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,0.3187,,,,,,,4.0,0.9616,,,1.0,,,
13472808,home,Grêmio,Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190.0,7220,M,891920,EUR,796089600,F,95,95,False,8.0,4.0,,,0.0,3.0,3.0,1.0,5.0,2.0,,,81.0,21.0,7.5,10.0,0.0382947,2,,,2.0,,6.0,3.0,,2.0,1.0,,,,2.0,,2.0,1.0,,,1.0,,,0.1485,,1.0,2.0,1.0,,,1.0,0.8817,3.0,,1.0,,,
13472808,home,Grêmio,João Lucas,joao-lucas,J. Lucas,D,2,181.0,682,M,981019,EUR,889401600,D,2,2,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,,,,23.0,13.0,6.8,,0.00316223,0,,,,,1.0,2.0,,,3.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
