match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_goalAssist,stat_outfielderBlock,stat_dispossessed,player_firstName,player_lastName,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves
11703896,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,410,M,578166,EUR,877392000,G,33,33,False,38.0,29.0,13.0,4.0,27.0,30.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,90.0,44.0,6.6,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11703896,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,45.0,38.0,5.0,2.0,23.0,23.0,16.0,26.0,2.0,,3.0,2.0,1.0,2.0,,,90.0,69.0,7.0,15.0,0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11703896,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1056,M,282229,EUR,844041600,D,30,30,False,72.0,67.0,7.0,4.0,52.0,54.0,15.0,18.0,,1.0,2.0,3.0,4.0,4.0,,,90.0,83.0,6.9,5.0,0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
11703896,home,Borussia M'gladbach,Maximilian Wöber,maximilian-wober,M. Wöber,D,39,188,658,M,794962,EUR,886550400,D,39,39,False,57.0,50.0,4.0,2.0,39.0,43.0,11.0,15.0,3.0,3.0,4.0,5.0,2.0,10.0,,,76.0,69.0,6.9,9.0,0,1.0,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,
11703896,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,640,M,979144,EUR,1052956800,D,20,20,False,50.0,42.0,2.0,,22.0,28.0,21.0,24.0,4.0,3.0,7.0,5.0,4.0,5.0,,,90.0,77.0,7.1,16.0,0,2.0,1.0,2.0,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11703896,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1023,M,1048650,EUR,1022630400,M,27,27,False,36.0,34.0,4.0,4.0,13.0,13.0,21.0,24.0,1.0,,4.0,4.0,,2.0,,,65.0,50.0,7.0,8.0,0,1.0,,4.0,3.0,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,
11703896,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1193,M,237068,EUR,810518400,M,8,8,False,47.0,37.0,4.0,2.0,24.0,30.0,13.0,17.0,1.0,2.0,2.0,6.0,,7.0,,,65.0,53.0,7.0,10.0,1,,,,,1.0,1.0,,,,3.0,,,,,,,True,1.0,1.0,,,,,,,
11703896,home,Borussia M'gladbach,Nathan N'Goumou,nathan-ngoumou,N. Ngoumou,M,19,182,657,M,962409,EUR,952992000,M,19,19,False,32.0,27.0,1.0,,8.0,12.0,22.0,23.0,1.0,1.0,4.0,2.0,,4.0,,,76.0,47.0,7.1,11.0,1,3.0,3.0,3.0,1.0,,,2.0,2.0,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,
11703896,home,Borussia M'gladbach,Manu Koné,manu-kone,M. Koné,M,17,186,6978,M,974087,EUR,990057600,M,17,17,False,57.0,53.0,,,22.0,22.0,31.0,36.0,,,4.0,2.0,,3.0,,,90.0,73.0,6.7,13.0,2,1.0,,4.0,2.0,,,4.0,1.0,,,,,,2.0,,,,,,,1.0,1.0,,,,
11703896,home,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,M,25,25,False,30.0,27.0,1.0,1.0,9.0,9.0,20.0,26.0,,,3.0,2.0,1.0,3.0,,,90.0,51.0,8.2,9.0,3,5.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,
