match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_dispossessed,player_sofascoreId,captain,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11396454,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,36.0,23.0,18.0,5.0,20.0,21.0,3.0,15.0,2.0,15.0,1.0,4.0,6.0,2.0,90.0,54.0,7.8,13.0,0.0,0.0,0.0049,0,1.3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396454,home,FC Augsburg,Arne Engels,engels-arne,A. Engels,M,27,185,1608,M,1001867,EUR,1062979200,D,27,27,False,29.0,15.0,8.0,2.0,9.0,14.0,8.0,18.0,1.0,5.0,,,,,78.0,50.0,6.2,17.0,0.0,0.0,0.125306,0,,,,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11396454,home,FC Augsburg,Maximilian Bauer,maximilian-bauer,M. Bauer,D,5,189,96,M,940393,EUR,950054400,D,23,23,False,25.0,10.0,9.0,,8.0,15.0,2.0,10.0,7.0,1.0,,,,,90.0,42.0,6.7,15.0,0.0,0.0,0.00053058,0,,,,,,3.0,2.0,4.0,4.0,1.0,,,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,
11396454,home,FC Augsburg,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1726,M,792142,EUR,873763200,D,19,19,False,35.0,22.0,11.0,2.0,19.0,21.0,3.0,14.0,7.0,7.0,,,,,90.0,52.0,7.0,13.0,0.0,0.0,0.00106431,0,,,,,,2.0,6.0,4.0,11.0,3.0,3.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11396454,home,FC Augsburg,Mads Pedersen,mads-pedersen,M. Pedersen,D,3,179,157,M,809219,EUR,841536000,D,3,3,False,23.0,15.0,5.0,2.0,12.0,14.0,3.0,9.0,2.0,3.0,,,,,90.0,37.0,6.4,13.0,0.0,0.0,0.0439182,0,,,,,,,1.0,2.0,5.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11396454,home,FC Augsburg,Elvis Rexhbeçaj,elvis-rexhbecaj,E. Rexhbeçaj,M,8,178,483,M,842188,EUR,878342400,M,8,8,False,17.0,11.0,2.0,1.0,9.0,9.0,2.0,8.0,,5.0,,,,,78.0,29.0,6.4,9.0,0.0,0.0,0.00125559,0,,,,,,2.0,2.0,5.0,4.0,2.0,,1.0,,,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,
11396454,home,FC Augsburg,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175,332,M,794995,EUR,884822400,M,30,30,False,25.0,17.0,7.0,2.0,9.0,11.0,8.0,14.0,3.0,6.0,,,,,90.0,39.0,6.3,10.0,0.0,0.0,0.00280732,0,,,,,,3.0,,9.0,3.0,1.0,2.0,3.0,,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
11396454,home,FC Augsburg,Ruben Vargas,ruben-vargas,R. Vargas,M,11,179,2677,M,872919,EUR,902275200,M,16,16,False,15.0,12.0,1.0,,8.0,9.0,5.0,8.0,2.0,8.0,,,,,78.0,32.0,6.4,15.0,0.0,0.0,0.0974882,0,,,,2.0,1.0,,1.0,3.0,2.0,,,,1.0,,,,,2.0,1.0,4.0,2.0,,,,,,,,,,,,,
11396454,home,FC Augsburg,Ermedin Demirović,ermedin-demirovic,E. Demirović,F,9,184,5628,M,878081,EUR,890784000,M,9,9,False,23.0,11.0,1.0,,5.0,10.0,6.0,13.0,2.0,6.0,,,,,90.0,41.0,8.1,17.0,1.1535,0.9884,0.405341,4,,,,,,3.0,4.0,8.0,7.0,,1.0,3.0,2.0,,,1.0,1.0,3.0,1.0,3.0,,e.demirovic29,True,1.0,1.0,2.0,1.0,1.0,1.0,,,,,
11396454,home,FC Augsburg,Dion Drena Beljo,dion-drena-beljo,D. D. Beljo,F,9,195,3455,M,995773,EUR,1014940800,F,7,7,False,17.0,12.0,,,8.0,9.0,4.0,9.0,1.0,,,,,,87.0,33.0,7.1,11.0,0.71,0.3898,0.0298645,3,,,,1.0,,2.0,3.0,7.0,5.0,,2.0,2.0,,,,,,3.0,1.0,2.0,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,
