match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_accurateCross,player_sofascoreId,stat_penaltyWon,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed
11406903,home,Monza,Alessandro Sorrentino,,,alessandro-sorrentino,A. Sorrentino,G,22,190,65,M,991416,EUR,1017792000,G,23,23,False,20.0,16.0,10.0,6.0,14.0,16.0,2.0,4.0,3.0,1.0,2.0,2.0,90.0,25.0,6.4,4.0,0.0001427,0,-0.2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406903,home,Monza,Danilo D'Ambrosio,,,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,107936,EUR,589766400,D,33,33,False,52.0,49.0,2.0,1.0,26.0,28.0,23.0,24.0,2.0,,,,71.0,59.0,6.5,3.0,0.00690099,0,,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406903,home,Monza,Roberto Gagliardini,,,roberto-gagliardini,R. Gagliardini,M,63,188,567,M,287057,EUR,765676800,D,6,6,False,73.0,65.0,3.0,3.0,35.0,37.0,30.0,36.0,5.0,,,,90.0,83.0,5.7,10.0,0.0123465,0,,3.0,2.0,,,2.0,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11406903,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,100565,EUR,665366400,D,5,5,False,54.0,52.0,4.0,3.0,30.0,31.0,22.0,23.0,2.0,,,,90.0,66.0,6.3,4.0,0.00906922,2,,3.0,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,0.0692,,,,,,,,,,,,,,,,,
11406903,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,346676,EUR,792288000,M,84,84,False,26.0,20.0,1.0,,11.0,14.0,9.0,13.0,,,,,45.0,35.0,6.4,9.0,0.00579385,0,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11406903,home,Monza,Warren Bondo,,,warren-bondo,W. Bondo,M,38,177,2004,M,1000366,EUR,1063584000,M,38,38,False,20.0,19.0,,,8.0,9.0,11.0,11.0,2.0,,,,45.0,26.0,6.5,4.0,0.00633921,0,,2.0,1.0,1.0,,,,,,,4.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
11406903,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,350210,EUR,861580800,M,32,32,False,62.0,56.0,4.0,2.0,24.0,27.0,32.0,35.0,6.0,,,,80.0,75.0,7.4,9.0,0.0279457,1,,5.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,,,,0.7884,,1.0,1.0,,True,1.0,1.0,1.0,0.9869,,,,,,,,
11406903,home,Monza,Pedro Pereira,,,pedro-pereira,P. Pereira,M,13,185,287,M,807291,EUR,885427200,M,13,13,False,33.0,28.0,3.0,2.0,13.0,16.0,15.0,17.0,6.0,,,,58.0,44.0,6.6,9.0,0.00693058,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
11406903,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,928122,EUR,926380800,F,28,28,False,28.0,28.0,2.0,2.0,8.0,8.0,21.0,23.0,,,,,90.0,45.0,7.2,5.0,0.0770201,2,,4.0,,,1.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,,2.0,0.0643,3.0,,3.0,2.0,,,,,,1.0,,,,,,,
11406903,home,Monza,Valentín Carboni,,,valentin-carboni,V. Carboni,M,21,185,7112,M,1153083,EUR,1109980800,F,21,21,False,49.0,39.0,2.0,2.0,11.0,16.0,28.0,33.0,4.0,,,,90.0,55.0,6.9,11.0,0.0361598,0,,2.0,1.0,1.0,,,,,,,2.0,,1.0,1.0,,,,,1.0,,2.0,,,,1.0,,,valencarboni,,,,,,
