match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,captain,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_penaltyWon,stat_goalAssist,stat_totalOffside,stat_hitWoodwork,stat_penaltyMiss,stat_goals
11450171,home,Gaziantep FK,Florin Niță,florin-nita,F. Niță,G,185,1579,M,83551,EUR,552268800,G,33,33,False,34.0,16.0,27.0,9.0,11.0,14.0,5.0,20.0,8.0,1.0,4.0,1.0,5.0,1.0,1.0,90.0,42.0,7.7,18.0,0.00050866,0,0.7027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450171,home,Gaziantep FK,Mustafa Eskihellaç,mustafa-eskihellac,M. Eskihellaç,D,175,571,M,899069,EUR,862790400,D,11,11,False,34.0,24.0,5.0,1.0,16.0,20.0,9.0,17.0,8.0,,,,,,,90.0,66.0,6.8,18.0,0.0277462,0,,19,3.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450171,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,187,127,M,904228,EUR,908409600,D,4,4,False,16.0,11.0,5.0,1.0,10.0,13.0,1.0,3.0,1.0,,,,,,,90.0,33.0,6.7,5.0,0.027801,1,,4,,,4.0,4.0,,,10.0,1.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0693,1.0,,,,,,,,,,,,,,,
11450171,home,Gaziantep FK,Nicolas N'Koulou,nicolas-nkoulou,N. N'Koulou,D,184,462,M,38533,EUR,638496000,D,63,63,False,19.0,14.0,4.0,1.0,12.0,15.0,2.0,4.0,3.0,,,,,,,90.0,33.0,7.1,6.0,0.00064901,0,,3,,,1.0,4.0,,,6.0,1.0,3.0,1.0,1.0,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,
11450171,home,Gaziantep FK,Papy Djilobodji,papy-djilobodji,P. Djilobodji,D,193,175,M,106661,EUR,596937600,D,3,3,False,27.0,19.0,8.0,3.0,12.0,13.0,7.0,17.0,1.0,,,,,,,90.0,43.0,7.0,11.0,0.00369534,0,,3,3.0,,1.0,4.0,,,5.0,1.0,3.0,3.0,,,,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,
11450171,home,Gaziantep FK,Salem M'Bakata,salem-mbakata,S. M'Bakata,D,177,65,M,940367,EUR,892944000,D,22,22,False,19.0,15.0,1.0,,9.0,11.0,6.0,10.0,4.0,,,,,,,90.0,45.0,6.6,10.0,0.00330369,1,,22,2.0,,2.0,3.0,,1.0,4.0,1.0,,,,,,1.0,1.0,,,,,,0.2531,,,,2.0,2.0,1.0,1.0,0.323,,,,,,,,
11450171,home,Gaziantep FK,Lazar Marković,lazar-markovic,L. Marković,M,175,330,M,98461,EUR,762566400,M,50,50,False,25.0,14.0,1.0,,7.0,10.0,7.0,15.0,6.0,,,,,,,70.0,33.0,6.6,13.0,0.0194745,0,,50,,,2.0,4.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,
11450171,home,Gaziantep FK,Furkan Soyalp,furkan-soyalp,F. Soyalp,M,175,70,M,226992,EUR,802915200,M,5,5,False,24.0,11.0,4.0,2.0,6.0,8.0,5.0,16.0,3.0,,,,,,,78.0,35.0,6.8,16.0,0.00405207,0,,33,,,5.0,6.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,
11450171,home,Gaziantep FK,Ogün Özçiçek,ogun-ozcicek,O. Özçiçek,M,172,50,M,859783,EUR,917136000,M,61,61,False,33.0,22.0,6.0,2.0,12.0,17.0,12.0,19.0,8.0,,,,,,,90.0,48.0,6.9,15.0,0.0892118,0,,61,3.0,2.0,6.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,3.0,3.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,
11450171,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,177,793,M,180511,EUR,647395200,M,44,44,False,19.0,15.0,3.0,2.0,9.0,10.0,7.0,11.0,6.0,,,,,,,88.0,34.0,6.7,12.0,0.0858482,1,,44,2.0,1.0,7.0,,3.0,1.0,1.0,2.0,,,3.0,,,1.0,,,,,,1.0,0.0344,1.0,1.0,,1.0,,,1.0,0.0208,,,,,,,,
