match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_outfielderBlock,player_firstName,player_lastName,player_sofascoreId,stat_accurateCross,stat_wonTackle,stat_totalOffside,stat_totalContest,stat_wonContest,captain,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_goodHighClaim,stat_errorLeadToAShot
12504409,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,53.0,35.0,27.0,9.0,0.0,33.0,34.0,2.0,19.0,13.0,1.0,1.0,90.0,58.0,6.9,19.0,0.00081241,0,0.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504409,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,D,16,16,False,15.0,13.0,,,0.0,6.0,8.0,7.0,8.0,2.0,,,66.0,36.0,6.9,4.0,0.00511586,1,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.1509,0.2484,,,,,,,,,,,,,,,,,,,,,
12504409,home,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,13,13,False,45.0,36.0,4.0,2.0,0.0,23.0,27.0,13.0,18.0,2.0,,,90.0,58.0,7.8,11.0,0.170863,1,,,2.0,5.0,,1.0,,,4.0,2.0,,1.0,1.0,0.0447,,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12504409,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,42.0,36.0,3.0,1.0,0.0,30.0,31.0,6.0,11.0,1.0,,,90.0,48.0,6.8,6.0,0.00502564,0,,,7.0,3.0,,,,,1.0,2.0,,,3.0,,,3.0,,,,,4.0,1.0,,,,,,,,,,,,,,
12504409,home,Torino,Borna Sosa,borna-sosa,B. Sosa,M,24,187,3741,M,357584,EUR,885340800,D,24,24,False,30.0,28.0,3.0,1.0,0.0,9.0,9.0,21.0,26.0,3.0,,,76.0,49.0,7.2,7.0,0.129794,0,,5.0,1.0,3.0,,,,,3.0,,1.0,,1.0,,,2.0,,,,2.0,,,,,BornaSosa,2.0,1.0,1.0,,,,,,,,
12504409,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,31.0,24.0,2.0,1.0,0.0,7.0,8.0,19.0,32.0,,,,90.0,58.0,6.9,17.0,0.109035,1,,9.0,6.0,2.0,2.0,,,,2.0,,,,2.0,0.0375,,1.0,,1.0,2.0,2.0,2.0,,,,,2.0,,,2.0,1.0,,,,,,
12504409,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,False,43.0,38.0,3.0,,1.0,21.0,24.0,17.0,19.0,4.0,,,84.0,54.0,7.0,9.0,0.116905,0,,,3.0,5.0,,1.0,,,,,1.0,4.0,1.0,,,1.0,,,2.0,2.0,1.0,,,,,,,,1.0,,True,,,,,
12504409,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,False,30.0,28.0,,,0.0,15.0,15.0,13.0,15.0,2.0,,,66.0,41.0,7.5,4.0,0.0120333,4,,,1.0,6.0,,,,1.0,,,2.0,,1.0,0.2945,0.0939,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,2.0,,,,
12504409,home,Torino,Yann Karamoh,yann-karamoh,Y. Karamoh,F,75,185,1024,M,802149,EUR,899856000,M,7,7,False,21.0,14.0,2.0,,0.0,4.0,5.0,10.0,20.0,6.0,,,84.0,38.0,6.3,17.0,0.0197146,4,,4.0,3.0,1.0,,1.0,3.0,2.0,,,,1.0,,0.38,0.7386,,,1.0,3.0,,,,,,,,,1.0,2.0,,,1.0,1.0,,,
12504409,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,F,10,10,False,51.0,47.0,4.0,4.0,0.0,8.0,8.0,40.0,44.0,7.0,,,90.0,66.0,7.9,10.0,0.207123,1,,1.0,1.0,4.0,,1.0,,,,1.0,1.0,,,0.0288,,,1.0,1.0,3.0,3.0,,,,,niksivlasic_,1.0,,,3.0,3.0,,,,,,
12504409,home,Torino,Che Adams,che-adams,C. Adams,F,19,175,2940,M,773409,EUR,837216000,F,18,18,False,22.0,18.0,1.0,1.0,0.0,4.0,4.0,14.0,18.0,1.0,,,90.0,36.0,8.1,10.0,0.0161394,4,,,4.0,2.0,,1.0,1.0,2.0,1.0,,,2.0,1.0,0.5464,1.09,,,1.0,3.0,2.0,,,,,,,,2.0,2.0,,,1.0,1.0,2.0,,
12504409,home,Torino,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188,2252,M,886243,EUR,954892800,D,4,4,True,14.0,13.0,,,0.0,5.0,6.0,8.0,8.0,1.0,,,24.0,17.0,6.6,1.0,0.00867296,0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
