match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_totalContest,stat_shotOffTarget,stat_wasFouled,player_firstName,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,player_lastName,player_sofascoreId,stat_dispossessed,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_errorLeadToAShot,stat_ownGoals
14773709,home,Al-Fayha,Orlando Mosquera,orlando-mosquera,O. Mosquera,G,52,191.0,495,M,886041,EUR,788313600.0,G,52,52,False,30.0,21.0,17.0,8.0,0.0,18.0,20.0,3.0,10.0,9.0,6.0,8.0,90.0,45.0,8.6,9.0,0.00032127,9.8481485938827,3.0,6.9771146543321,1.0785,0,1.5838,0.05,-0.02,-0.04,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773709,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200.0,D,22,22,False,24.0,20.0,3.0,1.0,0.0,17.0,21.0,3.0,3.0,2.0,,,89.0,37.0,6.4,4.0,0.00090452,59.62988418939,6.0,33.010142436062,,0,,0.03,0.02,-0.04,,True,1.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773709,home,Al-Fayha,Chris Smalling,chris-smalling,C. Smalling,D,5,192.0,1654,M,47741,EUR,627696000.0,D,5,5,False,28.0,27.0,2.0,2.0,0.0,24.0,25.0,3.0,3.0,1.0,,,90.0,39.0,7.5,1.0,0.0013259,70.632526167128,8.0,48.123587975123,,1,,0.03,0.1,-0.03,,,,1.0,8.0,,,1.0,3.0,3.0,1.0,1.0,0.2696,0.7233,28.647231887652,32.031443941852,1.0,1.0,0.37,,,,,,,,,,,,,,,,,,,,,,,
14773709,home,Al-Fayha,Mikel Villanueva,mikel-villanueva,M. Villanueva,D,17,192.0,345,M,836279,EUR,734745600.0,D,17,17,False,37.0,29.0,6.0,2.0,0.0,26.0,31.0,3.0,6.0,3.0,,,90.0,54.0,7.3,8.0,0.00107219,86.027760439852,15.0,25.933368967867,,0,,0.03,0.03,0.4,,,1.0,2.0,8.0,1.0,,,2.0,7.0,,,,,,,,,,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,
14773709,home,Al-Fayha,Ahmed Bamasud,ahmed-bamasud,A. Bamasud,D,18,175.0,114,M,893197,EUR,816998400.0,D,18,18,False,30.0,23.0,2.0,,0.0,15.0,19.0,8.0,11.0,4.0,,,90.0,56.0,6.8,10.0,0.00391851,91.9848838192,9.0,52.547411468657,,1,,0.03,0.09,-0.02,,,,3.0,8.0,,,,2.0,7.0,,,0.0573,,16.916484239594,40.1715972039,2.0,1.0,-0.53,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14773709,home,Al-Fayha,Rakan Kaabi,rakan-kaabi,R. Kaabi,M,6,170.0,25,M,1171233,EUR,1038787200.0,M,6,6,False,25.0,23.0,5.0,3.0,0.0,16.0,17.0,7.0,8.0,4.0,,,90.0,37.0,7.1,3.0,0.0141265,33.700352609509,6.0,14.9612600795,,0,,0.13,0.04,0.17,,,,1.0,1.0,,,1.0,,5.0,,,,,,,,,,,4.0,2.0,,,,1.0,Rakan Kaabi,,,,,,,,,,,,,,,
14773709,home,Al-Fayha,Alfa Semedo,alfa-semedo,A. Semedo,M,30,190.0,367,M,887343,EUR,872899200.0,M,30,30,False,38.0,33.0,5.0,3.0,1.0,19.0,22.0,14.0,16.0,5.0,,,90.0,66.0,7.6,9.0,0.0127178,78.357425198769,13.0,14.074685414667,,0,,0.19,0.23,0.3,,,1.0,4.0,3.0,1.0,7.0,2.0,,9.0,,,,,,,,1.0,,,4.0,2.0,,5.0,,1.0,,4.0,3.0,,,,,,,,,,,,,
14773709,home,Al-Fayha,Sabri Abdu Dahal,sabri-abdu-dahal,S. A. Dahal,F,72,172.0,88,M,1935210,EUR,1204243200.0,M,72,72,False,10.0,5.0,1.0,,0.0,2.0,5.0,3.0,5.0,8.0,,,89.0,33.0,6.7,14.0,0.013088,52.768844922346,6.0,32.40909871776,,0,,0.06,0.09,-0.01,,,2.0,6.0,,1.0,1.0,1.0,,7.0,,,,,17.308248999813,21.549153695679,1.0,,,1.0,2.0,1.0,1.0,6.0,,1.0,Sabri Abdu Dahal,4.0,3.0,1.0,,,,,,,,,,,,
14773709,home,Al-Fayha,Yassine Benzia,yassine-benzia,Y. Benzia,M,8,181.0,9531,M,155718,EUR,778982400.0,M,8,8,False,32.0,26.0,6.0,3.0,1.0,12.0,13.0,14.0,19.0,9.0,,,76.0,56.0,7.6,16.0,0.641706,119.25526671345,16.0,50.630472854428,,2,,0.58,0.29,-0.05,,,,4.0,1.0,,3.0,1.0,,5.0,,,0.0649,,20.54934892878,22.666755414042,1.0,1.0,-0.23,,4.0,2.0,5.0,2.0,2.0,,,1.0,2.0,,,benzia9,2.0,1.0,,,,,,,,
14773709,home,Al-Fayha,Fashion Sakala,fashion-sakala,F. Sakala,F,10,178.0,8842,M,876626,EUR,858297600.0,M,10,10,False,15.0,10.0,1.0,,0.0,5.0,7.0,5.0,8.0,4.0,,,77.0,33.0,7.7,13.0,0.118303,138.12714117223,13.0,109.80891063425,,2,,-0.04,0.49,0.0,,,,7.0,1.0,,,1.0,,4.0,1.0,1.0,0.0618,0.7161,34.503666778689,76.13016494337,3.0,1.0,0.5,1.0,,,,6.0,1.0,2.0,,2.0,3.0,1.0,,fashionjr10,1.0,,,,,,,,,
