match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_goalAssist,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_errorLeadToAGoal,stat_fouls,captain,player_sofascoreId,stat_accurateCross,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,player_lastName,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim
10408266,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,34.0,27.0,13.0,6.0,23.0,25.0,4.0,9.0,7.0,1.0,3.0,90.0,42.0,6.4,8.0,0.0,0.0,0.00107788,0,-0.0657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408266,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,29.0,26.0,3.0,2.0,13.0,15.0,13.0,15.0,7.0,,,90.0,54.0,7.0,8.0,0.0783,0.0,0.644672,1,,Arnau Martinez,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
10408266,home,Girona FC,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1175,M,846308,EUR,910569600,D,22,22,False,40.0,36.0,4.0,2.0,27.0,27.0,9.0,13.0,6.0,,,90.0,47.0,5.9,4.0,0.0,0.0,0.00986368,0,,,,,4.0,3.0,2.0,,,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10408266,home,Girona FC,Juanpe,juanpe,Juanpe,D,6,189,179,M,129861,EUR,672969600,D,15,15,False,50.0,42.0,5.0,1.0,33.0,35.0,9.0,15.0,4.0,,,90.0,58.0,6.6,8.0,0.0,0.0,0.0112437,0,,,,,4.0,2.0,,,,,,2.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,2.0,True,,,,,,,,,,
10408266,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,36.0,30.0,3.0,,21.0,22.0,10.0,20.0,10.0,,,78.0,61.0,7.1,13.0,0.0,0.0,0.0680466,0,,,,6.0,5.0,11.0,2.0,6.0,5.0,,,2.0,,4.0,2.0,2.0,,,,,,2.0,,MGutiérrez,1.0,1.0,,,,,,,
10408266,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,38.0,38.0,1.0,1.0,23.0,23.0,15.0,16.0,5.0,,,90.0,60.0,6.2,10.0,0.0,0.0,0.0283523,0,,,,1.0,7.0,3.0,1.0,3.0,1.0,,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,,4.0,3.0,,,,,,
10408266,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,M,5,5,False,38.0,35.0,1.0,1.0,23.0,24.0,12.0,14.0,7.0,,,59.0,49.0,7.4,4.0,0.7144,0.98,0.00452945,1,,,,,3.0,3.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,3.0,,,,1.0,,1.0,1.0,,,,
10408266,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169,7132,M,1002813,EUR,1023062400,M,20,20,False,20.0,15.0,3.0,2.0,8.0,11.0,10.0,14.0,2.0,,,72.0,35.0,6.4,12.0,0.0,0.0,0.224858,0,,,,5.0,7.0,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,3.0,,,,,1.0,,yan.couto,3.0,,2.0,,,,,,
10408266,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,M,8,8,False,35.0,24.0,1.0,1.0,11.0,14.0,13.0,21.0,6.0,,,90.0,43.0,6.6,14.0,0.0633,0.0,0.0449559,1,,,,,3.0,2.0,1.0,1.0,,,1.0,,,2.0,2.0,,,,,,,,,viktortsygankov,,,1.0,,,,,,
10408266,home,Girona FC,Rodrigo Riquelme,rodrigo-riquelme,R. Riquelme,M,17,174,4780,M,989113,EUR,954633600,M,17,17,False,33.0,24.0,1.0,1.0,6.0,7.0,19.0,34.0,5.0,,,90.0,63.0,6.6,27.0,0.1643,0.196,0.0720764,3,,,,8.0,8.0,6.0,2.0,7.0,3.0,,1.0,,1.0,,,1.0,2.0,,2.0,,,,,,1.0,3.0,2.0,2.0,,,,,
10408266,home,Girona FC,Valentín Castellanos,valentin-castellanos,V. Castellanos,F,11,179,10645,M,877013,EUR,907372800,F,9,9,False,7.0,5.0,,,3.0,3.0,2.0,4.0,,,,59.0,13.0,6.7,3.0,0.1814,0.0,0.00379748,2,,,,,5.0,3.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,3.0,,tatycastellanos11,,1.0,,,,,1.0,1.0,
10408266,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184,4247,M,839585,EUR,884131200,M,21,21,True,22.0,19.0,1.0,,10.0,11.0,9.0,12.0,2.0,,,31.0,29.0,6.4,5.0,0.0243,0.0,0.0114806,1,,,,1.0,4.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,2.0,,YangelHerrera8,,,1.0,,,,1.0,,
10408266,home,Girona FC,Cristhian Stuani,cristhian-stuani,C. Stuani,F,7,184,1894,M,32048,EUR,529459200,F,7,7,True,8.0,6.0,,,2.0,2.0,4.0,6.0,1.0,,,31.0,12.0,6.5,3.0,0.0,0.0,0.0556083,0,,,,,2.0,3.0,1.0,,,,,,,,,,,,3.0,,,1.0,,,,1.0,,,,,,1.0,
