match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10407251,home,KV Oostende,Guillaume Hubert,,,guillaume-hubert,G. Hubert,G,28,198,51,M,149794,EUR,758246400,G,28,28,False,29.0,21.0,13.0,5.0,20.0,22.0,1.0,7.0,7.0,1.0,2.0,1.0,2.0,90.0,37.0,6.5,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407251,home,KV Oostende,Fanos Katelaris,,,fanos-katelaris,F. Katelaris,D,23,186,70,M,282129,EUR,841017600,D,5,5,False,61.0,44.0,10.0,3.0,27.0,34.0,18.0,29.0,4.0,,,,,90.0,73.0,6.9,19.0,0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10407251,home,KV Oostende,Anton Tanghe,,,tanghe-anton,A. Tanghe,D,3,194,71,M,1005175,EUR,917481600,D,33,33,False,56.0,47.0,17.0,10.0,33.0,35.0,14.0,21.0,6.0,,,,,90.0,69.0,7.1,10.0,2,,,,1.0,1.0,3.0,,2.0,4.0,1.0,1.0,,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10407251,home,KV Oostende,Osaze Urhoghide,,,osaze-urhoghide,O. Urhoghide,D,3,188,129,M,915129,EUR,962668800,D,2,2,False,43.0,36.0,5.0,2.0,26.0,30.0,10.0,13.0,6.0,,,,,64.0,53.0,6.5,7.0,0,,,,3.0,5.0,5.0,,2.0,1.0,1.0,1.0,,,,,1.0,,5.0,,,,,,,,,,,,
10407251,home,KV Oostende,Robbie D'Haese,Robbie,D'Haese,robbie-dhaese,R. D'Haese,M,,180,35,M,889388,EUR,919900800,M,29,29,False,36.0,29.0,2.0,1.0,9.0,10.0,22.0,28.0,4.0,,,,,90.0,63.0,6.9,12.0,1,2.0,2.0,1.0,2.0,4.0,3.0,,,2.0,1.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,
10407251,home,KV Oostende,Alfons Amade,,,alfons-amade,A. Amade,M,14,172,403,M,836701,EUR,942364800,M,23,23,False,21.0,14.0,4.0,,5.0,7.0,9.0,14.0,1.0,,,,,45.0,29.0,6.4,7.0,0,,,1.0,,2.0,2.0,,,3.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,
10407251,home,KV Oostende,Sieben Dewaele,,,dewaele-sieben,S. Dewaele,M,18,180,72,M,901895,EUR,917913600,M,16,16,False,39.0,30.0,4.0,2.0,15.0,17.0,15.0,22.0,4.0,,,,,89.0,50.0,6.7,9.0,0,,,2.0,1.0,5.0,5.0,,,1.0,2.0,2.0,,,,,2.0,,1.0,2.0,,,,,,,,,,,
10407251,home,KV Oostende,Alessandro Albanese,,,alessandro-albanese,A. Albanese,M,10,174,55,M,867257,EUR,947635200,M,99,99,False,50.0,37.0,13.0,8.0,23.0,26.0,15.0,29.0,11.0,,,,,90.0,87.0,7.8,23.0,3,5.0,1.0,1.0,,2.0,8.0,,1.0,,4.0,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,2.0,1.0,,,,,,,
10407251,home,KV Oostende,David Atanga,,,david-atanga,D. Atanga,F,17,176,143,M,786187,EUR,851472000,F,77,77,False,15.0,11.0,,,2.0,3.0,9.0,13.0,2.0,,,,,64.0,26.0,6.9,9.0,0,1.0,,,,4.0,4.0,1.0,,,,1.0,1.0,,,,,3.0,2.0,1.0,3.0,,3.0,,,,,,,,
10407251,home,KV Oostende,Thierry Ambrose,,,thierry-ambrose,T. Ambrose,F,68,178,425,M,356024,EUR,859507200,F,68,68,False,29.0,14.0,2.0,,,2.0,14.0,30.0,1.0,,,,,90.0,53.0,7.4,25.0,3,3.0,,5.0,5.0,9.0,15.0,3.0,,,1.0,4.0,1.0,,1.0,2.0,,4.0,1.0,,5.0,,5.0,,1.0,,,,,,
