match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_wonContest,stat_interceptionWon,captain,stat_aerialWon,stat_wonTackle,stat_fouls,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_totalOffside,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim
12436548,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,31.0,28.0,7.0,4.0,0.0,25.0,25.0,3.0,6.0,12.0,3.0,4.0,2.0,2.0,90.0,46.0,7.4,3.0,0.00069149,0,1.3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436548,home,Liverpool,Conor Bradley,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,47.0,41.0,1.0,1.0,0.0,11.0,13.0,30.0,35.0,5.0,,,,,45.0,56.0,6.8,9.0,0.0157121,0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436548,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,67.0,57.0,4.0,1.0,0.0,14.0,15.0,43.0,52.0,7.0,,,,,62.0,76.0,7.1,10.0,0.0268779,0,,,,,,3.0,1.0,2.0,2.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
12436548,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,109.0,101.0,8.0,4.0,0.0,34.0,35.0,67.0,74.0,3.0,,,,,90.0,123.0,7.7,10.0,0.0426633,0,,,,,1.0,11.0,,6.0,3.0,1.0,1.0,,2.0,True,7.0,3.0,1.0,,,,,,,,,,,,,,,,,
12436548,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,63.0,57.0,4.0,3.0,0.0,21.0,22.0,36.0,49.0,6.0,,,,,85.0,81.0,6.6,16.0,0.0459722,0,,,,8.0,4.0,,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
12436548,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,38.0,36.0,1.0,,0.0,12.0,12.0,25.0,27.0,4.0,,,,,68.0,56.0,6.1,8.0,0.232718,0,,,,1.0,5.0,4.0,,,2.0,3.0,2.0,,1.0,,,,3.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,
12436548,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,63.0,60.0,2.0,2.0,0.0,21.0,23.0,40.0,42.0,6.0,,,,,90.0,82.0,6.8,10.0,0.0525688,1,,,,2.0,6.0,3.0,1.0,2.0,2.0,3.0,,,,,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,0.048,,,,,,,,,
12436548,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,M,11,11,False,40.0,24.0,1.0,,0.0,,,25.0,45.0,1.0,,,,,90.0,61.0,8.2,24.0,0.421654,3,,,,5.0,3.0,2.0,3.0,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,1.0,0.3972,1.0,1.0,1.0,1.0,0.8424,,,,
12436548,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,37.0,32.0,3.0,3.0,0.0,8.0,9.0,24.0,32.0,6.0,,,,,61.0,45.0,7.0,9.0,0.0974571,1,,,,4.0,5.0,2.0,,,1.0,,,,,,1.0,,,1.0,4.0,,,,2.0,,0.0459,,1.0,,,,1.0,,,
12436548,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,M,18,18,False,25.0,22.0,,,1.0,1.0,1.0,21.0,29.0,3.0,,,,,90.0,48.0,7.8,13.0,0.20392,2,,,,5.0,5.0,6.0,4.0,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,,,,,3.0,1.0,0.0726,2.0,1.0,,,,,,,
