match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_errorLeadToAGoal,stat_dispossessed,stat_shotOffTarget,player_firstName,player_lastName,stat_goals,player_sofascoreId,stat_totalOffside,stat_outfielderBlock,stat_hitWoodwork
11407439,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,40.0,26.0,19.0,5.0,23.0,26.0,3.0,14.0,8.0,1.0,1.0,1.0,1.0,1.0,90.0,48.0,6.4,15.0,0.00134413,0,-0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407439,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,D,61,61,False,78.0,73.0,4.0,2.0,52.0,54.0,22.0,25.0,11.0,,,,,,90.0,92.0,8.2,6.0,0.492451,1,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0112,2.0,,,,,,,,,,,,,,,,,,,
11407439,home,Torino,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,39.0,30.0,4.0,1.0,19.0,22.0,11.0,17.0,3.0,,,,,,90.0,56.0,7.2,11.0,0.00612072,2,,,,,,4.0,3.0,10.0,,1.0,,,,1.0,1.0,0.2299,,1.0,2.0,2.0,5.0,4.0,1.0,2.0,0.1915,,,,,,,,,,,
11407439,home,Torino,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,12,182,1729,M,67769,EUR,714700800,D,13,13,False,25.0,22.0,2.0,1.0,16.0,18.0,9.0,13.0,4.0,,,,,,44.0,33.0,6.2,6.0,0.150478,0,,,6.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,True,1.0,,,,,,,,,
11407439,home,Torino,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2480,M,826185,EUR,958521600,M,19,19,False,32.0,27.0,4.0,2.0,16.0,18.0,12.0,21.0,5.0,,,,,,83.0,63.0,6.9,20.0,0.0838551,1,,,7.0,1.0,1.0,,3.0,2.0,,1.0,,,,,3.0,0.2724,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,
11407439,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,False,45.0,40.0,5.0,4.0,24.0,24.0,16.0,21.0,4.0,,,,,,90.0,60.0,6.9,9.0,0.0349947,1,,,,,2.0,,6.0,1.0,1.0,,,,,1.0,2.0,0.0091,2.0,,,3.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,
11407439,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,False,52.0,42.0,2.0,1.0,15.0,18.0,30.0,41.0,7.0,,,,,,90.0,71.0,7.5,15.0,0.449856,0,,,7.0,3.0,,,3.0,3.0,1.0,2.0,1.0,2.0,,1.0,,,3.0,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,
11407439,home,Torino,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187,1424,M,798147,EUR,791596800,M,27,27,False,41.0,33.0,7.0,5.0,15.0,20.0,18.0,25.0,4.0,,,,,,90.0,68.0,7.4,16.0,0.0761936,3,,,4.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,0.0839,1.0,,2.0,1.0,,,,,0.1235,,,2.0,,,,,,,,
11407439,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,F,28,28,False,2.0,1.0,,,,1.0,2.0,2.0,,,,,,,9.0,3.0,6.9,1.0,0.0780349,0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11407439,home,Torino,Antonio Sanabria,antonio-sanabria,A. Sanabria,F,99,181,3538,M,333261,EUR,825897600,F,9,9,False,24.0,19.0,,,9.0,10.0,10.0,14.0,3.0,,,,,,83.0,37.0,6.5,7.0,0.0269989,5,,,,,1.0,2.0,4.0,3.0,,,,,,1.0,1.0,1.6576,1.0,3.0,3.0,1.0,,,1.0,2.0,1.1015,,,1.0,2.0,,,1.0,,,,
