match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_outfielderBlock,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoalsOnTarget,stat_aerialLost,stat_totalContest,stat_wonContest,stat_wasFouled,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_goals,stat_totalOffside,stat_goalAssist,stat_hitWoodwork,stat_errorLeadToAGoal,player_sofascoreId,stat_blockedScoringAttempt
11401957,home,Excelsior,Stijn van Gassel,,,stijn-van-gassel,S. van Gassel,G,1,185,166,M,367118,EUR,845596800,G,1,1,False,True,31.0,15.0,27.0,11.0,7.0,9.0,8.0,22.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,39.0,7.1,16.0,0.00322354,0,0.0481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401957,home,Excelsior,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,,36.0,27.0,4.0,1.0,12.0,15.0,15.0,25.0,6.0,3.0,,,,,,90.0,66.0,7.3,18.0,0.0173326,2,,4.0,3.0,1.0,7.0,1.0,2.0,4.0,2.0,2.0,0.0917,,,,,,,,,,,,,,,,,,,,,
11401957,home,Excelsior,Casper Widell,,,widell-casper,C. Widell,D,4,192,137,M,1031721,EUR,1052092800,D,5,5,False,,23.0,19.0,9.0,6.0,15.0,16.0,4.0,7.0,2.0,3.0,,,,,,60.0,28.0,6.9,4.0,0.00181724,0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
11401957,home,Excelsior,Redouan El Yaakoubi,,,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182,100,M,887617,EUR,822528000,D,4,4,False,,47.0,39.0,11.0,8.0,24.0,27.0,15.0,20.0,5.0,6.0,,,,,,90.0,57.0,7.6,8.0,0.008341,1,,,3.0,2.0,5.0,,,2.0,1.0,,0.2944,1.0,1.0,1.0,1.0,1.0,1.0,0.7307,,,,,,,,,,,,,,
11401957,home,Excelsior,Arthur Zagre,Arthur,Zagre,zagre-arthur,A. Zagre,D,12,168,411,M,910053,EUR,1002153600,D,12,12,False,,48.0,46.0,1.0,1.0,26.0,27.0,20.0,22.0,2.0,5.0,,,,,,90.0,75.0,7.6,7.0,0.090628,1,,1.0,2.0,7.0,8.0,,,1.0,1.0,2.0,0.5479,,,1.0,1.0,1.0,3.0,0.4986,2.0,5.0,3.0,2.0,,,,,,,,,,
11401957,home,Excelsior,Kenzo Goudmijn,,,kenzo-goudmijn,K. Goudmijn,M,24,174,248,M,916947,EUR,1008633600,M,10,10,False,,48.0,37.0,7.0,4.0,10.0,14.0,27.0,35.0,,9.0,,,,,,90.0,67.0,7.9,17.0,0.0895363,1,,1.0,,6.0,10.0,,1.0,4.0,3.0,1.0,0.1598,,,,,,,,2.0,9.0,5.0,1.0,1.0,2.0,,,,,,,,
11401957,home,Excelsior,Julian Baas,,,julian-baas,J. Baas,M,16,184,147,M,1046143,EUR,1018915200,M,33,33,False,,34.0,31.0,,,16.0,17.0,17.0,24.0,2.0,6.0,,,,,,90.0,56.0,7.6,9.0,0.146176,0,,7.0,1.0,2.0,5.0,1.0,,4.0,4.0,,,,,,,4.0,,,1.0,,,,,1.0,2.0,,,,,,,
11401957,home,Excelsior,Couhaib Driouech,,,couhaib-driouech,C. Driouech,F,11,175,4625,M,1047395,EUR,1019001600,M,14,14,False,,35.0,30.0,5.0,4.0,12.0,13.0,18.0,24.0,,10.0,,,,,,85.0,55.0,8.6,11.0,0.181919,3,,2.0,,9.0,7.0,,,1.0,1.0,3.0,0.6258,,2.0,1.0,3.0,1.0,4.0,1.7516,2.0,5.0,4.0,2.0,2.0,3.0,,1.0,1.0,,,,,
11401957,home,Excelsior,Noah Naujoks,,,noah-naujoks,N. Naujoks,M,10,183,201,M,1048487,EUR,1020297600,M,15,15,False,,15.0,8.0,1.0,1.0,4.0,5.0,4.0,10.0,1.0,1.0,,,,,,85.0,33.0,6.9,14.0,0.00851864,1,,,,5.0,4.0,3.0,1.0,2.0,1.0,3.0,0.2794,,,1.0,,,,,2.0,,,2.0,1.0,2.0,,,,1.0,1.0,,,
11401957,home,Excelsior,Lazaros Lamprou,Lazaros,Lamprou,lazaros-lamprou,L. Lamprou,M,7,177,177,M,823856,EUR,882403200,M,7,7,False,,32.0,27.0,2.0,1.0,5.0,7.0,22.0,28.0,2.0,3.0,,,,,,76.0,52.0,7.5,13.0,0.612537,3,,3.0,3.0,6.0,4.0,2.0,2.0,1.0,,3.0,0.2648,,2.0,,1.0,1.0,1.0,0.3547,1.0,,,,,,,1.0,,,,,,
