match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_wasFouled,stat_fouls,stat_dispossessed,stat_penaltyWon,stat_shotOffTarget,captain,stat_goals,stat_totalOffside,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork,stat_errorLeadToAShot
12441727,home,PEC Zwolle,Jasper Schendelaar,Jasper,Schendelaar,jasper-schendelaar,J. Schendelaar,G,1,182,179,M,856636,EUR,967852800,G,1,1,False,24.0,19.0,10.0,5.0,0.0,17.0,19.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,90.0,30.0,7.3,5.0,0.00072199,0,0.9521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441727,home,PEC Zwolle,Olivier Aertssen,,,olivier-aertssen,O. Aertssen,D,3,185,170,M,1049446,EUR,1091836800,D,3,3,False,45.0,36.0,5.0,2.0,0.0,12.0,13.0,25.0,33.0,1.0,4.0,2.0,8.0,,,,84.0,75.0,8.0,14.0,0.585201,2,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.113,0.0261,2.0,,,,,,,,,,,,,,,
12441727,home,PEC Zwolle,Simon Graves,,,simon-graves-jensen,S. G. Jensen,D,28,191,126,M,927155,EUR,922060800,D,28,28,False,71.0,66.0,7.0,6.0,0.0,34.0,36.0,32.0,35.0,4.0,5.0,14.0,3.0,,,,90.0,91.0,8.4,5.0,0.0216261,3,,,,3.0,,,,,3.0,,1.0,,,,,0.3219,0.5365,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
12441727,home,PEC Zwolle,Anselmo Garcia McNulty,,,anselmo-garcia-mcnulty,A. G. McNulty,D,4,187,281,M,1005693,EUR,1045612800,D,4,4,False,45.0,43.0,2.0,1.0,0.0,23.0,23.0,21.0,24.0,,1.0,5.0,3.0,,,,90.0,58.0,7.2,5.0,0.270362,0,,2.0,1.0,5.0,,,,,,,,1.0,,,2.0,,,2.0,2.0,,1.0,3.0,,,,,,,,,,,
12441727,home,PEC Zwolle,Sherel Floranus,Sherel,Floranus,sherel-floranus,S. Floranus,D,2,181,189,M,803021,EUR,903830400,D,2,2,False,42.0,36.0,5.0,2.0,0.0,16.0,19.0,21.0,26.0,,1.0,3.0,5.0,,,,90.0,56.0,6.9,12.0,0.0483508,0,,3.0,1.0,2.0,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
12441727,home,PEC Zwolle,Jamiro Monteiro,Jamiro,Monteiro,monteiro-jamiro,J. Monteiro,M,35,175,308,M,815080,EUR,754444800,M,35,35,False,33.0,32.0,,,0.0,11.0,11.0,24.0,30.0,,4.0,,3.0,,,,75.0,54.0,7.8,13.0,0.246403,0,,8.0,3.0,3.0,,2.0,,,,,,1.0,1.0,,3.0,,,6.0,,,3.0,,1.0,1.0,,,,,,,,,
12441727,home,PEC Zwolle,Anouar El Azzouzi,,,anouar-el-azzouzi,A. E. Azzouzi,M,8,181,517,M,1021104,EUR,991094400,M,6,6,False,43.0,38.0,1.0,1.0,0.0,11.0,12.0,27.0,32.0,1.0,6.0,2.0,5.0,,,,75.0,64.0,7.3,10.0,0.0826289,4,,1.0,,7.0,,4.0,1.0,,2.0,,,,2.0,2.0,,0.505,0.4565,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,,,,,,,,
12441727,home,PEC Zwolle,Ryan Thomas,Ryan,Thomas,ryan-thomas,R. Thomas,M,30,174,138,M,333571,EUR,787881600,M,30,30,False,65.0,56.0,7.0,5.0,0.0,28.0,31.0,28.0,34.0,3.0,7.0,4.0,10.0,,,,90.0,81.0,7.2,14.0,0.0337159,0,,,,5.0,2.0,,,,,,,,2.0,2.0,1.0,,,,,,2.0,1.0,2.0,,,True,,,,,,,
12441727,home,PEC Zwolle,Dylan Mbayo,Dylan,Mbayo,dylan-mbayo,D. Mbayo,M,15,175,265,M,923968,EUR,1002758400,F,11,11,False,22.0,17.0,,,0.0,3.0,3.0,14.0,20.0,,2.0,1.0,3.0,,,,61.0,34.0,6.7,11.0,0.067123,2,,1.0,,5.0,,3.0,,,1.0,,,,1.0,,2.0,0.1176,0.0356,,,,1.0,2.0,,,1.0,,,,,,,,
12441727,home,PEC Zwolle,Dylan Vente,,,dylan-vente,D. Vente,F,9,181,657,M,825843,EUR,926208000,F,9,9,False,20.0,18.0,2.0,2.0,0.0,4.0,4.0,14.0,17.0,1.0,3.0,1.0,2.0,,,,90.0,31.0,7.5,6.0,0.631831,4,,1.0,,4.0,,,,,1.0,2.0,,,1.0,1.0,2.0,0.8694,0.7016,2.0,3.0,,1.0,,1.0,,1.0,,1.0,,,,,,
