match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,length,confirmed,playerName,reason,rescinded
12450266,FT,0.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12450266,,0.0,3.0,,90,5.0,,1,,,goal,280322093.0,False,regular,954061.0,Arnaud Kalimuendo,,,,,,
12450266,,,,,90,1.0,,1,,,substitution,123778633.0,False,regular,,,False,,,,,
12450266,,,,,90,1.0,,1,,,substitution,123778632.0,False,regular,,,False,,,,,
12450266,,,,,90,,,1,,,substitution,123778631.0,False,regular,,,False,,,,,
12450266,,,,,90,0.0,,1,,,injuryTime,,,,,,,6.0,,,,
12450266,,,,,87,,,4,,,varDecision,32439.0,False,goalAwarded,954061.0,Arnaud Kalimuendo,,,False,,,
12450266,,,,,76,,,15,,,substitution,123778488.0,True,regular,,,False,,,,,
12450266,,,,,71,,,20,,,substitution,123778398.0,True,regular,,,False,,,,,
12450266,,,,,71,,,20,,,substitution,123778435.0,True,regular,,,False,,,,,
12450266,,,,,71,,,20,,,substitution,123778397.0,True,regular,,,False,,,,,
12450266,,0.0,2.0,,70,,,21,,,goal,280159322.0,False,regular,1134351.0,Ismael Koné,,,,,,
12450266,,,,,64,,,27,,,substitution,123778235.0,False,regular,,,False,,,,,
12450266,,,,,63,,,28,,,substitution,123778234.0,False,regular,,,False,,,,,
12450266,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12450266,,,,,45,6.0,,1,,,card,123270830.0,True,yellow,209768.0,Pierrick Capelle,,,,Pierrick Capelle,Argument,False
12450266,,,,,45,1.0,,1,,,varDecision,32436.0,True,penaltyAwarded,988632.0,Jim Allevinah,,,False,,,
12450266,,,,,45,0.0,,1,,,injuryTime,,,,,,,5.0,,,,
12450266,,,,,31,,,15,,,substitution,123777576.0,True,injury,,,True,,,,,
12450266,,0.0,1.0,,13,,,33,,,goal,279698425.0,False,regular,954061.0,Arnaud Kalimuendo,,,,,,
