match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_challengeLost,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goals,stat_totalOffside,player_sofascoreId,stat_totalCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_hitWoodwork
14062208,home,Eintracht Frankfurt,Kauã Santos,kaua-dos-santos,Kauã,G,40,196,2816,M,1134203,EUR,1050019200,G,40,40,False,31.0,25.0,11.0,5.0,0.0,25.0,26.0,5.0,2.0,3.0,3.0,12.0,1.0,2.0,2.0,3.0,1.0,90.0,47.0,8.3,7.0,0.00014956,15.215625090892,3.0,8.1666236022793,0.0,0.6871,0,1.1071,0.05,0.01,0.36,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062208,home,Eintracht Frankfurt,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,13,186,1615,M,921789,EUR,868579200,D,13,13,False,30.0,24.0,2.0,1.0,0.0,20.0,24.0,6.0,,2.0,1.0,3.0,,,,,,45.0,45.0,6.9,9.0,0.0174004,94.424008704984,12.0,33.816953333244,1.0,,0,,0.17,0.04,0.13,,4.0,1.0,3.0,1.0,1.0,2.0,1.0,21.003503534494,26.385458116167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062208,home,Eintracht Frankfurt,Aurèle Amenda,aurele-amenda,A. Amenda,D,5,194,696,M,999276,EUR,1059609600,D,5,5,False,49.0,42.0,7.0,2.0,0.0,38.0,39.0,10.0,5.0,8.0,5.0,1.0,1.0,,,,,90.0,62.0,7.8,7.0,0.00177258,75.484448683149,11.0,16.742505069999,0.0,,1,,0.03,0.02,0.87,,4.0,3.0,3.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.2168,0.4719,-0.53,,,,,,,,,,,,,,,,,,,,
14062208,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,44.0,41.0,4.0,1.0,0.0,30.0,31.0,13.0,2.0,5.0,5.0,3.0,,,,,,90.0,60.0,7.6,4.0,0.00351075,64.107147191317,11.0,12.939527865548,0.0,,0,,0.11,0.0,0.66,,11.0,,3.0,,2.0,3.0,2.0,,,,,,3.0,1.0,,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14062208,home,Eintracht Frankfurt,Ayoube Amaimouni-Echghouyab,amaimouni-echghouyab-ayoube,A. A. Echghouyab,F,29,178,1445,M,1898148,EUR,1101772800,M,29,29,False,6.0,3.0,1.0,,0.0,2.0,3.0,3.0,,4.0,,1.0,2.0,,,,,79.0,17.0,7.5,5.0,0.00080172,64.786977430945,3.0,54.652652517848,3.0,,2,,-0.18,0.21,-0.06,,1.0,4.0,7.0,3.0,,,,29.834233471497,64.786977430945,2.0,,2.0,1.0,,0.0545,0.4186,0.53,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
14062208,home,Eintracht Frankfurt,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,20,20,False,27.0,24.0,4.0,3.0,0.0,15.0,16.0,11.0,,4.0,1.0,3.0,2.0,,,,,90.0,40.0,7.5,7.0,0.238826,62.960693632544,10.0,4.1561953306376,0.0,,1,,0.44,0.17,0.16,,9.0,,1.0,2.0,1.0,,,,,2.0,,1.0,,,0.0212,0.122,-0.13,,,,1.0,,,doanritsu,2.0,1.0,1.0,2.0,,,,,,,,,
14062208,home,Eintracht Frankfurt,Hugo Larsson,hugo-larsson,H. Larsson,M,16,187,2774,M,1142211,EUR,1088294400,M,16,16,False,35.0,32.0,4.0,2.0,0.0,25.0,28.0,7.0,2.0,3.0,6.0,,,,,,,79.0,49.0,7.3,5.0,0.407842,69.990973956655,9.0,35.136168482318,1.0,,1,,0.36,0.08,0.16,,7.0,,,,1.0,1.0,,14.602438410825,17.411978664127,,,1.0,,1.0,0.0267,0.1114,-0.07,,,,1.0,,,,1.0,,1.0,1.0,Hugo Larsson,,1.0,,,,,,
14062208,home,Eintracht Frankfurt,Nathaniel Brown,nathaniel-brown,N. Brown,D,21,179,1784,M,1159759,EUR,1055721600,M,21,21,False,44.0,41.0,,,0.0,27.0,29.0,15.0,,4.0,4.0,6.0,,,,,,90.0,66.0,7.9,11.0,0.0104719,183.87267675975,18.0,89.529810254465,3.0,,2,,-0.13,0.32,0.21,,14.0,,7.0,,1.0,4.0,3.0,19.697034605292,56.149617986982,,,1.0,,3.0,0.1926,0.6368,0.5,,2.0,,2.0,1.0,,,,2.0,,,,,,1.0,,,,,
14062208,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,F,27,27,False,30.0,25.0,,,0.0,19.0,21.0,9.0,,3.0,,2.0,2.0,,,,,70.0,40.0,6.5,9.0,0.0115624,74.205636060582,9.0,31.281508437143,0.0,,0,,-0.38,0.03,0.23,,6.0,,4.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,MarioGotze,2.0,2.0,,1.0,,,1.0,,,,,,
14062208,home,Eintracht Frankfurt,Jean-Mattéo Bahoya,jean-matteo-bahoya,J. Bahoya,M,19,180,2331,M,1146148,EUR,1115424000,F,19,19,False,23.0,19.0,1.0,,2.0,6.0,7.0,16.0,,3.0,1.0,2.0,1.0,,,,,90.0,40.0,7.8,9.0,0.305211,211.76555069298,16.0,152.52145793354,7.0,,1,,0.29,0.52,0.27,,13.0,2.0,6.0,4.0,,,,31.728554749237,149.55730094265,2.0,,,2.0,,0.0347,,-0.11,,2.0,,2.0,,1.0,,1.0,,1.0,5.0,Jean Bahoya,,,1.0,,,,,
