match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_hitWoodwork,stat_outfielderBlock,stat_totalTackle,stat_keyPass,stat_wonContest,stat_wonTackle,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,captain,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAShot,stat_penaltyWon,stat_errorLeadToAGoal
12504403,home,Como,Jean Butez,jean-butez,J. Butez,G,1,188.0,1319,M,599114,EUR,802569600,G,30,30,False,38.0,30.0,18.0,10.0,0.0,26.0,31.0,4.0,7.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,46.0,6.4,8.0,0.00078283,0,-0.5722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504403,home,Como,Ivan Smolčić,ivan-smolcic,I. Smolčić,D,28,181.0,1381,M,974581,EUR,966470400,D,28,28,False,51.0,38.0,8.0,2.0,0.0,17.0,22.0,21.0,29.0,2.0,3.0,3.0,6.0,1.0,,1.0,,,,,,,90.0,77.0,6.7,20.0,0.0385186,2,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0389,0.2115,,,,,,,,,,,,,,,,,,,,
12504403,home,Como,Alberto Dossena,dossena-alberto,A. Dossena,D,4,195.0,511,M,870211,EUR,908236800,D,13,13,False,42.0,40.0,4.0,4.0,0.0,26.0,27.0,14.0,15.0,2.0,7.0,4.0,3.0,1.0,,,,,,,,,90.0,54.0,6.8,4.0,0.0461626,1,,,,4.0,,1.0,,1.0,1.0,,0.0433,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
12504403,home,Como,Edoardo Goldaniga,edoardo-goldaniga,E. Goldaniga,D,5,193.0,345,M,295133,EUR,752198400,D,5,5,False,54.0,50.0,2.0,2.0,0.0,40.0,41.0,10.0,13.0,3.0,10.0,6.0,2.0,2.0,,6.0,,,,,,,90.0,67.0,6.6,6.0,0.00780119,0,,,,4.0,1.0,,,1.0,1.0,,,,,1.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,
12504403,home,Como,Álex Valle,valle-alex,Á. Valle,D,3,178.0,6518,M,1142238,EUR,1082851200,D,41,41,False,38.0,31.0,2.0,,0.0,15.0,18.0,17.0,22.0,1.0,2.0,3.0,2.0,2.0,,,,,,,,,73.0,63.0,6.6,11.0,0.0152503,2,,,,1.0,2.0,1.0,,1.0,,,0.0466,,,,,,1.0,,1.0,1.0,alexxv_5,2.0,1.0,1.0,,,,,,,,
12504403,home,Como,Máximo Perrone,maximo-perrone,M. Perrone,M,23,178.0,8372,M,1086286,EUR,1041897600,M,23,23,False,41.0,37.0,8.0,6.0,0.0,19.0,19.0,18.0,22.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,90.0,49.0,6.8,6.0,0.028015,0,,Maximo Perrone,,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,maxiperrone16,,,,,,,,,,,
12504403,home,Como,Lucas Da Cunha,lucas-da-cunha,L. Da Cunha,M,33,174.0,1933,M,911848,EUR,992044800,M,33,33,False,48.0,43.0,3.0,1.0,0.0,22.0,23.0,22.0,29.0,,3.0,1.0,,3.0,,1.0,,,,,,,79.0,58.0,6.8,10.0,0.0517036,2,,,,1.0,1.0,,1.0,,,1.0,0.0416,0.0665,,,,,,1.0,,,,4.0,1.0,1.0,,,,,,,,
12504403,home,Como,Gabriel Strefezza,gabriel-strefezza,G. Strefezza,M,7,168.0,2181,M,877201,EUR,861321600,M,7,7,False,24.0,17.0,3.0,,0.0,6.0,7.0,15.0,30.0,1.0,8.0,6.0,1.0,1.0,,3.0,,,,,,,90.0,56.0,7.4,22.0,0.256166,3,,,,1.0,,,1.0,1.0,1.0,2.0,0.0744,0.0739,1.0,3.0,,,3.0,6.0,,3.0,,13.0,4.0,2.0,,,,,,,,
12504403,home,Como,Nico Paz,nico-paz,N. Paz,M,10,185.0,88676,M,1171451,EUR,1094601600,M,79,79,False,32.0,25.0,1.0,,0.0,6.0,9.0,19.0,24.0,2.0,12.0,10.0,,6.0,,1.0,,,,,,,90.0,61.0,7.3,17.0,0.16436,3,,,,1.0,7.0,1.0,2.0,,2.0,2.0,0.3898,0.7357,3.0,3.0,,,3.0,3.0,3.0,2.0,nicopaz1o,1.0,,,,,,,,,,
12504403,home,Como,Assane Diao,assane-diao,A. Diao,F,38,185.0,18044,M,1493689,EUR,1126051200,M,38,38,False,14.0,12.0,,,0.0,6.0,7.0,6.0,9.0,1.0,6.0,6.0,,3.0,,1.0,,,,,,,73.0,33.0,7.4,11.0,0.101135,2,,,,1.0,1.0,,1.0,,3.0,2.0,0.2658,0.7143,,4.0,,,2.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,,,,,,
