match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,captain,stat_outfielderBlock,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_accurateKeeperSweeper,stat_penaltyWon,stat_goals
11453059,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195,19839,M,edou_mendy,845074,EUR,699408000,G,16,16,False,17.0,14.0,9.0,6.0,14.0,14.0,3.0,1.0,7.0,1.0,1.0,90.0,25.0,6.8,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Ali Majrashi,,,ali-majrashi,A. Majrashi,D,27,177,404,M,,917035,EUR,938736000,D,27,27,False,21.0,18.0,2.0,1.0,9.0,9.0,17.0,9.0,4.0,,,89.0,50.0,7.1,9.0,0,9.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,6.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190,4099,M,merihdemiral,806968,EUR,889056000,D,28,28,False,35.0,27.0,13.0,6.0,15.0,17.0,18.0,3.0,1.0,,,90.0,47.0,7.0,9.0,1,12.0,,1.0,1.0,,,,7.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185,2314,M,,888949,EUR,911779200,D,3,3,False,31.0,26.0,5.0,2.0,16.0,17.0,14.0,7.0,4.0,,,90.0,55.0,6.8,8.0,1,10.0,,2.0,4.0,,1.0,,7.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Saad Yaslam Balobaid,Saad Yaslam Balobaid,,saad-yaslam-balobaid,S. Y. Balobaid,D,31,168,155,M,,1066588,EUR,948931200,D,31,31,False,20.0,16.0,,,7.0,10.0,10.0,3.0,2.0,,,78.0,32.0,6.3,8.0,0,9.0,,,4.0,1.0,1.0,,1.0,,3.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183,43381,M,franckkessie,359226,EUR,850953600,M,79,79,False,45.0,41.0,6.0,4.0,21.0,21.0,24.0,3.0,5.0,,,90.0,60.0,7.0,6.0,4,20.0,,,7.0,1.0,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,4.0,,,,2.0,,2.0,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Ali Al-Asmari,,,ali-al-asmari,A. Al-Asmari,M,40,185,72,M,,881838,EUR,853027200,M,40,40,False,27.0,21.0,4.0,2.0,12.0,13.0,15.0,3.0,7.0,,,63.0,33.0,6.4,8.0,0,9.0,1.0,,6.0,4.0,1.0,,,1.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179,70718,M,RMahrez,158213,EUR,667094400,M,7,7,False,32.0,26.0,1.0,,6.0,7.0,32.0,3.0,2.0,,,90.0,50.0,7.1,14.0,1,22.0,7.0,,3.0,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,
11453059,home,Al-Ahli,Roberto Firmino,,,roberto-firmino,R. Firmino,M,9,181,30860,M,BobbyFirmino,143697,EUR,686361600,M,10,10,False,30.0,24.0,,,9.0,10.0,20.0,7.0,4.0,,,90.0,43.0,7.1,12.0,1,15.0,,4.0,4.0,,2.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,,,,,,1.0,,2.0,,,2.0,True,1.0,,,,,,,
11453059,home,Al-Ahli,Allan Saint-Maximin,,,allan-saint-maximin,A. Saint-Maximin,F,9,173,12636,M,st_maximin,347010,EUR,858124800,M,97,97,False,13.0,12.0,,,3.0,3.0,12.0,,4.0,,,78.0,21.0,6.6,9.0,0,9.0,2.0,,1.0,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Firas Al-Buraikan,,,firas-al-buraikan,F. Al-Buraikan,F,9,181,1082,M,,893307,EUR,958262400,F,20,20,False,7.0,7.0,,,3.0,3.0,4.0,2.0,1.0,,,89.0,12.0,6.9,2.0,0,4.0,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
11453059,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180,354,M,,1048372,EUR,1005436800,M,30,30,True,23.0,20.0,2.0,1.0,8.0,8.0,15.0,3.0,1.0,,,27.0,28.0,6.9,4.0,0,12.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Abdullah Al-Amar,,,abdullah-al-amar,A. Al-Amar,D,,177,110,M,,817911,EUR,762480000,D,15,15,True,9.0,9.0,2.0,2.0,2.0,2.0,9.0,1.0,,,,12.0,18.0,7.1,,0,9.0,2.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,
11453059,home,Al-Ahli,Sumaihan Al-Nabit,,,sumaihan-al-nabit,S. Al-Nabit,M,88,174,111,M,,893167,EUR,827884800,M,8,8,True,9.0,7.0,1.0,1.0,1.0,1.0,10.0,1.0,,,,12.0,15.0,6.7,6.0,1,6.0,2.0,,3.0,,2.0,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,2.0,,,,,,,,,
11453059,home,Al-Ahli,Haitham Mohammed Asiri,,,asiri-haitham-mohammed,H. M. Asiri,F,19,173,106,M,,1118489,EUR,993945600,F,17,17,True,1.0,1.0,,,,,1.0,1.0,,,,11.0,3.0,6.6,,0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Fahad Ayed Al-Rashidi,,,al-rashidi-fahad-ayed,F. A. Al-Rashidi,F,97,175,231,M,,974517,EUR,863740800,F,19,19,True,2.0,1.0,,,,,2.0,,,,,10.0,4.0,6.1,1.0,1,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
11453059,home,Al-Ahli,Abdulrahman Al Sanbi,Abdulrahman Al Sanbi,,abdulrahman-al-sanbi,A. A. Sanbi,G,1,181,227,M,,1066728,EUR,981072000,G,1,1,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Abdulbaset Hindi,,,abdulbaset-hindi,A. Hindi,D,37,181,80,M,,949218,EUR,854841600,D,37,37,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Rayan Hamed,Rayan Hamed,,rayan-hamed,R. Hamed,D,46,176,226,M,,1429251,EUR,1018656000,D,46,46,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453059,home,Al-Ahli,Faisal Al-Sibyani,,,faisal-al-sibyani,F. Al-Sibyani,M,6,172,54,M,,1217924,EUR,1057536000,M,65,65,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453059,away,Al-Nassr,David Ospina,,,david-ospina,D. Ospina,G,1,183,5027,M,D_Ospina1,33596,EUR,588988800,G,26,26,False,32.0,21.0,15.0,5.0,19.0,22.0,10.0,3.0,14.0,,1.0,90.0,48.0,7.7,11.0,0,2.0,,3.0,1.0,,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,1.0,,
11453059,away,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168,1412,M,,1130539,EUR,989798400,D,23,23,False,49.0,45.0,3.0,1.0,23.0,24.0,26.0,4.0,7.0,,,89.0,75.0,7.2,9.0,1,22.0,1.0,,2.0,1.0,1.0,,1.0,3.0,1.0,,3.0,3.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,
11453059,away,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,,818667,EUR,830390400,D,78,78,False,47.0,41.0,5.0,4.0,30.0,32.0,15.0,1.0,2.0,,,72.0,56.0,6.8,9.0,0,11.0,,,3.0,1.0,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,
