match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_challengeLost,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,player_firstName,stat_shotOffTarget,stat_bigChanceMissed,player_lastName,stat_goalAssist,stat_goals
11352308,home,Bournemouth,Neto,neto,Neto,G,22,190,5148,M,Neto_Murara,84844,EUR,616809600,G,1,1,False,True,24.0,13.0,15.0,5.0,10.0,12.0,3.0,12.0,8.0,1.0,3.0,2.0,2.0,90.0,33.0,6.1,11.0,0.00021853,0,-1.1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352308,home,Bournemouth,Max Aarons,max-aarons,M. Aarons,D,3,178,1261,M,,943645,EUR,946944000,D,37,37,False,,22.0,12.0,5.0,1.0,4.0,7.0,8.0,16.0,5.0,,,,,87.0,47.0,6.4,17.0,0.020421,0,,1.0,4.0,8.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
11352308,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,,33.0,25.0,10.0,5.0,17.0,22.0,8.0,11.0,4.0,,,,,90.0,41.0,6.2,9.0,0.0182528,0,,,1.0,4.0,,,,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
11352308,home,Bournemouth,Chris Mepham,chris-mepham,C. Mepham,D,2,191,391,M,,865740,EUR,878688000,D,6,6,False,,33.0,27.0,8.0,4.0,16.0,19.0,11.0,14.0,2.0,,,,,90.0,47.0,6.2,6.0,0.0131017,0,,,9.0,5.0,,,,3.0,1.0,2.0,2.0,,1.0,2.0,,4.0,2.0,1.0,3.0,,,,,,,,,,,,,
11352308,home,Bournemouth,James Hill,james-hill,J. Hill,D,23,184,554,M,,1156586,EUR,1010620800,D,23,23,False,,18.0,13.0,4.0,1.0,9.0,12.0,4.0,6.0,7.0,,,,,55.0,40.0,7.0,11.0,0.00294328,0,,,2.0,5.0,,1.0,,6.0,2.0,3.0,2.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
11352308,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,,30.0,24.0,4.0,1.0,9.0,11.0,15.0,23.0,5.0,,,,,83.0,46.0,6.7,12.0,0.0823544,0,,4.0,4.0,4.0,,3.0,2.0,3.0,2.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
11352308,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,,51.0,38.0,6.0,3.0,15.0,18.0,23.0,34.0,9.0,,,,,90.0,76.0,6.7,27.0,0.257599,2,,1.0,11.0,5.0,5.0,6.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,0.0608,0.1602,,,,,,,
11352308,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,,34.0,24.0,4.0,1.0,6.0,6.0,19.0,37.0,9.0,,,,,90.0,69.0,7.2,28.0,0.162855,1,,9.0,6.0,10.0,3.0,4.0,1.0,1.0,,7.0,7.0,2.0,1.0,,2.0,,1.0,,,,,,1.0,0.0213,,1.0,,,,,,
11352308,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,,11.0,8.0,1.0,1.0,4.0,4.0,4.0,7.0,2.0,,,,,69.0,30.0,6.3,12.0,0.0176867,3,,,9.0,3.0,3.0,4.0,2.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,2.0,,,,3.0,0.2816,,,,,,,,
11352308,home,Bournemouth,Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6576,M,Sinisterra29,836070,EUR,929577600,M,17,17,False,,15.0,8.0,,,5.0,9.0,3.0,6.0,4.0,,,,,55.0,34.0,6.6,15.0,0.0632192,0,,,6.0,5.0,1.0,5.0,3.0,1.0,2.0,1.0,,4.0,,,,3.0,1.0,,,,,,,,,,,,,,,
