match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist
10382160,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187,669,M,943212,EUR,953942400,G,31,31,False,47.0,36.0,21.0,10.0,30.0,34.0,6.0,13.0,1.0,1.0,1.0,17.0,2.0,3.0,3.0,1.0,90.0,60.0,6.7,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382160,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,38.0,30.0,7.0,2.0,15.0,18.0,15.0,23.0,,5.0,1.0,5.0,,,,,90.0,61.0,6.6,17.0,0,3.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10382160,home,Fortuna Sittard,Ximo Navarro,ximo-navarro,X. Navarro,D,23,176,95,M,150864,EUR,633052800,D,2,2,False,65.0,54.0,6.0,1.0,46.0,49.0,8.0,16.0,5.0,7.0,4.0,9.0,,,,,90.0,79.0,6.9,11.0,1,,1.0,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10382160,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,84.0,70.0,15.0,8.0,62.0,68.0,8.0,16.0,3.0,4.0,4.0,7.0,,,,,90.0,98.0,7.5,15.0,0,,5.0,,1.0,,,3.0,,2.0,2.0,Rodrigo,Guth,1.0,1.0,2.0,,,,,,,,,,,,,,
10382160,home,Fortuna Sittard,George Cox,george-cox,G. Cox,M,,171,91,M,920556,EUR,884736000,D,5,5,False,17.0,15.0,2.0,,12.0,12.0,3.0,7.0,,,1.0,1.0,,,,,45.0,27.0,6.0,7.0,0,2.0,4.0,,,,,,,1.0,1.0,George,Cox,,,1.0,3.0,,,,,,,,,,,,,
10382160,home,Fortuna Sittard,Úmaro Embaló,umaro-embalo,Ú. Embaló,M,,170,335,M,901857,EUR,989107200,M,85,85,False,4.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,,1.0,,,,,45.0,12.0,6.9,4.0,0,2.0,2.0,,3.0,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10382160,home,Fortuna Sittard,Doğan Erdoğan,dogan-erdogan,D. Erdoğan,M,21,182,50,M,257407,EUR,840672000,M,21,21,False,40.0,27.0,9.0,5.0,14.0,19.0,13.0,21.0,,2.0,2.0,7.0,,,,,90.0,52.0,6.3,17.0,0,,9.0,,2.0,2.0,,2.0,,,2.0,,,,,3.0,,,4.0,,,,,,,,,,,
10382160,home,Fortuna Sittard,Oğuzhan Özyakup,oguzhan-ozyakup,O. Özyakup,M,,180,252,M,137642,EUR,717206400,M,15,15,False,25.0,17.0,3.0,,12.0,13.0,5.0,13.0,,2.0,1.0,5.0,,,,,68.0,32.0,6.2,10.0,0,1.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,
10382160,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,19.0,10.0,2.0,,6.0,7.0,5.0,16.0,,3.0,1.0,6.0,,,,,77.0,40.0,6.4,21.0,1,4.0,7.0,4.0,1.0,,1.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,
10382160,home,Fortuna Sittard,Paul Gladon,paul-gladon,P. Gladon,F,19,188,61,M,148615,EUR,700876800,F,11,11,False,19.0,11.0,1.0,,,4.0,11.0,16.0,7.0,9.0,2.0,2.0,,,,,68.0,28.0,6.8,11.0,0,1.0,1.0,,,,2.0,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,
