match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_errorLeadToAShot,stat_fouls,stat_totalCross,stat_accurateCross,stat_keyPass,stat_ownGoals,player_firstName,player_lastName,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside
13473359,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,28.0,17.0,15.0,4.0,0.0,14.0,16.0,3.0,12.0,1.0,5.0,1.0,1.0,2.0,1.0,90.0,35.0,6.5,11.0,0.00041615,0,-0.7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Paulo Henrique,paulo-henrique,P. Henrique,D,96,175,6662,M,,1021721,EUR,838252800,D,96,96,False,39.0,29.0,,,0.0,17.0,22.0,12.0,17.0,8.0,11.0,,,,,90.0,83.0,8.2,17.0,0.0725985,1,,1.0,3.0,5.0,19.0,2.0,2.0,7.0,7.0,1.0,1.0,2.0,8.0,5.0,3.0,1.0,0.053,,,,,,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,João Victor,joao-victor,J. Victor,D,38,187,1769,M,,982998,EUR,900633600,D,38,38,False,47.0,41.0,7.0,3.0,0.0,30.0,30.0,11.0,17.0,10.0,2.0,,,,,90.0,72.0,8.0,8.0,0.00905078,1,,,6.0,,10.0,,,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,,0.0175,1.0,,,,,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Lucas Freitas,lucas-freitas,L. Freitas,D,43,184,1198,M,,1069729,EUR,979948800,D,43,43,False,44.0,40.0,3.0,3.0,0.0,31.0,35.0,9.0,9.0,6.0,2.0,,,,,90.0,64.0,7.9,5.0,0.0026499,0,,,1.0,2.0,4.0,,,,,,6.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,53.0,46.0,6.0,4.0,0.0,22.0,24.0,24.0,29.0,3.0,2.0,,,,,90.0,74.0,7.4,10.0,0.147986,1,,,2.0,1.0,5.0,,,,,1.0,,2.0,2.0,2.0,1.0,1.0,0.035,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Tchê Tchê,tche-tche,Tchê Tchê,M,3,175,2494,M,,840398,EUR,715132800,M,3,3,False,17.0,17.0,1.0,1.0,0.0,8.0,8.0,9.0,9.0,,3.0,,,,,62.0,27.0,6.6,3.0,0.0102239,0,,1.0,,3.0,3.0,,2.0,1.0,1.0,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Hugo Moura,hugo-moura,H. Moura,M,25,177,1953,M,,973293,EUR,883785600,M,25,25,False,31.0,28.0,2.0,,0.0,24.0,24.0,4.0,7.0,6.0,6.0,,,,,90.0,44.0,6.2,5.0,0.00278985,0,,2.0,,7.0,,2.0,,,,,,2.0,,,1.0,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Benjamín Garré,benjamin-garre,B. Garré,M,90,171,1416,M,,904847,EUR,963273600,M,15,15,False,22.0,16.0,,,0.0,8.0,10.0,8.0,12.0,,4.0,,,,,62.0,28.0,6.6,9.0,0.16246,0,,,,3.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,
13473359,home,Vasco da Gama,Philippe Coutinho,philippe-coutinho,P. Coutinho,M,,172,68539,M,Coutinho,119159,EUR,708307200,M,11,11,False,30.0,25.0,1.0,,1.0,6.0,8.0,19.0,22.0,,3.0,,,,,69.0,49.0,7.6,12.0,0.519224,2,,1.0,,3.0,3.0,,1.0,2.0,1.0,1.0,,,2.0,,4.0,,0.0489,,,2.0,1.0,5.0,,,,1.0,1.0,0.2243,,,,,,,,
13473359,home,Vasco da Gama,Nuno Moreira,nuno-moreira,N. Moreira,M,17,173,4340,M,,851285,EUR,929491200,M,17,17,False,29.0,25.0,1.0,1.0,1.0,5.0,5.0,20.0,24.0,,6.0,,,,,79.0,44.0,8.2,6.0,0.256138,1,,,,1.0,6.0,,1.0,1.0,1.0,,1.0,2.0,3.0,2.0,1.0,2.0,0.0143,,,1.0,1.0,1.0,,,,1.0,1.0,0.1461,,,,,,,,
