match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_fouls,stat_errorLeadToAShot,stat_aerialLost,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,captain,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle,stat_goalAssist,stat_hitWoodwork,stat_goals
11352390,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,19.0,15.0,7.0,3.0,13.0,14.0,2.0,5.0,8.0,1.0,1.0,90.0,24.0,6.3,4.0,0.0147185,0,-1.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352390,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,29.0,25.0,3.0,,11.0,14.0,14.0,16.0,2.0,,,67.0,46.0,7.4,7.0,0.0259194,0,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11352390,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,48.0,45.0,,,27.0,30.0,18.0,18.0,5.0,,,90.0,58.0,6.6,5.0,0.0085179,0,,,4.0,5.0,2.0,3.0,1.0,1.0,1.0,,1.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352390,home,Arsenal,Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,45.0,41.0,1.0,,27.0,27.0,14.0,18.0,5.0,,,90.0,56.0,6.5,5.0,0.0139645,0,,,2.0,2.0,,4.0,2.0,,,,1.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11352390,home,Arsenal,Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,47,175,18055,M,OZinchenko,287643,EUR,850608000,D,35,35,False,50.0,44.0,2.0,1.0,17.0,19.0,27.0,31.0,6.0,,,87.0,70.0,6.7,13.0,0.164553,1,,,4.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,1.0,,2.0,,,1.0,1.0,1.0,0.0684,,,,,,,,,,,,,,,,,,
11352390,home,Arsenal,Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,44.0,38.0,1.0,1.0,11.0,12.0,27.0,32.0,3.0,,,79.0,66.0,7.4,14.0,0.295074,3,,,4.0,5.0,,,,1.0,1.0,1.0,4.0,,2.0,,1.0,1.0,,,,,0.1587,True,5.0,3.0,3.0,1.0,,,,,,,,,,,,,
11352390,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,60.0,54.0,5.0,2.0,25.0,28.0,29.0,32.0,9.0,,,90.0,73.0,7.0,9.0,0.0628105,2,,,4.0,5.0,1.0,1.0,,,3.0,3.0,1.0,,,1.0,1.0,2.0,,1.0,,2.0,0.0472,,,,,1.0,,,,,,,,,,,,,
11352390,home,Arsenal,Kai Havertz,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,M,29,29,False,23.0,17.0,,,5.0,5.0,13.0,19.0,3.0,,,90.0,35.0,6.5,10.0,0.289273,3,,1.0,7.0,5.0,2.0,,,,1.0,1.0,2.0,1.0,1.0,4.0,,1.0,,2.0,,,0.2441,,2.0,,1.0,,1.0,1.0,2.0,0.9822,,,,,,,,,
11352390,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,42.0,35.0,2.0,,9.0,10.0,28.0,38.0,6.0,,,90.0,66.0,7.7,13.0,0.266838,4,,6.0,5.0,6.0,3.0,1.0,,,2.0,2.0,,,3.0,1.0,,,,,,4.0,0.4944,,2.0,,,3.0,2.0,,,,,,,,,,,,
11352390,home,Arsenal,Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,74471,M,GabrielJesus,794839,EUR,860025600,F,9,9,False,14.0,13.0,,,,,13.0,14.0,1.0,,,79.0,34.0,7.3,6.0,0.576995,3,,,4.0,4.0,,2.0,,,1.0,,2.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,0.2303,,3.0,2.0,1.0,1.0,,,1.0,0.1634,,,,,,,,,
