match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_challengeLost,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_outfielderBlock,stat_totalOffside,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_punches
10629318,home,Manchester United,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3069,M,42209,EUR,600825600,G,31,31,False,27.0,19.0,9.0,1.0,19.0,21.0,6.0,8.0,1.0,1.0,90.0,35.0,6.2,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10629318,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22937,M,843200,EUR,921715200,D,20,20,False,48.0,41.0,9.0,5.0,29.0,32.0,17.0,7.0,,,90.0,67.0,6.5,14.0,1,DDalot,12.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10629318,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27967,M,149380,EUR,731289600,D,5,5,False,65.0,55.0,7.0,5.0,44.0,48.0,17.0,2.0,,,90.0,72.0,6.6,10.0,1,harrymaguire93,11.0,,2.0,3.0,4.0,,,2.0,1.0,,,,1.0,3.0,,True,1.0,,,,,,,,,,,,,,,
10629318,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8787,M,143334,EUR,774403200,D,2,2,False,68.0,63.0,7.0,5.0,55.0,56.0,12.0,8.0,,,87.0,73.0,6.6,7.0,0,victorlindelof,8.0,,2.0,1.0,4.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
10629318,home,Manchester United,Tyrell Malacia,,,tyrell-malacia,T. Malacia,D,12,169,8793,M,825839,EUR,934761600,D,12,12,False,70.0,63.0,7.0,5.0,29.0,32.0,41.0,7.0,,,90.0,96.0,6.9,11.0,0,tyrellmalacia,35.0,3.0,,9.0,9.0,2.0,,1.0,5.0,5.0,,,3.0,4.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10629318,home,Manchester United,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25842,M,879346,EUR,850003200,M,39,39,False,51.0,45.0,4.0,2.0,30.0,31.0,20.0,5.0,,,90.0,66.0,7.7,8.0,2,ScottMcTominay,15.0,,1.0,3.0,6.0,1.0,,5.0,3.0,1.0,,2.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
10629318,home,Manchester United,Fred,,,fred,Fred,M,7,169,11619,M,243623,EUR,731289600,M,17,17,False,33.0,28.0,1.0,1.0,13.0,14.0,19.0,4.0,,,62.0,42.0,6.5,10.0,0,fred08,15.0,,,3.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,2.0,,,,,,,1.0,,,,
10629318,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,288205,EUR,778982400,M,8,8,False,42.0,28.0,8.0,4.0,6.0,7.0,41.0,3.0,,,90.0,69.0,8.8,21.0,7,BrunoFernandes,24.0,6.0,,2.0,4.0,,1.0,1.0,3.0,2.0,,,1.0,,1.0,,4.0,1.0,2.0,,1.0,,2.0,,1.0,,1.0,,1.0,1.0,,
10629318,home,Manchester United,Donny van de Beek,,,donny-van-de-beek,D. v. d. Beek,M,6,183,7945,M,361790,EUR,861321600,M,34,34,False,17.0,12.0,2.0,,4.0,5.0,12.0,1.0,,,62.0,21.0,6.3,7.0,0,donnyvdbeek,8.0,,1.0,2.0,2.0,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
10629318,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,363363,M,814590,EUR,878256000,M,10,10,False,26.0,21.0,,,4.0,5.0,22.0,4.0,,,82.0,44.0,7.5,12.0,4,Rashford,18.0,1.0,1.0,3.0,4.0,3.0,2.0,,2.0,1.0,,3.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,
