match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,captain,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_blockedScoringAttempt,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_lastManTackle,stat_goodHighClaim,stat_clearanceOffLine,stat_errorLeadToAShot,stat_hitWoodwork
12499532,home,SV Werder Bremen,Michael Zetterer,michael-zetterer,M. Zetterer,G,23,187,476,M,190161,EUR,805507200,G,1,1,False,37.0,28.0,19.0,10.0,0.0,26.0,28.0,2.0,9.0,15.0,4.0,4.0,1.0,1.0,90.0,51.0,8.1,9.0,0.00120073,0,1.2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499532,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,53.0,51.0,3.0,2.0,0.0,41.0,41.0,10.0,12.0,5.0,,,,,90.0,59.0,7.2,3.0,0.00393185,1,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0248,,,,,,,,,,,,,,,,,,,,,,,,,
12499532,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,54.0,51.0,6.0,4.0,0.0,45.0,47.0,6.0,7.0,4.0,,,,,90.0,69.0,7.5,4.0,0.00228694,0,,1.0,2.0,3.0,6.0,,4.0,1.0,2.0,,1.0,,True,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12499532,home,SV Werder Bremen,Amos Pieper,amos-pieper,A. Pieper,D,5,191,299,M,851254,EUR,884995200,D,5,5,False,70.0,65.0,11.0,8.0,0.0,46.0,47.0,19.0,23.0,5.0,,,,,90.0,83.0,7.9,5.0,0.0195561,2,,1.0,2.0,1.0,3.0,1.0,6.0,1.0,1.0,,,0.078,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
12499532,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,54.0,40.0,5.0,4.0,0.0,16.0,19.0,25.0,41.0,5.0,,,,,88.0,94.0,7.5,24.0,0.449356,1,,,1.0,6.0,8.0,1.0,2.0,,1.0,3.0,1.0,0.0367,,,2.0,1.0,2.0,,,2.0,6.0,1.0,4.0,4.0,3.0,1.0,,,,,,,,,,,
12499532,home,SV Werder Bremen,Jens Stage,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,False,44.0,34.0,6.0,2.0,0.0,20.0,23.0,14.0,21.0,7.0,,,,,90.0,59.0,6.8,11.0,0.441441,2,,1.0,1.0,1.0,5.0,,,2.0,1.0,,,0.4764,,,2.0,2.0,1.0,,1.0,3.0,,,,1.0,1.0,,2.0,1.0,0.1854,,,,,,,,
12499532,home,SV Werder Bremen,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,14,14,False,35.0,31.0,5.0,2.0,0.0,21.0,23.0,10.0,12.0,6.0,,,,,85.0,48.0,6.9,6.0,0.0118906,2,,1.0,,6.0,3.0,,2.0,,3.0,,2.0,0.2025,,2.0,2.0,2.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,
12499532,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,M,20,20,False,51.0,41.0,4.0,1.0,0.0,7.0,8.0,38.0,49.0,3.0,,,,,90.0,71.0,8.1,17.0,0.892183,2,,1.0,1.0,6.0,7.0,1.0,,,,3.0,1.0,0.1207,,1.0,1.0,,4.0,,1.0,5.0,6.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,
12499532,home,SV Werder Bremen,Felix Agu,agu-felix,F. Agu,M,27,180,629,M,933398,EUR,938390400,M,27,27,False,36.0,31.0,1.0,1.0,0.0,18.0,20.0,13.0,18.0,5.0,,,,,80.0,54.0,6.5,9.0,0.0178282,2,,3.0,1.0,4.0,5.0,1.0,1.0,,,2.0,,0.3616,,,,,3.0,,1.0,,2.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,
12499532,home,SV Werder Bremen,Oliver Burke,oliver-burke,O. Burke,F,7,188,486,M,608362,EUR,860371200,F,15,15,False,32.0,24.0,1.0,1.0,0.0,4.0,8.0,20.0,28.0,,,,,,80.0,49.0,7.4,17.0,0.312,5,,1.0,3.0,2.0,5.0,,,,,4.0,,0.5514,,,,,,1.0,2.0,2.0,4.0,,1.0,2.0,2.0,,1.0,3.0,0.3933,,,,,,,,
