match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_shotOffTarget,stat_fouls,stat_shotValueNormalized,stat_onTargetScoringAttempt,captain,stat_dispossessed,stat_penaltyConceded,stat_totalContest,stat_wonContest,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_errorLeadToAGoal
14888316,home,Chelmsford City,Chris Haigh,,,chris-haigh,C. Haigh,G,1,186.0,7,M,824836,EUR,860198400.0,G,1,1,False,33.0,14.0,33.0,14.0,0.0,1.0,1.0,13.0,32.0,3.0,1.0,1.0,2.0,90.0,35.0,6.9,19.0,0.1157,0,0.27,0.01,-0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14888316,home,Chelmsford City,Kian Ronan,Kian,Ronan,kian-ronan,K. Ronan,D,2,176.0,26,M,986178,EUR,984096000.0,D,2,2,False,24.0,12.0,5.0,1.0,0.0,3.0,7.0,9.0,17.0,2.0,,,,90.0,55.0,6.8,23.0,,0,0.35,0.03,-0.2,,4.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14888316,home,Chelmsford City,Ben Tompkins,Ben ,Tompkins,ben-tompkins,B. Tompkins,D,16,179.0,2,M,1909014,EUR,1093910400.0,D,16,16,False,21.0,17.0,6.0,3.0,0.0,11.0,13.0,6.0,8.0,3.0,,,,90.0,31.0,7.0,4.0,,0,0.13,0.0,-0.04,,,,1.0,2.0,1.0,6.0,2.0,2.0,,3.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,
14888316,home,Chelmsford City,David Longe-King,David Longe-King,,david-longe-king,D. Longe-King,D,6,193.0,4,M,1064336,EUR,791078400.0,D,6,6,False,14.0,10.0,4.0,1.0,0.0,7.0,8.0,3.0,6.0,,,,,90.0,25.0,6.5,4.0,,1,0.06,0.0,-0.09,,,,2.0,4.0,7.0,7.0,5.0,1.0,,2.0,,,2.0,1.0,1.0,1.0,4.0,-0.14,,,,,,,,,,,,
14888316,home,Chelmsford City,Harry Barbrook,Harry,Barbrook,harry-barbrook,H. Barbrook,D,3,181.0,6,M,1901335,EUR,1102118400.0,D,3,3,False,23.0,15.0,6.0,4.0,0.0,4.0,9.0,11.0,14.0,3.0,,,,90.0,47.0,7.4,14.0,,2,0.19,-0.21,-0.06,,1.0,1.0,,4.0,1.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,0.18,1.0,,,,,,,,,,,
14888316,home,Chelmsford City,Dominic Odusanya,Dominic Odusanya,,dominic-odusanya,D. Odusanya,M,8,169.0,7,M,1386032,EUR,919728000.0,M,8,8,False,23.0,14.0,7.0,4.0,0.0,4.0,6.0,10.0,17.0,2.0,,,,90.0,31.0,6.9,11.0,,0,0.13,0.02,-0.03,,,,,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,True,,,,,,,,,,
14888316,home,Chelmsford City,Ricky Holmes,Ricky,Holmes,ricky-holmes,R. Holmes,M,11,188.0,7,M,120082,EUR,551059200.0,M,11,11,False,30.0,21.0,11.0,5.0,0.0,7.0,8.0,14.0,22.0,6.0,,,,89.0,45.0,7.4,13.0,,0,0.63,0.17,-0.06,,7.0,5.0,4.0,3.0,7.0,6.0,2.0,,1.0,1.0,4.0,,2.0,2.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,
14888316,home,Chelmsford City,Jason Adigun,Jason,Adigun,jason-adigun,J. Adigun,M,23,178.0,23,M,1933631,EUR,1070323200.0,M,23,23,False,16.0,12.0,2.0,2.0,0.0,1.0,2.0,11.0,14.0,2.0,,,,89.0,35.0,7.5,13.0,,3,0.42,0.29,0.24,,1.0,,2.0,,11.0,3.0,,,3.0,,1.0,,2.0,2.0,,2.0,5.0,0.48,1.0,,4.0,,1.0,1.0,1.0,1.0,,,,
14888316,home,Chelmsford City,Sam Folarin,,,sam-folarin,S. Folarin,F,17,,28,M,1007057,EUR,969667200.0,M,10,10,False,11.0,9.0,,,2.0,1.0,1.0,8.0,10.0,3.0,,,,73.0,31.0,7.9,11.0,,0,0.76,0.3,-0.1,,4.0,1.0,3.0,1.0,10.0,6.0,,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,4.0,,3.0,2.0,,2.0,2.0,,,
14888316,home,Chelmsford City,Jesurun Uchegbulam,Jesurun,Uchegbulam,jesurun-uchegbulam,J. Uchegbulam,M,9,178.0,16,M,1399537,EUR,978307200.0,M,9,9,False,18.0,13.0,,,1.0,6.0,7.0,7.0,11.0,6.0,,,,89.0,29.0,8.2,8.0,,2,0.34,0.25,-0.08,,1.0,1.0,,1.0,2.0,3.0,,,2.0,1.0,2.0,,1.0,,1.0,1.0,,0.46,1.0,,1.0,,,,1.0,,1.0,,,
