match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,stat_totalContest,stat_wonContest,stat_goals,captain,stat_bigChanceCreated,stat_totalOffside,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyConceded,player_sofascoreId,stat_accurateKeeperSweeper,stat_penaltyMiss
12514201,home,CD Nacional,Lucas França,lucas-franca,L. França,G,37,194,104,M,832672,EUR,822009600,G,37,37,False,23.0,7.0,18.0,2.0,0.0,5.0,6.0,2.0,17.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,29.0,6.8,16.0,0.00015313,0,0.1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514201,home,CD Nacional,Gustavo García,gustavo-garcia,G. García,D,2,175,678,M,1002443,EUR,1010102400,D,22,22,False,42.0,30.0,7.0,4.0,0.0,20.0,24.0,10.0,20.0,1.0,3.0,,,,,,,90.0,74.0,7.3,23.0,0.0125214,1,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0298,0.3873,1.0,,,,,,,,,,,,,,,,,,,,,,,
12514201,home,CD Nacional,Ulisses,ulisses,Ulisses,D,4,183,102,M,926869,EUR,938476800,D,4,4,False,45.0,39.0,5.0,2.0,0.0,31.0,35.0,8.0,10.0,5.0,5.0,,,,,,,90.0,58.0,6.2,9.0,0.00400993,0,,,,,8.0,6.0,,,,,3.0,3.0,,,1.0,4.0,3.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,
12514201,home,CD Nacional,Ze Vitor,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,48.0,34.0,12.0,4.0,0.0,28.0,32.0,6.0,16.0,5.0,4.0,,,,,,,90.0,69.0,7.2,16.0,0.00248668,3,,,,,3.0,11.0,1.0,1.0,,,4.0,3.0,0.0289,0.0093,,1.0,6.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12514201,home,CD Nacional,José Gomes,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,28.0,24.0,2.0,1.0,1.0,17.0,18.0,8.0,13.0,5.0,3.0,,,,,,,90.0,50.0,7.3,12.0,0.0913458,2,,,,3.0,2.0,4.0,,,,1.0,,,0.1594,,2.0,1.0,2.0,,,2.0,,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,
12514201,home,CD Nacional,Djibril Soumaré,djibril-soumare,D. Soumaré,M,18,185,289,M,1394929,EUR,1041897600,M,27,27,False,40.0,39.0,3.0,3.0,0.0,27.0,27.0,12.0,13.0,2.0,3.0,,,,,,,88.0,53.0,7.4,3.0,0.00820193,3,,El Hadji Djibril,Soumaré,,6.0,6.0,1.0,1.0,,,4.0,1.0,0.156,0.8861,,,1.0,2.0,,,3.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,
12514201,home,CD Nacional,Luís Esteves,luis-esteves,L. Esteves,M,10,171,237,M,1097527,EUR,892080000,M,10,10,False,36.0,29.0,8.0,4.0,1.0,17.0,19.0,14.0,20.0,2.0,2.0,,,,,,,88.0,54.0,7.3,12.0,0.65969,0,,Luís,Esteves,3.0,2.0,3.0,1.0,,,2.0,,,,,3.0,,1.0,,,2.0,,,,,2.0,2.0,2.0,1.0,,True,1.0,,,,,,,
12514201,home,CD Nacional,Dudu,dudu,Dudu,F,7,179,136,M,937743,EUR,934243200,M,99,99,False,15.0,13.0,1.0,1.0,0.0,2.0,3.0,12.0,13.0,,3.0,,,,,,,69.0,24.0,7.9,5.0,0.168752,2,,,,1.0,2.0,2.0,,2.0,1.0,,2.0,2.0,0.5246,1.1105,2.0,,,,,1.0,,,,,,1.0,2.0,,1.0,,1.0,1.0,,,,,,
12514201,home,CD Nacional,Daniel Penha,daniel-penha,D. Penha,M,14,170,229,M,862256,EUR,908582400,M,17,17,False,19.0,15.0,,,0.0,7.0,8.0,9.0,13.0,,3.0,,,,,,,69.0,31.0,7.1,8.0,0.0258946,3,,,,2.0,3.0,2.0,,1.0,,1.0,,,0.0804,0.3031,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,1.0,,,,,
12514201,home,CD Nacional,Bruno Costa,bruno-costa,B. Costa,M,,174,140,M,343619,EUR,861408000,M,8,8,False,28.0,26.0,1.0,,0.0,10.0,11.0,17.0,19.0,2.0,6.0,,,,,,,90.0,46.0,7.6,4.0,0.0893785,3,,,,2.0,2.0,7.0,,1.0,1.0,,1.0,1.0,1.4071,0.8657,2.0,,1.0,1.0,,,1.0,1.0,1.0,,5.0,1.0,,,1.0,,,,,1.0,,,,
