match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_outfielderBlock,player_firstName,player_lastName,stat_unsuccessfulTouch,captain,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist
10388292,home,VfL Bochum 1848,Manuel Riemann,manuel-riemann,M. Riemann,G,1,186,218,M,24937,EUR,589766400,G,1,1,False,37.0,22.0,32.0,17.0,7.0,8.0,15.0,29.0,2.0,4.0,1.0,10.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,90.0,50.0,7.9,15.0,0.0,0.0,0.0195553,0,1.9001,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388292,home,VfL Bochum 1848,Cristian Gamboa,cristian-gamboa,C. Gamboa,D,,175,274,M,117794,EUR,625190400,D,2,2,False,16.0,11.0,4.0,2.0,6.0,9.0,5.0,9.0,,4.0,,6.0,,,,,,,,78.0,31.0,6.6,9.0,0.0286,0.0,0.00231369,1,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
10388292,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,27.0,15.0,7.0,2.0,14.0,17.0,1.0,10.0,2.0,3.0,12.0,4.0,1.0,,,,,,,90.0,46.0,7.1,12.0,0.0505,0.0,0.00052607,1,,,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,
10388292,home,VfL Bochum 1848,Erhan Mašović,erhan-masovic,E. Mašović,D,4,189,232,M,833213,EUR,911692800,D,4,4,False,24.0,19.0,5.0,2.0,16.0,17.0,3.0,7.0,,,3.0,7.0,,,,,,,,90.0,32.0,6.6,5.0,0.0,0.0,0.00156462,0,,,1.0,1.0,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,
10388292,home,VfL Bochum 1848,Danilo Soares,danilo-soares,Danilo Soares,M,3,170,111,M,121551,EUR,688694400,D,3,3,False,22.0,18.0,3.0,2.0,9.0,12.0,9.0,10.0,,8.0,4.0,7.0,2.0,,,,,,,85.0,46.0,7.2,6.0,0.0,0.0,0.00936554,0,,,4.0,3.0,,,,2.0,6.0,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,,
10388292,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,19.0,8.0,2.0,1.0,5.0,10.0,3.0,9.0,2.0,5.0,2.0,5.0,,,,,,,,90.0,31.0,7.4,13.0,0.0766,0.4545,0.340572,1,,,7.0,2.0,,,,,3.0,2.0,4.0,1.0,1.0,,,2.0,True,1.0,1.0,1.0,,,,,,,,
10388292,home,VfL Bochum 1848,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,18.0,13.0,,,9.0,9.0,4.0,10.0,1.0,4.0,2.0,1.0,1.0,,,,,,,85.0,34.0,6.7,10.0,0.0454,0.0,0.00626192,1,,1.0,3.0,,,,,1.0,2.0,2.0,,1.0,,,,2.0,,,,1.0,2.0,1.0,,,,,,
10388292,home,VfL Bochum 1848,Takuma Asano,takuma-asano,T. Asano,M,11,173,2035,M,309546,EUR,784425600,M,11,11,False,13.0,9.0,1.0,,3.0,4.0,6.0,10.0,,2.0,1.0,7.0,,,,,,,,78.0,30.0,6.6,12.0,0.4701,0.085,0.0167799,5,,1.0,3.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,5.0,,1.0,,,,4.0,,,,,,
10388292,home,VfL Bochum 1848,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,35.0,26.0,6.0,3.0,12.0,12.0,17.0,29.0,,6.0,1.0,6.0,1.0,,,,,,,90.0,57.0,7.4,14.0,0.0484,0.0222,0.338878,2,,6.0,9.0,3.0,2.0,2.0,1.0,,3.0,3.0,2.0,3.0,,,,1.0,,1.0,,4.0,1.0,,3.0,,,,,
10388292,home,VfL Bochum 1848,Christopher Antwi-Adjei,christopher-antwi-adjei,C. Antwi-Adjei,M,18,171,469,M,844203,EUR,760579200,M,22,22,False,23.0,17.0,2.0,,5.0,6.0,12.0,20.0,,3.0,2.0,6.0,2.0,,,,,,,90.0,48.0,6.7,20.0,0.0,0.0,0.0443413,0,,3.0,6.0,,1.0,,,,1.0,1.0,3.0,2.0,,,,7.0,,,,3.0,,,,1.0,,,,
