match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_clearanceOffLine,stat_expectedGoalsOnTarget,stat_fouls,stat_aerialLost,stat_challengeLost,stat_errorLeadToAShot,captain,stat_totalOffside,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_blockedScoringAttempt
11408362,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,23.0,18.0,13.0,8.0,13.0,15.0,5.0,8.0,6.0,1.0,3.0,4.0,90.0,31.0,7.0,5.0,0.00079435,0,-0.3788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Alex Pinto,pinto-alex,A. Pinto,D,78,187,68,M,1034711,EUR,899856000,D,67,67,False,18.0,12.0,1.0,,7.0,9.0,5.0,9.0,4.0,,,,75.0,40.0,6.7,10.0,0.0208507,0,,,,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Gabriel Pereira,gabriel-pereira,G. Pereira,D,5,188,592,M,992652,EUR,957657600,D,13,13,False,35.0,27.0,9.0,5.0,18.0,23.0,9.0,12.0,3.0,,,,90.0,48.0,6.8,10.0,0.00979629,1,,,,5.0,,,5.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0162,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Jonathan Buatu,jonathan-buatu-mananga,J. Buatu,D,39,187,415,M,800348,EUR,749088000,D,39,39,False,34.0,25.0,5.0,1.0,20.0,24.0,5.0,10.0,4.0,,,,90.0,47.0,7.8,10.0,0.00270859,2,,,,3.0,,,4.0,,,1.0,1.0,,,1.0,1.0,1.0,,0.4128,1.0,1.0,1.0,0.8355,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Leonardo Buta,leonardo-buta,L. Buta,D,24,182,172,M,1120038,EUR,1023235200,D,23,23,False,18.0,13.0,4.0,1.0,6.0,9.0,7.0,9.0,3.0,,,,75.0,29.0,6.7,6.0,0.00240604,0,,,,2.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Mory Gbane,gbane-mory,M. Gbane,M,24,188,509,M,1003400,EUR,977702400,M,24,24,False,34.0,26.0,3.0,1.0,18.0,20.0,8.0,14.0,8.0,,,,90.0,48.0,6.9,10.0,0.0505579,1,,,,5.0,,,4.0,1.0,1.0,,2.0,2.0,1.0,1.0,,3.0,3.0,0.0914,,,,,1.0,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Maxime Dominguez,maxime-dominguez,M. Dominguez,M,10,172,688,M,282233,EUR,823132800,M,8,8,False,30.0,20.0,5.0,2.0,11.0,12.0,9.0,18.0,7.0,,,,59.0,35.0,6.0,15.0,0.00418319,0,,,,,,,,,2.0,,,8.0,3.0,,,,,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,
11408362,home,Gil Vicente,Murilo Souza,murilo-souza,M. Souza,F,77,176,196,M,611880,EUR,783561600,M,77,77,False,18.0,14.0,,,7.0,9.0,7.0,9.0,2.0,,,,59.0,34.0,6.2,11.0,0.00832737,1,,,,1.0,1.0,,,,,,,8.0,5.0,1.0,,1.0,1.0,0.1065,,,,,,1.0,1.0,,True,2.0,,,,,,,,,,
11408362,home,Gil Vicente,Kanya Fujimoto,kanya-fujimoto,K. Fujimoto,M,27,176,609,M,925987,EUR,930787200,M,10,10,False,32.0,24.0,1.0,,11.0,11.0,14.0,23.0,7.0,,,,90.0,39.0,7.4,11.0,0.291123,0,,,,2.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,
11408362,home,Gil Vicente,Félix Correia,felix-correia,F. Correia,M,27,178,1349,M,934498,EUR,980121600,M,70,70,False,30.0,22.0,4.0,2.0,12.0,12.0,12.0,22.0,4.0,,,,90.0,53.0,7.1,16.0,0.388013,0,,,,6.0,3.0,2.0,,1.0,,2.0,,5.0,3.0,,,2.0,1.0,,,,,,,,1.0,,,1.0,,4.0,2.0,,2.0,,,,,
11408362,home,Gil Vicente,Ali Alipour,ali-alipour,A. Alipourghara,F,9,181,1677,M,791368,EUR,816048000,F,9,9,False,14.0,10.0,,,4.0,4.0,6.0,10.0,,,,,59.0,21.0,7.0,4.0,0.0698472,1,,,,6.0,,,1.0,,,1.0,4.0,2.0,,1.0,,1.0,,0.1152,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,
11408362,home,Gil Vicente,Martim Neto,neto-martim,M. Neto,M,16,185,858,M,1100646,EUR,1042502400,M,76,76,True,11.0,9.0,1.0,1.0,4.0,4.0,5.0,8.0,2.0,,,,31.0,18.0,6.5,4.0,0.00405594,1,,,,1.0,1.0,,,,,,,3.0,,,,1.0,,0.0268,1.0,,,0.4395,1.0,,1.0,,,,,1.0,,,,,,,,
11408362,home,Gil Vicente,Tidjany Touré,tidjany-toure,T. Touré,F,7,184,147,M,1445615,EUR,1026691200,F,7,7,True,11.0,9.0,,,2.0,2.0,7.0,9.0,2.0,,,,31.0,18.0,7.7,4.0,0.0776281,1,,,,3.0,3.0,3.0,,,1.0,,,2.0,1.0,,,,,0.0865,1.0,1.0,,0.5235,,1.0,,,,,,,,1.0,2.0,,,,,
11408362,home,Gil Vicente,Miro,miro,Miro,F,11,184,174,M,1501056,EUR,1050969600,F,78,78,True,2.0,,2.0,,,,,2.0,,,,,31.0,8.0,6.5,5.0,,1,,Miro,,1.0,,,,1.0,3.0,,,2.0,,1.0,,1.0,1.0,0.1049,,,,,1.0,1.0,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Zé Carlos,ze-carlos,Z. Carlos,D,2,177,69,M,1001662,EUR,901843200,D,2,2,True,6.0,4.0,1.0,,2.0,2.0,3.0,5.0,1.0,,,,15.0,11.0,6.7,2.0,0.0122105,1,,Zé,Carlos,1.0,,,,,,,1.0,1.0,,1.0,,,,0.1896,,,,,,1.0,,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,
11408362,home,Gil Vicente,Depú,depu,Depú,F,40,187,1883,M,1182223,EUR,947289600,F,29,29,True,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,15.0,5.0,6.5,2.0,0.00010102,0,,Depú,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Brian Araújo,brian-araujo,B. Araújo,G,99,188,43,M,990450,EUR,956966400,G,12,12,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Lipe,lipe,Lipe,D,44,190,177,M,1129191,EUR,1014076800,D,35,35,True,,,,,,,,,,,,,,,,,,0,,Lipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408362,home,Gil Vicente,Pedro Tiba,pedro-tiba,P. Tiba,M,,174,70,M,138700,EUR,588988800,M,25,25,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
