match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,rescinded,player_id,player_name,from,confirmed,reason
10390008,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10390008,,,,,90,3.0,,1,,,substitution,121494778.0,False,True,regular,,,,,,,,
10390008,,,,,90,,,1,,,substitution,121494775.0,False,False,regular,,,,,,,,
10390008,,,,,90,0.0,,1,,,injuryTime,,,,,5.0,,,,,,,
10390008,,,,,88,,,3,,,card,120581527.0,,False,yellow,,Muhammed Cham-Saračević,False,958901.0,Muhammed-Cham Saračević,,,
10390008,,0.0,1.0,,87,,,4,,,goal,167601905.0,,False,penalty,,,,958901.0,Muhammed-Cham Saračević,penalty,,
10390008,,,,,87,,,4,,,substitution,121494772.0,True,True,injury,,,,,,,,
10390008,,,,,85,,,6,,,varDecision,14723.0,,False,penaltyNotAwarded,,,,581146.0,Grejohn Kyei,,False,
10390008,,,,,81,,,10,,,substitution,121494769.0,False,False,regular,,,,,,,,
10390008,,,,,74,,,17,,,substitution,121494764.0,False,True,regular,,,,,,,,
10390008,,,,,73,,,18,,,substitution,121494763.0,False,True,regular,,,,,,,,
10390008,,,,,73,,,18,,,substitution,121494762.0,False,True,regular,,,,,,,,
10390008,,,,,72,,,19,,,substitution,121494766.0,False,False,regular,,,,,,,,
10390008,,,,,72,,,19,,,substitution,121494765.0,False,False,regular,,,,,,,,
10390008,,,,,70,,,21,,,card,120581520.0,,True,yellow,,Sael Kumbedi,False,1155226.0,Saël Kumbedi,,,Simulation
10390008,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10390008,,,,,45,1.0,,1,,,card,120581498.0,,False,yellow,,Saîf-Eddine Khaoui,False,346262.0,Saîf-Eddine Khaoui,,,Foul
10390008,,,,,45,0.0,,1,,,injuryTime,,,,,1.0,,,,,,,
10390008,,,,,4,,,42,,,card,120581432.0,,False,yellow,,Mateusz Wieteska,False,286087.0,Mateusz Wieteska,,,Foul
