match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_bigChanceCreated,stat_outfielderBlock,stat_fouls,stat_totalOffside,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,captain,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAGoal,stat_errorLeadToAShot
12437689,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,20.0,14.0,13.0,7.0,0.0,10.0,12.0,4.0,8.0,1.0,3.0,1.0,90.0,23.0,6.9,6.0,0.00082977,0,0.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437689,home,Atlético Madrid,Marcos Llorente,marcos-llorente,M. Llorente,D,14,184,9206,M,marcosllorente,353138,EUR,791424000,D,14,14,False,47.0,44.0,3.0,2.0,0.0,23.0,24.0,22.0,27.0,2.0,8.0,,81.0,68.0,7.3,8.0,0.0999367,2,,4.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0956,2.0,,,,,,,,,,,,,,,,,,
12437689,home,Atlético Madrid,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,lenormand_r,787751,EUR,847670400,D,24,24,False,39.0,34.0,4.0,2.0,0.0,23.0,24.0,11.0,15.0,6.0,3.0,,90.0,55.0,7.3,7.0,0.578731,0,,,,5.0,3.0,8.0,4.0,,,,,,2.0,,,2.0,1.0,,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
12437689,home,Atlético Madrid,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,15,15,False,43.0,40.0,6.0,4.0,0.0,28.0,28.0,12.0,15.0,2.0,3.0,,90.0,48.0,7.2,4.0,0.0050452,0,,,,2.0,,2.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,
12437689,home,Atlético Madrid,Reinildo Mandava,reinildo-mandava,R. Mandava,D,17,180,11835,M,ReinildoMandava,831424,EUR,759110400,D,23,23,False,47.0,40.0,2.0,,0.0,24.0,28.0,16.0,21.0,1.0,2.0,,90.0,70.0,7.0,13.0,0.00691726,0,,2.0,,2.0,1.0,6.0,4.0,,4.0,,,,1.0,1.0,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,
12437689,home,Atlético Madrid,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178,16028,M,giulisimeone,1099352,EUR,1040169600,M,22,22,False,25.0,20.0,,,1.0,5.0,6.0,15.0,20.0,,5.0,,61.0,37.0,7.3,9.0,0.0570768,2,,1.0,,,,,2.0,,,,1.0,,,1.0,,3.0,1.0,0.4257,1.0,1.0,,,,,,1.0,1.0,0.5255,,,,,,,,,
12437689,home,Atlético Madrid,Pablo Barrios,pablo-barrios,P. Barrios,M,8,181,6589,M,PBarrios,1142588,EUR,1055635200,M,8,8,False,52.0,43.0,2.0,1.0,0.0,13.0,16.0,30.0,38.0,1.0,5.0,,90.0,70.0,7.4,14.0,0.0475745,4,,2.0,,2.0,,3.0,5.0,,2.0,2.0,3.0,1.0,,1.0,,2.0,2.0,0.1276,1.0,,,,,,,,,,1.0,,,,,,,,
12437689,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,60.0,57.0,6.0,4.0,0.0,16.0,16.0,41.0,46.0,2.0,5.0,,73.0,70.0,7.4,6.0,0.0566988,1,,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,0.029,2.0,,,,,,,,1.0,0.2132,1.0,True,,,,,,,
12437689,home,Atlético Madrid,Samuel Lino,samuel-lino,S. Lino,M,16,178,22125,M,osamuellino,874705,EUR,945907200,M,12,12,False,45.0,34.0,2.0,2.0,0.0,15.0,18.0,19.0,32.0,1.0,4.0,,81.0,61.0,7.8,17.0,0.0498819,2,,5.0,,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,0.1398,1.0,,1.0,1.0,,,,,1.0,0.5744,1.0,,1.0,,,,,,
12437689,home,Atlético Madrid,Alexander Sørloth,alexander-sorloth,A. Sørloth,F,9,195,17312,M,asorloth,309078,EUR,818121600,F,9,9,False,18.0,10.0,,,0.0,5.0,9.0,5.0,9.0,2.0,2.0,,90.0,34.0,7.0,14.0,0.00657626,3,,,,3.0,5.0,5.0,7.0,,1.0,,1.0,1.0,,1.0,,3.0,1.0,0.3652,,,,2.0,,,,,1.0,0.1995,,,,,,,,,
