match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_goals,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed
13472729,home,São Paulo,Rafael,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,True,25.0,12.0,14.0,1.0,0.0,12.0,15.0,10.0,4.0,3.0,6.0,90.0,32.0,6.8,13.0,4.294e-05,0,0.2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472729,home,São Paulo,Cédric Soares,cedric-soares,C. Soares,M,6,172,2813,M,44760,EUR,683596800,D,6,6,False,,35.0,29.0,6.0,5.0,0.0,15.0,19.0,16.0,3.0,,,81.0,60.0,6.8,12.0,0.085316,0,,,,14.0,7.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13472729,home,São Paulo,Robert Arboleda,robert-arboleda,R. Arboleda,D,5,187,3954,M,338937,EUR,688089600,D,5,5,False,,65.0,56.0,7.0,2.0,0.0,37.0,44.0,21.0,2.0,,,90.0,80.0,6.4,10.0,0.0116936,0,,,,19.0,,,5.0,5.0,,5.0,2.0,2.0,,,2.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
13472729,home,São Paulo,Alan Franco,alan-franco,A. Franco,D,28,183,2959,M,875402,EUR,844992000,D,28,28,False,,68.0,59.0,6.0,1.0,0.0,34.0,39.0,29.0,8.0,,,90.0,89.0,6.6,14.0,0.3269,0,,,,25.0,,,8.0,5.0,2.0,4.0,3.0,2.0,,1.0,1.0,1.0,4.0,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,
13472729,home,São Paulo,Enzo Díaz,enzo-diaz,E. Díaz,D,13,175,2362,M,932937,EUR,818294400,D,13,13,False,,22.0,20.0,,,0.0,12.0,13.0,9.0,3.0,,,45.0,44.0,6.3,6.0,0.00865877,0,,,,8.0,3.0,1.0,5.0,5.0,1.0,,3.0,2.0,1.0,,1.0,,,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
13472729,home,São Paulo,Alisson,alisson,Alisson,M,25,174,2789,M,291723,EUR,740966400,M,25,25,False,,87.0,75.0,11.0,8.0,1.0,31.0,34.0,53.0,6.0,,,90.0,104.0,7.3,14.0,0.0728985,0,,,,44.0,1.0,,7.0,8.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
13472729,home,São Paulo,Pablo Maia,pablo-maia,P. Maia,M,29,178,3211,M,1120721,EUR,1010620800,M,29,29,False,,43.0,42.0,2.0,2.0,0.0,20.0,21.0,22.0,2.0,,,45.0,45.0,6.6,2.0,0.0214576,0,,Pablo Maia,,22.0,,,4.0,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
13472729,home,São Paulo,Lucas Ferreira,lucas-dos-santos-ferreira,L. Ferreira,M,48,187,2402,M,1631907,EUR,1146182400,M,48,48,False,,13.0,11.0,1.0,1.0,0.0,,,13.0,5.0,,,90.0,33.0,6.8,11.0,0.0716693,1,,Lucas Ferreira,,11.0,4.0,1.0,5.0,4.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,,1.0,0.0193,0.0184,,,,,,,,,,,,
13472729,home,São Paulo,Luciano,luciano,Luciano,M,10,181,8486,M,282557,EUR,737683200,M,10,10,False,,31.0,28.0,1.0,,0.0,9.0,10.0,21.0,2.0,,,90.0,52.0,7.1,7.0,0.0423449,5,,,,19.0,,,7.0,10.0,1.0,,3.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,,3.0,1.0,,1.0,0.1519,0.0374,luciano10,4.0,,,,,,,,,,
13472729,home,São Paulo,Lucca,lucca,Lucca,M,45,176,1626,M,2162243,EUR,1181779200,M,45,45,False,,10.0,9.0,,,0.0,5.0,5.0,5.0,2.0,,,45.0,24.0,6.2,8.0,0.00117176,1,,Lucca,,4.0,1.0,,6.0,4.0,,,,,2.0,,,1.0,,1.0,1.0,2.0,4.0,1.0,,,0.0406,,,,1.0,,,,,,,,,
