match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_shotOffTarget,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_goals
10665985,home,Al-Khaleej,Douglas Friedrich,,,douglas-friedrich,D. Friedrich,G,36,193,156,M,838439,EUR,597888000,G,1,1,False,30.0,21.0,18.0,9.0,14.0,14.0,7.0,16.0,1.0,12.0,1.0,1.0,90.0,43.0,6.5,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665985,home,Al-Khaleej,Omar Al-Oudah,,,omar-al-oudah,O. Al-Oudah,D,22,174,4,,2266015,EUR,914889600,D,2,2,False,34.0,23.0,6.0,2.0,18.0,20.0,5.0,14.0,1.0,2.0,,,89.0,48.0,6.7,14.0,0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10665985,home,Al-Khaleej,Mohammed Al-Khabrani,,,mohammed-al-khabrani,M. Al-Khabrani,D,3,178,21,M,818696,EUR,750556800,D,3,3,False,38.0,24.0,12.0,2.0,19.0,22.0,5.0,16.0,3.0,1.0,,,90.0,46.0,6.7,16.0,0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10665985,home,Al-Khaleej,Izuchukwu Jude Anthony,,,izuchukwu-jude-anthony,I. J. Anthony,D,16,187,51,M,834130,EUR,878515200,D,25,25,False,36.0,24.0,9.0,,19.0,23.0,5.0,13.0,5.0,5.0,,,90.0,49.0,6.5,14.0,1,1.0,2.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10665985,home,Al-Khaleej,Hussain Al-Nuweqi,Hussain Al-Nuweqi,,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170,14,M,1525073,EUR,817948800,D,27,27,False,18.0,13.0,1.0,,10.0,12.0,5.0,8.0,3.0,4.0,,,83.0,38.0,7.0,10.0,1,3.0,3.0,1.0,,,1.0,,,1.0,,True,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10665985,home,Al-Khaleej,Khaled Al-Semeiry,,,khaled-al-semeiry,K. Al-Semeiry,M,88,170,35,M,857390,EUR,852076800,M,6,6,False,16.0,11.0,1.0,1.0,8.0,9.0,3.0,8.0,,6.0,,,70.0,24.0,5.7,10.0,1,9.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,5.0,1.0,1.0,,,,,,,,,
10665985,home,Al-Khaleej,Lucas Souza,,,lucas-souza,L. Souza,M,,186,38,M,311608,EUR,647049600,M,8,8,False,47.0,35.0,7.0,2.0,22.0,23.0,13.0,24.0,1.0,9.0,,,90.0,64.0,6.3,16.0,0,10.0,1.0,5.0,,2.0,8.0,1.0,1.0,2.0,,,,,1.0,,2.0,5.0,2.0,1.0,,1.0,,,,,,,,
10665985,home,Al-Khaleej,André Poko,,,andre-poko,A. B. Poko,M,53,173,385,M,177103,EUR,725846400,M,15,15,False,30.0,21.0,2.0,,10.0,11.0,11.0,22.0,1.0,6.0,,,90.0,47.0,6.5,15.0,2,3.0,2.0,1.0,,2.0,5.0,2.0,2.0,,2.0,,3.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,,,,,
10665985,home,Al-Khaleej,Morato,,,morato,Morato,M,12,170,60,M,866468,EUR,715305600,F,10,10,False,18.0,14.0,2.0,1.0,7.0,9.0,8.0,16.0,,2.0,,,90.0,41.0,7.0,14.0,1,3.0,1.0,,2.0,1.0,5.0,1.0,1.0,,1.0,,7.0,1.0,1.0,,1.0,2.0,,3.0,,1.0,,,,,,,,
10665985,home,Al-Khaleej,Sokol Cikalleshi,,,sokol-cikalleshi,S. Cikalleshi,F,,185,338,M,81138,EUR,646444800,F,9,9,False,20.0,15.0,,,8.0,8.0,8.0,15.0,1.0,5.0,,,90.0,31.0,7.0,11.0,1,4.0,,,1.0,1.0,3.0,,,1.0,1.0,,3.0,1.0,2.0,,2.0,2.0,,1.0,,,,,,,,,,
