match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_errorLeadToAShot,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_bigChanceMissed
11369874,home,RC Sporting Charleroi,Hervé Koffi,herve-koffi,H. Koffi,G,12,187,15803,M,HKoffi,867299,EUR,845424000,G,16,16,False,39.0,18.0,27.0,7.0,14.0,20.0,4.0,19.0,17.0,2.0,1.0,3.0,90.0,47.0,6.2,21.0,0.00092115,0,-0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Stefan Knežević,stefan-knezevic,S. Knežević,D,5,187,77,M,,842160,EUR,846633600,D,3,3,False,31.0,22.0,3.0,1.0,7.0,8.0,15.0,23.0,5.0,,,,90.0,50.0,6.7,11.0,0.00868345,0,,2.0,2.0,7.0,8.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Damien Marcq,damien-marcq,D. Marcq,D,,183,29,M,,51622,EUR,597542400,D,25,25,False,38.0,31.0,8.0,4.0,21.0,23.0,10.0,15.0,8.0,,,,90.0,58.0,7.1,8.0,0.0996002,0,,2.0,2.0,2.0,4.0,,,2.0,2.0,7.0,1.0,5.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Stelios Andreou,andreou-stelios,S. Andreou,D,5,187,339,M,,994282,EUR,1027468800,D,21,21,False,32.0,28.0,5.0,2.0,20.0,23.0,8.0,9.0,8.0,,,,90.0,43.0,6.6,6.0,0.00739282,0,,1.0,1.0,3.0,4.0,1.0,,,,4.0,,,3.0,3.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Žan Rogelj,zan-rogelj,Ž. Rogelj,D,21,175,87,M,,888605,EUR,943488000,M,29,29,False,27.0,23.0,7.0,3.0,14.0,15.0,10.0,18.0,8.0,,,,90.0,51.0,6.1,14.0,0.0152691,0,,1.0,,4.0,1.0,1.0,,3.0,1.0,2.0,,,,,,,,1.0,,,6.0,1.0,1.0,,,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Ryota Morioka,ryota-morioka,R. Morioka,M,,180,229,M,,109376,EUR,671414400,M,44,44,False,54.0,47.0,8.0,5.0,26.0,27.0,21.0,27.0,13.0,,,,90.0,68.0,6.7,8.0,0.0233606,1,,,,1.0,4.0,,,,,,,1.0,3.0,1.0,1.0,1.0,,1.0,,,,,,1.0,0.0088,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Marco Ilaimaharitra,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178,500,M,,358198,EUR,806716800,M,26,26,False,48.0,40.0,5.0,3.0,16.0,18.0,24.0,30.0,7.0,,,,90.0,59.0,7.9,13.0,0.0191642,2,,,,7.0,,2.0,3.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,1.0,,1.5768,True,2.0,2.0,1.9728,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Vetle Winger Dragsnes,vetle-winger-dragsnes,V. W. Dragsnes,D,20,187,53,M,,548640,EUR,760492800,M,15,15,False,30.0,21.0,5.0,3.0,9.0,9.0,12.0,23.0,4.0,,,,90.0,52.0,7.1,18.0,0.72644,1,,,1.0,4.0,3.0,,,4.0,,1.0,1.0,,2.0,2.0,,,,1.0,,,2.0,,2.0,,0.0138,,,,,1.0,1.0,1.0,,,,,,,
11369874,home,RC Sporting Charleroi,Parfait Guiagon,parfait-guiagon,P. Guiagon,M,10,169,1096,M,,1030459,EUR,982800000,F,8,8,False,20.0,16.0,1.0,1.0,3.0,4.0,13.0,16.0,4.0,,,,70.0,38.0,6.7,10.0,0.0412462,2,,,,4.0,7.0,1.0,2.0,3.0,2.0,,,,1.0,,4.0,,,3.0,,,,,,2.0,0.2512,,,,,,,,,,,,,,
11369874,home,RC Sporting Charleroi,Isaac Mbenza,isaac-mbenza,I. Mbenza,F,7,188,141,M,,789000,EUR,826243200,F,7,7,False,23.0,17.0,4.0,3.0,6.0,7.0,13.0,21.0,2.0,,,,89.0,37.0,7.5,13.0,0.12855,2,,,,1.0,3.0,,,,,,,,,,3.0,1.0,,4.0,,,5.0,2.0,1.0,,0.1155,,1.0,,0.0617,,,1.0,1.0,,,,,,
