match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_outfielderBlock,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,player_sofascoreId,stat_punches
11401937,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187,669,M,943212,EUR,953942400,G,31,31,False,23.0,13.0,13.0,4.0,11.0,14.0,2.0,9.0,7.0,3.0,2.0,2.0,90.0,33.0,7.5,10.0,0.00127751,0,0.5755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401937,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,41.0,29.0,8.0,3.0,18.0,23.0,13.0,25.0,10.0,,,,90.0,84.0,7.9,23.0,0.185802,1,,True,7.0,2.0,1.0,4.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0258,3.0,,,,,,,,,,,,
11401937,home,Fortuna Sittard,Sadik Fofana,sadik-fofana,S. Fofana,M,8,192,530,M,1130662,EUR,1053043200,D,3,3,False,34.0,28.0,8.0,5.0,15.0,17.0,13.0,17.0,10.0,,,,90.0,44.0,7.2,9.0,0.00557569,0,,,,,1.0,5.0,3.0,,1.0,,,,,2.0,1.0,2.0,1.0,2.0,,,,1.0,4.0,1.0,,,,,,,,,,
11401937,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,28.0,21.0,4.0,2.0,19.0,23.0,2.0,5.0,3.0,,,,90.0,41.0,7.2,8.0,0.00176443,1,,,,,2.0,2.0,2.0,,1.0,,,,,7.0,1.0,,,,,,0.0256,,1.0,1.0,Rodrigo,Guth,1.0,,,,,,,
11401937,home,Fortuna Sittard,Mitchell Dijks,mitchell-dijks,M. Dijks,D,24,192,201,M,235400,EUR,729216000,D,35,35,False,10.0,9.0,1.0,,8.0,8.0,1.0,2.0,1.0,,,,45.0,20.0,6.5,5.0,0.00241063,0,,,,,,2.0,2.0,1.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11401937,home,Fortuna Sittard,Alen Halilović,alen-halilovic,A. Halilović,M,10,169,1721,M,277331,EUR,835056000,M,10,10,False,40.0,34.0,6.0,4.0,19.0,20.0,16.0,26.0,6.0,,,,89.0,67.0,6.9,19.0,0.0518085,3,,,6.0,1.0,,7.0,7.0,,2.0,8.0,3.0,,,,,1.0,,,3.0,,0.133,,,,,,2.0,1.0,0.5583,,,,,
11401937,home,Fortuna Sittard,Deroy Duarte,deroy-duarte,D. Duarte,M,23,177,217,M,921089,EUR,931046400,M,6,6,False,20.0,19.0,2.0,1.0,11.0,11.0,8.0,9.0,,,,,90.0,32.0,7.0,2.0,0.0192142,0,,,,,2.0,2.0,5.0,,,,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,
11401937,home,Fortuna Sittard,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177,1224,M,1069244,EUR,931305600,M,77,77,False,26.0,19.0,3.0,2.0,6.0,7.0,14.0,24.0,1.0,,,,90.0,48.0,8.0,13.0,0.033823,2,,,5.0,1.0,2.0,5.0,7.0,1.0,,1.0,1.0,,,2.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0764,,2.0,,,,1.0,1.0,0.9872,1.0,1.0,1.0,,
11401937,home,Fortuna Sittard,Arianit Ferati,arianit-ferati,A. Ferati,M,10,168,71,M,548088,EUR,873590400,M,19,19,False,26.0,19.0,2.0,2.0,14.0,16.0,5.0,12.0,5.0,,,,77.0,42.0,7.0,11.0,0.0151376,2,,,2.0,,1.0,6.0,3.0,2.0,1.0,,,,,3.0,1.0,,,1.0,2.0,1.0,0.1324,1.0,2.0,,,,2.0,,,,,,,
11401937,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,33.0,25.0,4.0,1.0,12.0,15.0,14.0,27.0,5.0,,,,89.0,65.0,7.9,21.0,0.0938031,1,,,9.0,1.0,1.0,3.0,12.0,,,7.0,6.0,,,1.0,,3.0,3.0,4.0,2.0,1.0,0.0328,1.0,2.0,,,,,1.0,0.0782,,,,,
