match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,captain,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,player_sofascoreId
11408447,away,FC Arouca,Nino Galović,nino-galovic,N. Galović,D,,184,65,M,161431,EUR,710380800,D,44,44,False,71.0,68.0,4.0,2.0,60.0,61.0,10.0,1.0,,67.0,80.0,6.9,5.0,0.00290654,0,,8.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Francisco Montero,francisco-montero,F. Montero,D,20,185,228,M,927376,EUR,916272000,D,4,4,False,89.0,72.0,14.0,2.0,61.0,67.0,22.0,1.0,,90.0,94.0,6.4,17.0,0.00411873,0,,11.0,,,1.0,4.0,1.0,,1.0,3.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Weverson,weverson,Weverson,D,36,185,168,M,905452,EUR,962755200,D,26,26,False,34.0,23.0,12.0,9.0,13.0,16.0,19.0,2.0,,57.0,48.0,6.6,13.0,0.00820571,1,,10.0,1.0,,1.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,0.0432,1.0,,,,,,,1.0,
11408447,away,FC Arouca,Pedro Santos,santos-pedro,P. S. Carvalho,M,89,183,49,M,1014259,EUR,971308800,M,89,89,False,48.0,39.0,3.0,2.0,17.0,19.0,30.0,7.0,,78.0,60.0,6.8,13.0,0.0295036,0,,22.0,1.0,,,4.0,6.0,3.0,,,3.0,2.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Kouassi Eboue,kouassi-eboue,K. Eboue,M,8,185,220,M,839099,EUR,881971200,M,8,8,False,90.0,76.0,11.0,5.0,39.0,41.0,49.0,8.0,,90.0,103.0,6.8,17.0,0.0758056,0,,37.0,,2.0,3.0,7.0,6.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,
11408447,away,FC Arouca,Jason,jason,Jason,M,23,179,253,M,330677,EUR,773452800,M,10,10,False,22.0,16.0,2.0,2.0,2.0,2.0,26.0,5.0,,90.0,40.0,7.1,16.0,0.451649,2,,16.0,6.0,,,5.0,2.0,2.0,,,,,2.0,,,,,,3.0,2.0,,,2.0,,1.0,,1.0,1.0,1.0,0.0584,1.0,,,,,,,,
11408447,away,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,25.0,22.0,2.0,1.0,6.0,6.0,19.0,3.0,,78.0,38.0,6.6,9.0,0.0454041,1,,16.0,,1.0,,4.0,3.0,2.0,,,1.0,,,,,,,,2.0,1.0,,,,,3.0,2.0,,,1.0,0.0151,,,,,,,,,morlayesylla2
11408447,away,FC Arouca,Yusuf Lawal,yusuf-lawal,Y. Lawal,M,24,175,112,M,898808,EUR,890611200,M,7,7,False,16.0,14.0,2.0,2.0,4.0,4.0,12.0,1.0,,57.0,28.0,7.2,3.0,0.0180779,0,,10.0,,,,,5.0,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,
11408447,away,FC Arouca,Cristo González,cristo-gonzalez,C. González,M,33,180,344,M,592100,EUR,877651200,F,23,23,False,20.0,16.0,1.0,,2.0,2.0,20.0,2.0,,90.0,39.0,6.7,14.0,0.012782,4,,14.0,2.0,2.0,,6.0,3.0,2.0,1.0,,1.0,,1.0,,,,,,2.0,,,,,,3.0,1.0,,1.0,2.0,0.131,1.0,1.0,0.3411,,,,,,
11408447,away,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,True,24.0,22.0,,,12.0,13.0,11.0,4.0,,33.0,29.0,6.6,3.0,0.0156833,0,,10.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11408447,away,FC Arouca,Miguel Puche,puche-miguel,M. Puche,F,11,180,48,M,1000680,EUR,988588800,F,11,11,True,5.0,2.0,,,,,5.0,,,33.0,6.0,6.6,3.0,0.00197665,1,,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,0.0169,,,,,,,,,
11408447,away,FC Arouca,Oriol Busquets,oriol-busquets,O. Busquets,M,66,185,483,M,817621,EUR,916790400,M,14,14,True,30.0,27.0,3.0,2.0,10.0,11.0,19.0,4.0,,23.0,38.0,6.8,6.0,0.0123854,0,,17.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Pedro Moreira,pedro-moreira,P. Moreira,M,,182,5,M,61174,EUR,605923200,M,20,20,True,19.0,18.0,2.0,1.0,7.0,7.0,12.0,,,12.0,20.0,6.6,1.0,0.0112635,0,,11.0,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Vladislav Morozov,vladislav-morozov,V. Morozov,F,18,188,174,M,1009460,EUR,971308800,F,15,15,True,1.0,,,,,,1.0,1.0,,12.0,2.0,6.2,1.0,,1,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0747,,1.0,0.104,,,,,1.0,
11408447,away,FC Arouca,João Valido,joao-valido,J. Valido,G,1,185,54,M,973352,EUR,952041600,G,1,1,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Bogdan Milovanov,bogdan-milovanov,B. Milovanov,D,3,178,86,M,914162,EUR,892944000,D,22,22,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Yanis Hamache,yanis-hamache,Y. Hamache,M,,177,467,M,962372,EUR,931824000,D,25,25,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408447,away,FC Arouca,Alfonso Trezza,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,F,9,9,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
