match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length,description
14131971,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
14131971,,,,,90,3.0,,1,,,card,Deivison Souza Brito,Foul,False,124422564.0,False,yellow,1806732.0,Deivison Souza Brito,,,
14131971,,,,,90,2.0,,1,,,substitution,,,,125236673.0,True,regular,,,False,,
14131971,,,,,90,,,1,,,substitution,,,,125236667.0,False,regular,,,False,,
14131971,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,4.0,
14131971,,,,,89,,,2,,,substitution,,,,125236665.0,False,regular,,,False,,
14131971,,,,,89,,,2,,,substitution,,,,125236666.0,False,regular,,,False,,
14131971,,1.0,0.0,,88,,,3,,,goal,,,,331549408.0,True,regular,1100957.0,Marko Milovanović,,,
14131971,,,,,85,,,6,,,substitution,,,,125236639.0,True,regular,,,False,,
14131971,,,,,85,,,6,,,substitution,,,,125236624.0,True,regular,,,False,,
14131971,,,,,71,,,20,,,card,Nabil Touaizi,Foul,False,124422448.0,True,yellow,904849.0,Nabil Touaizi,,,
14131971,,,,,66,,,25,,,substitution,,,,125236533.0,True,regular,,,False,,
14131971,,,,,66,,,25,,,substitution,,,,125236532.0,True,regular,,,False,,
14131971,,,,,66,,,25,,,substitution,,,,125236535.0,False,regular,,,False,,
14131971,,,,,65,,,26,,,substitution,,,,125236534.0,False,regular,,,False,,
14131971,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
14131971,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,1.0,
14131971,,,,,6,,,40,,,inGamePenalty,,offTarget,,118591364.0,True,missed,794928.0,Lincoln,,,Off target
