match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_penaltyWon,player_firstName,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,player_lastName,stat_goalAssist,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
10665956,home,Al-Fateh,Mustafa Malaika,mustafa-malaika,M. Malaika,G,1,184.0,41,M,818855,EUR,516931200.0,G,26,26,False,24.0,19.0,8.0,3.0,17.0,18.0,2.0,6.0,6.0,1.0,2.0,2.0,90.0,31.0,7.3,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665956,home,Al-Fateh,Nawaf Boushal,nawaf-boushal,N. Boushal,D,12,178.0,1391,M,986400,EUR,937440000.0,D,2,2,False,38.0,32.0,4.0,2.0,16.0,19.0,16.0,22.0,5.0,,,,90.0,72.0,7.5,15.0,0,3.0,2.0,3.0,3.0,8.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10665956,home,Al-Fateh,Amaar Al Dohaim,amaar-al-dohaim,A. A. Dohaim,D,24,175.0,13,M,803055,EUR,746755200.0,D,24,24,False,52.0,45.0,5.0,1.0,34.0,37.0,11.0,15.0,9.0,,,,90.0,58.0,6.9,8.0,0,,,2.0,2.0,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10665956,home,Al-Fateh,Marwane Saadane,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400.0,D,17,17,False,60.0,53.0,10.0,6.0,39.0,40.0,14.0,20.0,9.0,,,,90.0,82.0,8.1,8.0,2,,2.0,4.0,2.0,6.0,10.0,2.0,2.0,1.0,1.0,,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10665956,home,Al-Fateh,Tawfiq Buhumaid,tawfiq-buhumaid,T. Buhumaid,D,25,179.0,6,M,871425,EUR,562464000.0,D,25,25,False,38.0,24.0,4.0,1.0,10.0,13.0,15.0,29.0,10.0,,,,80.0,71.0,6.9,25.0,1,4.0,,1.0,10.0,7.0,1.0,3.0,3.0,2.0,,2.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,6.0,1.0,1.0,1.0,,,,,,,,,,
10665956,home,Al-Fateh,Ali Al-Jassem,ali-salah-aljassem,A. Al-Jassem,F,17,167.0,6,M,1096522,EUR,984441600.0,M,77,77,False,25.0,19.0,4.0,3.0,9.0,9.0,11.0,17.0,3.0,,,,74.0,36.0,6.6,11.0,1,1.0,3.0,,9.0,3.0,,,2.0,1.0,2.0,,2.0,1.0,,2.0,,,,,1.0,1.0,3.0,1.0,1.0,,Ali Salah Aljassem,,,,,,,,,
10665956,home,Al-Fateh,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172.0,36,M,828444,EUR,730771200.0,M,12,12,False,33.0,27.0,3.0,2.0,16.0,18.0,11.0,15.0,4.0,,,,81.0,45.0,7.5,7.0,2,,,1.0,4.0,7.0,,,3.0,1.0,,2.0,2.0,1.0,,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,
10665956,home,Al-Fateh,Mohammed Petros,petros,Petros,M,,182.0,273,M,552678,EUR,612403200.0,M,6,6,False,73.0,66.0,5.0,2.0,36.0,39.0,30.0,34.0,7.0,,,,90.0,86.0,6.7,10.0,1,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
10665956,home,Al-Fateh,Hussain Al Moqahwi,al-moqahwi-hussain,H. A. Moqahwi,M,,173.0,17,,792391,EUR,575164800.0,M,8,8,False,39.0,34.0,4.0,2.0,6.0,8.0,28.0,33.0,8.0,,,,80.0,49.0,6.7,8.0,0,2.0,1.0,,3.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,
10665956,home,Al-Fateh,Firas Al-Buraikan,firas-al-buraikan,F. Al-Buraikan,F,9,181.0,1082,M,893307,EUR,958262400.0,F,9,9,False,27.0,24.0,2.0,2.0,4.0,4.0,20.0,23.0,,,,,90.0,33.0,7.2,4.0,1,,,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,
