match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,player_sofascoreId,stat_dispossessed,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_bigChanceMissed
11451086,home,Fatih Karagümrük,Emre Bilgin,Emre Bilgin,,emre-bilgin,E. Bilgin,G,99,188,495,M,1050730,EUR,1077753600,G,23,23,False,36.0,25.0,20.0,9.0,21.0,27.0,4.0,9.0,10.0,4.0,7.0,90.0,48.0,8.7,11.0,0.0005559,0,1.4912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Davide Biraschi,,,davide-biraschi,D. Biraschi,D,4,182,102,M,233252,EUR,773107200,D,4,4,False,30.0,22.0,3.0,,16.0,19.0,6.0,12.0,6.0,,,90.0,52.0,6.9,10.0,0.0014318,1,,1.0,2.0,4.0,2.0,1.0,5.0,4.0,0.0432,,,,,,,,,,,,,,,,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Ibrahim Drešević,,,ibrahim-dresevic,I. Drešević,D,5,186,210,M,817987,EUR,854064000,D,5,5,False,44.0,39.0,3.0,2.0,31.0,34.0,8.0,10.0,6.0,,,90.0,50.0,7.3,6.0,0.272932,0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Federico Ceccherini,,,federico-ceccherini,F. Ceccherini,D,23,187,130,M,139410,EUR,705542400,D,26,26,False,25.0,21.0,2.0,,18.0,20.0,3.0,5.0,3.0,,,90.0,42.0,7.3,5.0,0.00040066,0,,,2.0,2.0,8.0,,2.0,1.0,,,1.0,1.0,,,,1.0,5.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Levent Mercan,,,munir-levent-mercan,L. Mercan,D,22,176,1693,M,1085938,EUR,976406400,D,18,18,False,34.0,23.0,8.0,2.0,15.0,20.0,8.0,16.0,5.0,,,83.0,54.0,6.8,17.0,0.00475339,0,,2.0,,1.0,2.0,,2.0,,,,,,,,1.0,1.0,,2.0,1.0,3.0,,True,,,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Sofiane Feghouli,,,sofiane-feghouli,S. Feghouli,M,,178,3304,M,37240,EUR,630633600,M,8,8,False,28.0,26.0,1.0,1.0,14.0,15.0,12.0,13.0,5.0,,,66.0,32.0,6.7,4.0,0.0335425,0,,,,2.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,sffeghouli,1.0,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Nazım Sangaré,,,nazim-sangare,N. Sangaré,M,30,180,168,M,169425,EUR,770256000,M,30,30,False,34.0,23.0,3.0,2.0,11.0,14.0,12.0,21.0,8.0,,,84.0,49.0,7.4,17.0,0.0188047,1,,1.0,2.0,7.0,4.0,,3.0,2.0,0.5707,,2.0,,,,1.0,,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,
11451086,home,Fatih Karagümrük,Marcus Rohdén,,,marcus-rohden,M. Rohdén,M,8,182,77,M,209082,EUR,673920000,M,6,6,False,31.0,28.0,5.0,3.0,8.0,8.0,20.0,23.0,6.0,,,90.0,40.0,7.6,7.0,0.284104,0,,,,2.0,3.0,,2.0,1.0,,1.0,,,1.0,,2.0,,,2.0,1.0,3.0,1.0,,,1.0,,,,,,,,,,,
11451086,home,Fatih Karagümrük,Valentin Eysseric,,,valentin-eysseric,V. Eysseric,M,,181,141,M,139798,EUR,701481600,M,9,9,False,37.0,24.0,5.0,3.0,9.0,15.0,16.0,26.0,3.0,,,74.0,55.0,7.4,19.0,0.143316,3,,4.0,1.0,2.0,6.0,,,1.0,0.2021,,2.0,2.0,,,2.0,,1.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,2.0,,,,,,
11451086,home,Fatih Karagümrük,Can Keleş,,,can-keles,C. Keleş,F,70,180,519,M,918408,EUR,999388800,M,7,7,False,27.0,24.0,,,15.0,16.0,9.0,11.0,6.0,,,90.0,38.0,7.0,8.0,0.0360029,4,,,,5.0,1.0,,,,0.2772,,2.0,1.0,,,,1.0,,,,2.0,,,,2.0,1.0,3.0,,,1.0,,,,,,
