match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_errorLeadToAGoal,stat_wasFouled,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside,stat_hitWoodwork
13189387,home,Leicester City,Jakub Stolarczyk,,,jakub-stolarczyk,J. Stolarczyk,G,1,194,1023,M,997830,EUR,977184000,G,41,41,False,41.0,32.0,9.0,1.0,0.0,32.0,33.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,90.0,45.0,5.9,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13189387,home,Leicester City,James Justin,,,james-justin,J. Justin,D,24,183,1172,M,827681,EUR,888192000,D,2,2,False,34.0,26.0,5.0,2.0,0.0,13.0,15.0,23.0,,4.0,1.0,4.0,,,,,90.0,52.0,8.6,14.0,2,13.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13189387,home,Leicester City,Conor Coady,,,conor-coady,C. Coady,D,15,184,633,M,98449,EUR,730598400,D,4,4,False,70.0,63.0,5.0,1.0,0.0,49.0,51.0,19.0,1.0,2.0,1.0,2.0,,,,,90.0,75.0,6.6,8.0,0,14.0,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
13189387,home,Leicester City,Wout Faes,,,wout-faes,W. Faes,D,25,185,1764,M,361696,EUR,891561600,D,3,3,False,84.0,80.0,7.0,5.0,0.0,56.0,56.0,28.0,2.0,6.0,2.0,4.0,,,,,90.0,101.0,8.3,5.0,1,24.0,,,,,1.0,1.0,4.0,4.0,1.0,,1.0,4.0,,,,,,,,,,,,,,,,,
13189387,home,Leicester City,Victor Kristiansen,,,kristiansen-victor,V. Kristiansen,D,16,181,1294,M,1092409,EUR,1039996800,D,16,16,False,61.0,54.0,10.0,6.0,0.0,32.0,36.0,26.0,3.0,7.0,3.0,6.0,,,,,90.0,82.0,7.0,9.0,0,23.0,1.0,,2.0,,,,3.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
13189387,home,Leicester City,Boubakary Soumaré,,,boubakary-soumare,B. Soumaré,M,34,188,1035,M,887581,EUR,920073600,M,24,24,False,66.0,60.0,3.0,3.0,0.0,30.0,32.0,34.0,1.0,2.0,,6.0,,,,,90.0,68.0,6.8,7.0,0,30.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
13189387,home,Leicester City,Harry Winks,,,harry-winks,H. Winks,M,8,178,1217,M,545780,EUR,823219200,M,8,8,False,45.0,40.0,5.0,4.0,0.0,23.0,26.0,19.0,,1.0,1.0,6.0,,,,,60.0,51.0,5.6,5.0,0,17.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
13189387,home,Leicester City,Facundo Buonanotte,Facundo Buonanotte,,facundo-buonanotte,F. Buonanotte,M,40,174,18001,M,1117025,EUR,1103760000,M,40,40,False,32.0,26.0,,,1.0,11.0,11.0,23.0,1.0,6.0,1.0,8.0,,,,,81.0,53.0,8.3,12.0,2,16.0,2.0,1.0,6.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,3.0,,1.0,,5.0,facubuonanotte_,1.0,1.0,,,,,,,,
13189387,home,Leicester City,Bilal El Khannouss,Bilal,El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25223,M,1126569,EUR,1084147200,M,11,11,False,22.0,20.0,1.0,1.0,2.0,4.0,5.0,18.0,,3.0,,2.0,,,,,60.0,32.0,7.9,8.0,0,16.0,1.0,,5.0,,,,2.0,,1.0,1.0,,,,2.0,1.0,3.0,,,bilalekns_34,2.0,,3.0,,,,,,,
13189387,home,Leicester City,Stephy Mavididi,,,stephy-mavididi,S. Mavididi,M,10,182,1542,M,605338,EUR,896572800,M,10,10,False,23.0,18.0,,,0.0,5.0,5.0,18.0,,2.0,,5.0,,,,,66.0,31.0,7.4,8.0,2,13.0,,,2.0,,1.0,1.0,2.0,2.0,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,
