match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_accurateCross,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
12530851,away,Gaziantep FK,Ogün Özçiçek,ogun-ozcicek,O. Özçiçek,M,61,172,50,M,,859783,EUR,917136000,M,25,25,False,32.0,30.0,6.0,5.0,0.0,20.0,21.0,10.0,11.0,2.0,9.0,,,,,74.0,46.0,7.0,7.0,0.00827323,0,,,2.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
12530851,away,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177,793,M,,180511,EUR,647395200,M,44,44,False,43.0,38.0,1.0,1.0,0.0,25.0,25.0,15.0,22.0,1.0,2.0,,,,,85.0,61.0,5.6,14.0,0.114147,1,,4.0,2.0,12.0,1.0,2.0,6.0,,,,,1.0,,,,1.0,,,,,2.0,0.0164,1.0,2.0,2.0,,1.0,True,,,,,,,1.0
12530851,away,Gaziantep FK,Christophe Lungoyi,christophe-lungoyi,C. Lungoyi,F,11,180,197,M,,883355,EUR,962668800,M,11,11,False,19.0,14.0,,,0.0,8.0,10.0,6.0,10.0,3.0,3.0,,,,,90.0,46.0,5.9,19.0,0.0179214,0,,1.0,2.0,14.0,6.0,2.0,2.0,6.0,2.0,3.0,1.0,5.0,,,,1.0,,,,,4.0,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,David Okereke,david-okereke,D. Okereke,F,77,182,891,M,,831290,EUR,872812800,F,77,77,False,15.0,11.0,,,0.0,4.0,4.0,7.0,11.0,2.0,,,,,,90.0,28.0,7.1,10.0,0.00444785,2,,,2.0,5.0,6.0,1.0,2.0,1.0,1.0,,,4.0,2.0,,,3.0,,2.0,1.0,,,0.9963,,,1.0,,,,,1.2852,1.0,,,,
12530851,away,Gaziantep FK,Kenan Kodro,kenan-kodro,K. Kodro,F,19,187,435,M,,591140,EUR,745718400,F,19,19,False,19.0,12.0,,,0.0,6.0,7.0,6.0,12.0,,3.0,,,,,60.0,24.0,6.5,10.0,0.00522405,0,,,5.0,6.0,5.0,1.0,,,,,,3.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Quentin Daubin,quentin-daubin,Q. Daubin,M,,183,31,M,,826605,EUR,804729600,M,6,6,True,7.0,7.0,,,0.0,6.0,6.0,1.0,1.0,2.0,1.0,,,,,30.0,13.0,6.5,,0.00024095,0,,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Cyril Mandouki,cyril-mandouki,C. Mandouki,M,14,180,38,M,,821461,EUR,682732800,M,14,14,True,6.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,3.0,,,,,16.0,12.0,6.7,,0.00021059,0,,,,,2.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Furkan Soyalp,furkan-soyalp,F. Soyalp,M,33,175,70,M,,226992,EUR,802915200,M,8,8,True,2.0,1.0,1.0,,0.0,1.0,1.0,,2.0,1.0,1.0,,,,,12.0,5.0,6.4,3.0,1.584e-05,0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Halil Dervişoğlu,halil-dervisoglu,H. Dervişoğlu,F,11,183,812,M,,930775,EUR,944611200,F,9,9,True,,,,,0.0,,,,,,1.0,,,,,12.0,4.0,6.2,2.0,,0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Mustafa Burak Bozan,bozan-mustafa-burak,M. B. Bozan,G,71,196,107,M,,934201,EUR,966988800,G,71,71,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Ömürcan Artan,omurcan-artan,Ö. Artan,D,2,179,17,M,,1016384,EUR,933033600,D,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Ertuğrul Ersoy,ertugrul-ersoy,E. Ersoy,D,5,185,88,M,,355004,EUR,855792000,D,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Emre Taşdemir,emre-tasdemir,E. Taşdemir,D,33,176,74,M,,190191,EUR,807840000,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,Mirza Cihan,mirza-cihan,M. Cihan,M,8,175,29,M,,909289,EUR,972518400,M,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,away,Gaziantep FK,İlker Karakaş,ilker-karakas,İ. Karakaş,F,61,187,26,M,,921406,EUR,916012800,F,23,23,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
