match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_fouls,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalTackle,stat_wonTackle,captain,stat_penaltyWon,stat_goals,stat_outfielderBlock,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded
14131932,home,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,1,1,False,31.0,19.0,18.0,6.0,0.0,16.0,16.0,3.0,15.0,1.0,13.0,1.0,3.0,3.0,1.0,1.0,90.0,39.0,7.2,12.0,0.0002918,0.5045,0,0.8993,0.01,-0.03,-0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131932,home,Estoril Praia,Antef Tsoungui,tsoungui-antef,A. Tsoungui,D,5,185,223,M,994532,EUR,1041206400,D,5,5,False,39.0,32.0,6.0,5.0,0.0,17.0,21.0,15.0,18.0,2.0,4.0,,,,,,90.0,62.0,6.6,12.0,0.0214183,,1,,0.14,0.06,-0.17,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.057,1.0,0.02,,,,,,,,,,,,,,,,,,,,,
14131932,home,Estoril Praia,Kévin Boma,kevin-boma,K. Boma,D,44,193,411,M,1049465,EUR,1037750400,D,44,44,False,49.0,39.0,8.0,1.0,0.0,31.0,32.0,8.0,17.0,2.0,4.0,,,,,,90.0,58.0,6.4,10.0,0.00885862,,2,,0.08,0.07,-0.12,,Kévin Boma,,3.0,5.0,,,,,,,,,0.3304,,-0.23,3.0,3.0,1.0,1.0,1.0,2.0,0.0623,,,,,,,,,,,,,,
14131932,home,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,57.0,51.0,12.0,7.0,0.0,37.0,38.0,14.0,19.0,4.0,1.0,,,,,,90.0,66.0,6.8,6.0,0.0049795,,0,,0.14,0.04,-0.14,,,,4.0,5.0,,,,,,2.0,,,,,,3.0,4.0,,,,1.0,,1.0,,,,,,,,,,,,,
14131932,home,Estoril Praia,Gonçalo Costa,goncalo-costa,G. Costa,D,20,170,81,M,1087354,EUR,950832000,D,20,20,False,25.0,16.0,1.0,,0.0,10.0,12.0,6.0,13.0,,5.0,,,,,,66.0,42.0,6.3,13.0,0.0446703,,1,,0.22,0.0,-0.14,,,,5.0,2.0,,2.0,1.0,,,,,,0.0206,,-0.05,2.0,,,1.0,,,,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,
14131932,home,Estoril Praia,Pedro Carvalho,carvalho-pedro,P. Carvalho,D,22,169,64,M,1511977,EUR,1045180800,M,22,22,False,18.0,13.0,,,0.0,7.0,7.0,6.0,11.0,,4.0,,,,,,72.0,43.0,6.3,20.0,0.0048003,,1,,-0.06,-0.48,-0.03,,,,6.0,4.0,3.0,1.0,,,,1.0,1.0,,0.1063,,-0.21,1.0,1.0,,1.0,,2.0,,,4.0,,1.0,1.0,1.0,,,,,,,,
14131932,home,Estoril Praia,Jandro Orellana,jandro-orellana,J. Orellana,M,6,178,224,M,877920,EUR,965606400,M,6,6,False,13.0,9.0,,,0.0,4.0,6.0,5.0,7.0,,,,,,,,45.0,20.0,6.4,8.0,0.0021406,,0,,-0.05,0.03,-0.1,,,,3.0,2.0,2.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
14131932,home,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,60.0,50.0,12.0,6.0,0.0,23.0,24.0,27.0,36.0,2.0,5.0,,,,,,90.0,82.0,6.6,20.0,0.0852483,,1,,0.21,0.1,-0.12,,,,7.0,5.0,3.0,,,,,,3.0,,0.0262,2.0,0.0,,1.0,,1.0,,3.0,,3.0,6.0,2.0,1.0,1.0,1.0,,,,,,,,
14131932,home,Estoril Praia,João Carvalho,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,M,12,12,False,40.0,23.0,2.0,2.0,0.0,12.0,15.0,11.0,25.0,,9.0,,,,,,90.0,64.0,6.9,27.0,0.0421304,,2,,0.21,0.26,-0.26,,,,10.0,7.0,1.0,6.0,3.0,,,2.0,3.0,,0.0545,1.0,-0.21,,,,1.0,1.0,1.0,0.0578,2.0,3.0,,4.0,3.0,2.0,True,1.0,,,,,,
14131932,home,Estoril Praia,Yanis Begraoui,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,False,9.0,6.0,1.0,1.0,0.0,4.0,5.0,2.0,4.0,,1.0,,,,,,81.0,19.0,6.7,7.0,0.00055454,,2,,-0.14,0.04,0.13,,,,3.0,,2.0,,,,,,,1.0,0.8327,,0.3,,,,1.0,1.0,,0.9332,1.0,2.0,,,,,,,1.0,1.0,,,,
