match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_aerialLost,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,player_sofascoreId,stat_blockedScoringAttempt,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_penaltyWon
11579449,home,Inter Miami CF,Drake Callender,,,drake-callender,D. Callender,G,1,191,1710,M,1013934,EUR,876182400,G,1,1,False,16.0,13.0,5.0,3.0,12.0,14.0,1.0,2.0,1.0,7.0,1.0,3.0,2.0,1.0,3.0,90.0,29.0,6.5,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11579449,home,Inter Miami CF,DeAndre Yedlin,,,deandre-yedlin,D. Yedlin,M,2,175,591,M,314040,EUR,742176000,D,2,2,False,43.0,34.0,1.0,1.0,15.0,19.0,20.0,29.0,,8.0,,,,,,76.0,64.0,6.0,17.0,0,True,5.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
11579449,home,Inter Miami CF,Serhiy Kryvtsov,,,serhiy-kryvtsov,S. Kryvtsov,D,,186,470,M,45588,EUR,668995200,D,27,27,False,71.0,63.0,5.0,2.0,31.0,34.0,32.0,37.0,2.0,5.0,,,,,,90.0,83.0,6.8,8.0,0,,,,1.0,5.0,,,1.0,2.0,1.0,,,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,
11579449,home,Inter Miami CF,Kamal Miller,,,kamal-miller,K. Miller,D,4,183,362,M,934841,EUR,863740800,D,31,31,False,87.0,76.0,12.0,8.0,40.0,43.0,36.0,46.0,3.0,6.0,,,,,,90.0,99.0,7.0,13.0,0,,2.0,,2.0,6.0,2.0,,1.0,1.0,1.0,,,1.0,,,4.0,1.0,,,,,,,,,,,,,
11579449,home,Inter Miami CF,Noah Allen,Noah Allen,,noah-allen,N. Allen,D,32,175,1385,M,1069642,EUR,1083110400,D,32,32,False,48.0,41.0,3.0,2.0,14.0,17.0,27.0,36.0,1.0,6.0,,,,,,90.0,69.0,6.4,13.0,0,,5.0,,5.0,3.0,3.0,,3.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,
11579449,home,Inter Miami CF,Benjamin Cremaschi,Benjamin Cremaschi,,cremaschi-benjamin,B. Cremaschi,M,25,180,3165,M,1459459,EUR,1109721600,M,30,30,False,46.0,41.0,1.0,,6.0,7.0,35.0,40.0,,4.0,,,,,,84.0,61.0,7.5,8.0,2,,1.0,,3.0,5.0,1.0,4.0,,,,1.0,,2.0,,3.0,,,1.0,3.0,1.0,1.0,,,,,,,,,
11579449,home,Inter Miami CF,Sergio Busquets,,,sergio-busquets,S. Busquets,M,5,189,29395,M,39433,EUR,585014400,M,5,5,False,69.0,64.0,2.0,2.0,27.0,27.0,37.0,44.0,2.0,9.0,,,,,,90.0,81.0,7.0,8.0,1,,2.0,,3.0,5.0,3.0,,1.0,3.0,2.0,1.0,,1.0,,,1.0,,,,,,5sergiob,1.0,,,,,,,
11579449,home,Inter Miami CF,Diego Gómez,Diego Gomez,,diego-gomez,D. Gómez,M,25,185,11191,M,1065588,EUR,1048723200,M,8,8,False,19.0,17.0,,,8.0,10.0,9.0,9.0,1.0,2.0,,,,,,45.0,27.0,6.7,4.0,0,,,,3.0,4.0,,,,4.0,3.0,1.0,,,2.0,,,1.0,,,,,,,1.0,,,,,,
11579449,home,Inter Miami CF,Facundo Farías,,,facundo-farias,F. Farías,M,11,175,1310,M,1003907,EUR,1030492800,F,11,11,False,46.0,36.0,4.0,2.0,3.0,3.0,34.0,52.0,,6.0,,,,,,90.0,73.0,7.7,28.0,2,,9.0,1.0,8.0,3.0,4.0,1.0,,1.0,1.0,6.0,,2.0,,4.0,,,1.0,,,1.0,,1.0,2.0,1.0,2.0,,,,
11579449,home,Inter Miami CF,Leonardo Campana,,,leonardo-campana,L. Campana,F,9,187,3512,M,973557,EUR,964396800,F,9,9,False,25.0,21.0,1.0,,6.0,6.0,15.0,20.0,,1.0,,,,,,90.0,32.0,6.2,8.0,2,,1.0,,7.0,2.0,1.0,2.0,,,,,,,1.0,1.0,2.0,,2.0,,,1.0,leonardocampana,1.0,1.0,,,,,,
