match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_keyPass,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_bigChanceCreated,stat_lastManTackle,stat_errorLeadToAShot,stat_hitWoodwork
12451079,home,Angers,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194,3568,M,yahia.fofana_,877977,EUR,966816000,G,30,30,False,31.0,20.0,23.0,12.0,0.0,17.0,20.0,3.0,11.0,8.0,7.0,8.0,90.0,44.0,8.4,12.0,0.00054082,0,1.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451079,home,Angers,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180,5908,M,,794373,EUR,835920000,D,2,2,False,18.0,15.0,1.0,1.0,0.0,6.0,6.0,10.0,14.0,3.0,,,90.0,36.0,6.2,8.0,0.17001,0,,2.0,1.0,5.0,3.0,1.0,2.0,5.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12451079,home,Angers,Emmanuel Biumla,emmanuel-biumla,E. Biumla,D,24,185,111,M,,1442036,EUR,1115510400,D,24,24,False,19.0,18.0,1.0,,0.0,16.0,17.0,2.0,2.0,2.0,,,90.0,31.0,7.0,3.0,0.00082377,3,,,,1.0,2.0,,,4.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6868,0.4772,,,,,,,,,,,,
12451079,home,Angers,Jordan Lefort,jordan-lefort,J. Lefort,D,21,184,183,M,,363042,EUR,741225600,D,21,21,False,42.0,38.0,3.0,2.0,0.0,31.0,34.0,7.0,9.0,2.0,,,90.0,54.0,6.1,6.0,0.00352321,0,,1.0,,5.0,1.0,3.0,,5.0,,,,,,,1.0,,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,
12451079,home,Angers,Florent Hanin,florent-hanin,F. Hanin,D,26,177,69,M,,170129,EUR,634089600,D,26,26,False,29.0,26.0,2.0,2.0,0.0,20.0,22.0,8.0,11.0,2.0,,,89.0,43.0,6.2,7.0,0.045899,0,,4.0,2.0,,2.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,
12451079,home,Angers,Jean-Eudes Aholou,jean-eudes-aholou,J. Aholou,M,6,187,438,M,,156004,EUR,764121600,M,6,6,False,25.0,17.0,1.0,1.0,0.0,10.0,11.0,7.0,14.0,6.0,,,68.0,41.0,6.9,9.0,0.00798517,2,,,,1.0,3.0,,,1.0,,,,,,,,2.0,,1.0,,,3.0,0.1463,,1.0,,,2.0,1.0,1.0,1.0,,,,,
12451079,home,Angers,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177,1877,M,,580642,EUR,759715200,M,93,93,False,30.0,26.0,,,0.0,15.0,17.0,11.0,13.0,2.0,,,90.0,43.0,6.7,7.0,0.00823665,1,,,,1.0,6.0,,,1.0,3.0,2.0,2.0,,,,,2.0,,1.0,,,,0.0516,,1.0,,,1.0,1.0,,,,,,,
12451079,home,Angers,Jim Allevinah,jim-allevinah,J. Allevinah,M,18,172,920,M,,988632,EUR,793843200,M,18,18,False,11.0,8.0,,,0.0,2.0,3.0,6.0,9.0,4.0,,,68.0,20.0,6.1,7.0,0.0166426,0,,1.0,,7.0,4.0,3.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,3.0,,,,,,,
12451079,home,Angers,Himad Abdelli,himad-abdelli,H. Abdelli,M,8,185,7344,M,,945830,EUR,942796800,M,10,10,False,53.0,48.0,1.0,1.0,1.0,25.0,27.0,23.0,29.0,4.0,,,90.0,74.0,7.4,12.0,0.273776,2,,3.0,,3.0,5.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,,,,0.059,,5.0,4.0,2.0,2.0,,1.0,1.0,True,,,,
12451079,home,Angers,Farid El Melali,farid-el-melali,F. El Melali,M,28,173,1171,M,,930584,EUR,862790400,M,28,28,False,15.0,13.0,,,0.0,6.0,7.0,10.0,13.0,2.0,,,79.0,44.0,8.0,9.0,0.441337,1,,5.0,3.0,3.0,16.0,,1.0,,,,2.0,1.0,,,,2.0,,1.0,,,,0.0283,,10.0,9.0,3.0,,5.0,,,,1.0,,,
