match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_fouls,stat_totalOffside,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,player_firstName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_shotValueNormalized,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalCross,stat_bigChanceCreated,player_lastName,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_accurateCross,stat_goals,captain,stat_hitWoodwork,stat_goodHighClaim,stat_lastManTackle,stat_ownGoals,stat_outfielderBlock,stat_clearanceOffLine
15359739,home,Arsenal,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188.0,26081,M,KepaA,232422,EUR,781142400,G,13,13,False,27.0,26.0,3.0,3.0,0.0,26.0,27.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,87.0,37.0,8.0,1.0,40.928918960235,6.0,16.617884585264,0.0,0.1349,0,0.04,0.01,0.3,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15359739,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186.0,13872,M,benwhite,846036,EUR,876268800,D,4,4,False,60.0,56.0,3.0,2.0,0.0,23.0,23.0,3.0,5.0,3.0,,,,,,,79.0,72.0,7.2,6.0,85.412616731731,16.0,-15.275508783124,0.0,,0,0.36,-0.2,0.22,,33.0,37.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15359739,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193.0,43611,M,WSaliba4,941168,EUR,985392000,D,2,2,False,83.0,78.0,5.0,2.0,0.0,50.0,51.0,3.0,2.0,6.0,,,,,,,61.0,87.0,7.5,5.0,248.65700525961,34.0,125.79821730795,1.0,,0,0.31,0.18,0.19,,28.0,32.0,,2.0,,,,,,1.0,1.0,23.214745069156,26.265781560806,,,,,,,,,,,,,,,,,,,,,,,
15359739,home,Arsenal,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191.0,15886,M,,1144630,EUR,1088294400,D,3,3,False,83.0,80.0,2.0,2.0,0.0,49.0,50.0,1.0,3.0,5.0,,,,,,,90.0,89.0,7.1,3.0,389.5230419638,44.0,247.84691877582,2.0,,1,0.2,0.31,0.22,,31.0,33.0,,1.0,2.0,,2.0,,,,,17.105230975883,38.177431721368,Cristhian Mosquera,1.0,1.0,-0.39,,,,,,,,,,,,,,,,,,,
15359739,home,Arsenal,Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178.0,16221,M,myleslewisskelly,1423711,EUR,1159228800,D,49,49,False,67.0,61.0,2.0,1.0,0.0,29.0,29.0,3.0,1.0,2.0,2.0,,,,,,90.0,89.0,6.8,11.0,145.11751523758,22.0,52.647155265908,0.0,,1,0.09,0.05,-0.01,,32.0,38.0,,,5.0,2.0,2.0,,,1.0,,,,Myles Lewis-Skelly,,,-0.13,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
15359739,home,Arsenal,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185.0,9724,M,,135256,EUR,763257600,M,16,16,False,94.0,84.0,9.0,7.0,1.0,38.0,41.0,7.0,2.0,7.0,2.0,,,,,,90.0,110.0,8.6,13.0,214.20850547477,26.0,121.87285312245,0.0,,0,0.79,0.17,-0.01,,46.0,53.0,,1.0,2.0,,1.0,,1.0,4.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
15359739,home,Arsenal,Eberechi Eze,eberechi-eze,E. Eze,F,10,178.0,55955,M,eze,864921,EUR,899078400,M,10,10,False,50.0,46.0,,,2.0,14.0,14.0,5.0,,3.0,1.0,,,,,,90.0,79.0,7.9,16.0,233.74277177995,33.0,30.22432483956,3.0,,6,0.55,0.27,-0.04,,32.0,36.0,,,6.0,4.0,,,2.0,3.0,2.0,17.986157846923,40.194342362384,,,1.0,-0.21,1.0,2.0,,3.0,2.0,2.0,,2.0,1.0,3.0,,,,,,,,,
15359739,home,Arsenal,Noni Madueke,noni-madueke,N. Madueke,M,20,182.0,40319,M,nonzinoo10,966547,EUR,1015718400,M,20,20,False,37.0,30.0,,,0.0,5.0,7.0,2.0,,4.0,,,,,,,62.0,45.0,8.4,10.0,167.98326969239,15.0,56.96905857871,4.0,,1,0.54,0.18,-0.01,,25.0,30.0,,,1.0,3.0,,,4.0,,,16.772922108237,64.460285758314,,,1.0,0.51,,,,2.0,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,
15359739,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178.0,182020,M,BSaka7,934235,EUR,999648000,M,7,7,False,26.0,25.0,1.0,1.0,0.0,4.0,4.0,6.0,,5.0,3.0,,,,,,45.0,37.0,7.4,3.0,130.07961523378,16.0,18.104365441471,1.0,,2,0.43,0.13,0.14,,21.0,22.0,,,1.0,3.0,,,1.0,1.0,1.0,10.513079107495,10.88455901725,,,,-0.11,,,,1.0,,,,,2.0,2.0,,,True,,,,,,
15359739,home,Arsenal,Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180.0,68679,M,GabiMartinelli,922573,EUR,992822400,M,11,11,False,33.0,29.0,3.0,2.0,0.0,8.0,8.0,2.0,,3.0,1.0,,,,,,90.0,46.0,8.1,9.0,134.17417370176,13.0,81.243149103756,5.0,,3,0.28,0.56,-0.05,,21.0,25.0,1.0,,4.0,1.0,,1.0,1.0,,,33.815442384823,83.066303533103,,1.0,2.0,0.49,1.0,,,1.0,2.0,,,2.0,1.0,1.0,,1.0,,,,,,,
