match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_wasFouled,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_errorLeadToAShot,stat_clearanceOffLine,stat_totalOffside,stat_penaltyWon,stat_penaltyMiss
12436558,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,35.0,29.0,10.0,4.0,0.0,26.0,27.0,3.0,8.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,90.0,44.0,7.5,6.0,0.00100093,0,1.1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436558,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182,1449,M,143047,EUR,695520000,D,2,2,False,76.0,71.0,10.0,8.0,0.0,50.0,51.0,21.0,25.0,1.0,3.0,,,7.0,,1.0,,,,,,,,84.0,84.0,7.1,5.0,0.0103024,0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436558,home,Wolverhampton,Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,192,3192,M,1013842,EUR,866505600,D,12,12,False,98.0,88.0,12.0,5.0,0.0,76.0,79.0,12.0,19.0,1.0,5.0,,,8.0,,,,,,,,,,90.0,110.0,7.7,10.0,0.186871,1,,2.0,5.0,3.0,2.0,,,1.0,1.0,1.0,0.0084,2.0,,,,,,,,,,,,,,,,,,,,
12436558,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,88.0,82.0,3.0,2.0,0.0,69.0,71.0,13.0,17.0,6.0,9.0,1.0,,6.0,,1.0,,,,,,,,90.0,98.0,7.3,8.0,0.00468663,0,,6.0,2.0,2.0,1.0,,,3.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12436558,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,M,22,22,False,39.0,32.0,,,0.0,11.0,14.0,23.0,28.0,3.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,,89.0,54.0,6.9,11.0,0.0815339,0,,,,,,,,1.0,,,,2.0,1.0,,nelsonsemedo50,True,3.0,2.0,2.0,,,,,,,,,,,,,
12436558,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14959,M,1015267,EUR,981936000,M,8,8,False,61.0,51.0,1.0,1.0,0.0,32.0,33.0,19.0,29.0,8.0,8.0,2.0,1.0,6.0,,1.0,,,,,,,,90.0,81.0,6.9,15.0,0.0286748,1,,,,4.0,2.0,,,1.0,,,0.1292,1.0,2.0,3.0,joaogomes.01,,1.0,,1.0,3.0,1.0,,,,,,,,,,,
12436558,home,Wolverhampton,André,andre,André,M,7,176,9098,M,1035996,EUR,995241600,M,7,7,False,52.0,48.0,3.0,2.0,0.0,31.0,32.0,17.0,20.0,4.0,7.0,,,6.0,,,,,,,,,,84.0,70.0,7.4,9.0,0.0192393,1,,,,7.0,4.0,André,,,1.0,,0.0821,1.0,3.0,,Andre7,,,,2.0,1.0,,3.0,,,,,,,,,,
12436558,home,Wolverhampton,Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,44710,M,931278,EUR,991785600,M,3,3,False,54.0,44.0,3.0,,1.0,31.0,34.0,16.0,27.0,9.0,11.0,8.0,4.0,1.0,,,,,,,,,,77.0,94.0,7.4,22.0,0.218739,3,,2.0,1.0,1.0,1.0,,,2.0,,,0.0934,1.0,2.0,4.0,r_aitnouri,,7.0,3.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,
12436558,home,Wolverhampton,Marshall Munetsi,marshall-munetsi,M. Munetsi,M,18,187,1937,M,894733,EUR,835401600,F,5,5,False,18.0,17.0,,,0.0,11.0,12.0,6.0,7.0,7.0,3.0,1.0,,6.0,,2.0,,,,,,,,90.0,34.0,6.8,7.0,0.858752,0,,,,1.0,,,,,,,,3.0,2.0,2.0,,,1.0,,2.0,2.0,,,1.0,,,,,,,,,
12436558,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69408,M,886363,EUR,927763200,F,10,10,False,44.0,41.0,4.0,3.0,2.0,15.0,16.0,27.0,30.0,3.0,9.0,3.0,2.0,4.0,,,,,,,,,,89.0,67.0,9.7,7.0,0.210815,6,,,,1.0,1.0,,,,1.0,,0.5639,5.0,2.0,6.0,Cunha,,2.0,1.0,,,2.0,,,3.0,1.0,1.0068,,,,,,
