match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_aerialLost,stat_clearanceOffLine,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,stat_errorLeadToAShot,player_firstName,player_lastName,stat_accurateKeeperSweeper,stat_goals,stat_penaltyWon
13329561,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7587,M,jpickford1,138530,EUR,762998400,G,1,1,False,41.0,31.0,19.0,9.0,0.0,26.0,28.0,5.0,13.0,6.0,3.0,1.0,5.0,1.0,90.0,49.0,7.6,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329561,home,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197,1422,M,,998253,EUR,989884800,D,15,15,False,36.0,24.0,5.0,,0.0,14.0,17.0,12.0,24.0,5.0,,,,,90.0,66.0,6.9,17.0,1,5.0,2.0,4.0,3.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13329561,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2542,M,,145188,EUR,722131200,D,6,6,False,70.0,54.0,14.0,5.0,0.0,36.0,40.0,18.0,30.0,3.0,,,,,90.0,81.0,6.2,17.0,0,,,3.0,3.0,5.0,,,,,3.0,,,,1.0,,True,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
13329561,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2594,M,,979563,EUR,1025136000,D,32,32,False,35.0,27.0,7.0,3.0,0.0,15.0,20.0,12.0,16.0,6.0,,,,,90.0,60.0,7.5,14.0,0,1.0,,2.0,6.0,7.0,2.0,,,,5.0,1.0,4.0,2.0,1.0,,,,3.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,
13329561,home,Everton,Ashley Young,ashley-young,A. Young,D,15,180,1704,M,,10589,EUR,489715200,D,18,18,False,36.0,27.0,7.0,5.0,0.0,11.0,13.0,17.0,27.0,5.0,,,,,90.0,55.0,6.9,14.0,1,4.0,1.0,1.0,3.0,3.0,1.0,,,,1.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
13329561,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21279,M,iganagueye,106337,EUR,622771200,M,27,27,False,48.0,34.0,5.0,1.0,0.0,16.0,18.0,18.0,30.0,9.0,,,,,84.0,67.0,7.2,18.0,1,,,1.0,1.0,5.0,,,,,1.0,2.0,4.0,4.0,,,,,2.0,3.0,,,,,,1.0,1.0,,,,,,,,,
13329561,home,Everton,James Garner,james-garner,J. Garner,M,37,182,3005,M,,927361,EUR,984441600,M,37,37,False,56.0,47.0,2.0,,0.0,21.0,24.0,26.0,38.0,5.0,,,,,74.0,69.0,6.4,15.0,1,6.0,,,8.0,2.0,,,,,,1.0,1.0,1.0,3.0,,,5.0,,,,1.0,,,,1.0,,,,,,,,,,
13329561,home,Everton,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2674,M,,947929,EUR,951782400,M,29,29,False,30.0,24.0,,,0.0,13.0,13.0,11.0,19.0,3.0,,,,,65.0,44.0,6.6,12.0,0,2.0,,,3.0,3.0,,,,,,,1.0,1.0,,,,2.0,1.0,3.0,,1.0,,,,,2.0,1.0,,,,,,,,
13329561,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1262,M,,96535,EUR,725846400,M,16,16,False,24.0,18.0,1.0,,0.0,7.0,7.0,11.0,18.0,,,,,,65.0,27.0,6.5,8.0,0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,
13329561,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,55006,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,19.0,16.0,,,0.0,5.0,5.0,12.0,17.0,4.0,,,,,90.0,47.0,7.3,11.0,1,3.0,1.0,,5.0,11.0,,1.0,,,1.0,1.0,3.0,2.0,,1.0,,,,4.0,,2.0,3.0,,,,8.0,6.0,,1.0,,,,,,
