match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_dispossessed,stat_outfielderBlock,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,captain,stat_blockedScoringAttempt,stat_challengeLost,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves
10411455,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,25.0,18.0,13.0,6.0,17.0,22.0,1.0,3.0,8.0,1.0,1.0,1.0,90.0,33.0,6.3,7.0,0.0,0.0,0.00011361,50.235509860527,8.0,12.495,5.565,0,-0.6658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411455,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,D,17,17,False,49.0,39.0,4.0,1.0,21.0,27.0,18.0,24.0,7.0,,,,90.0,71.0,7.2,17.0,0.0,0.0,0.0105603,287.91417558697,24.0,190.365,30.975,0,,2.0,2.0,1.0,3.0,10.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,84.365656573692,3.0,1.0,,,,,,,,,,,,,,,
10411455,home,Lecce,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,847467,EUR,873936000,D,5,5,False,52.0,45.0,12.0,7.0,34.0,38.0,11.0,14.0,5.0,,,,90.0,63.0,6.8,8.0,0.0,0.0,0.00384308,185.5402870553,25.0,61.005,7.56,0,,,,,2.0,1.0,,,5.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
10411455,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,786175,EUR,843177600,D,6,6,False,45.0,38.0,6.0,3.0,26.0,32.0,12.0,13.0,3.0,,,,90.0,53.0,6.6,8.0,0.2609,0.0,0.00492359,190.29689390928,18.0,105.735,29.715,1,,,2.0,5.0,2.0,7.0,,,1.0,,1.0,1.0,1.0,1.0,,80.565339960388,3.0,,1.0,1.0,,,,,,,,,,,,,
10411455,home,Lecce,Giuseppe Pezzella,,,giuseppe-pezzella,G. Pezzella,M,3,187,619,M,814589,EUR,880761600,D,97,97,False,35.0,31.0,4.0,2.0,16.0,17.0,15.0,21.0,5.0,,,,62.0,60.0,6.7,13.0,0.0,0.0,0.0170652,193.1679710491,14.0,163.8,36.435,0,,3.0,,,3.0,2.0,2.0,1.0,2.0,1.0,,,4.0,1.0,1.0,57.819921000271,2.0,,,,1.0,1.0,1.0,,,,,,,,,,
10411455,home,Lecce,Þórir Jóhann Helgason,,,thorir-johann-helgason,J. T. Helgason,M,14,187,318,M,886628,EUR,970099200,M,14,14,False,13.0,10.0,1.0,1.0,6.0,8.0,5.0,7.0,3.0,,,,45.0,18.0,6.9,4.0,0.0,0.0,0.169016,17.011895969116,2.0,3.99,5.46,0,,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,
10411455,home,Lecce,Morten Hjulmand,Morten,Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,39.0,31.0,9.0,5.0,11.0,12.0,20.0,27.0,3.0,,,,90.0,52.0,7.0,10.0,0.0,0.0,0.034503,87.322628193133,13.0,13.02,5.355,0,,,1.0,1.0,2.0,5.0,,,4.0,,2.0,,1.0,2.0,1.0,,,1.0,,,,,,,,True,,,,,,,
10411455,home,Lecce,Kristijan Bistrović,,,kristijan-bistrovic,K. Bistrović,M,23,182,367,M,796658,EUR,892080000,M,8,8,False,25.0,21.0,2.0,2.0,12.0,15.0,10.0,16.0,4.0,,,,82.0,37.0,6.7,10.0,0.0431,0.0,0.0824568,67.113183834383,7.0,20.16,15.54,1,,6.0,1.0,,2.0,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,
10411455,home,Lecce,Federico Di Francesco,,,federico-di-francesco,F. D. Francesco,M,94,171,208,M,320979,EUR,771552000,F,11,11,False,13.0,10.0,2.0,1.0,5.0,5.0,5.0,9.0,2.0,,,,76.0,23.0,6.1,8.0,0.0,0.0,0.00372902,152.31860348002,10.0,45.78,41.055,0,,1.0,1.0,,10.0,1.0,1.0,,,,,,1.0,1.0,4.0,88.580385468993,3.0,,,,2.0,,,,,,,2.0,,,,,
10411455,home,Lecce,Assan Ceesay,,,assan-ceesay,A. Ceesay,F,,188,448,M,842158,EUR,763862400,F,77,77,False,11.0,7.0,,,4.0,7.0,3.0,4.0,3.0,,,,63.0,25.0,7.0,10.0,0.0,0.0,0.0092423,26.870168944805,5.0,-8.505,3.675,0,,,,1.0,3.0,5.0,1.0,1.0,,1.0,1.0,1.0,4.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,
