match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_penaltyConceded,player_sofascoreId,stat_shotOffTarget,stat_dispossessed,stat_wonTackle,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,captain,stat_accurateCross,stat_clearanceOffLine,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_errorLeadToAGoal,stat_penaltyWon
11452973,home,Al-Ittihad,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188,626,M,39427,EUR,537494400,G,34,34,False,16.0,9.0,10.0,3.0,7.0,8.0,2.0,8.0,2.0,6.0,2.0,1.0,2.0,90.0,24.0,6.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,Madallah Al-Olayan,madallah-al-olayan,M. Al-Olayan,D,33,170,81,M,818813,EUR,777772800,D,33,33,False,27.0,19.0,2.0,1.0,11.0,13.0,8.0,18.0,3.0,5.0,,,,67.0,46.0,6.3,15.0,0,4.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,Omar Hawsawi,omar-hawsawi,O. Hawsawi,D,,184,54,M,350072,EUR,496627200,D,4,4,False,20.0,15.0,1.0,,13.0,17.0,2.0,3.0,1.0,2.0,,,,82.0,22.0,5.7,5.0,0,,,3.0,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,Ahmed Sharahili,ahmed-sharahili,A. Sharahili,D,20,184,296,M,794331,EUR,768355200,D,20,20,False,38.0,33.0,2.0,1.0,28.0,31.0,5.0,7.0,5.0,3.0,,,,90.0,50.0,6.5,6.0,0,,3.0,3.0,4.0,1.0,1.0,,,,2.0,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,Ahmed Bamasud,ahmed-bamasud,A. Bamasud,D,18,175,114,M,893197,EUR,816998400,D,28,28,False,29.0,25.0,1.0,1.0,16.0,18.0,9.0,11.0,1.0,4.0,,,,67.0,41.0,6.6,5.0,0,,,2.0,3.0,2.0,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,234148,EUR,670204800,M,7,7,False,46.0,44.0,3.0,3.0,20.0,21.0,24.0,25.0,,4.0,,,,90.0,55.0,7.5,4.0,1,,3.0,1.0,7.0,1.0,1.0,1.0,2.0,3.0,,,,,1.0,,1.0,,,2.0,,nglkante,1.0,,,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,M,8,8,False,46.0,41.0,3.0,2.0,26.0,26.0,15.0,20.0,1.0,10.0,,,,90.0,61.0,6.8,7.0,0,,,6.0,6.0,,,4.0,2.0,,2.0,3.0,,,,,2.0,,,1.0,,Fabinho,,1.0,4.0,,,,,,,,,,,,,,,
11452973,home,Al-Ittihad,Romarinho,romarinho,Romarinho,M,,176,1742,M,797619,EUR,660960000,M,90,90,False,28.0,25.0,,,7.0,7.0,18.0,22.0,1.0,7.0,,,,81.0,44.0,7.1,10.0,3,1.0,,5.0,2.0,2.0,1.0,,1.0,2.0,,2.0,,,,,,,,3.0,,,,2.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,
11452973,home,Al-Ittihad,Abderrazak Hamdallah,abderrazak-hamdallah,A. Hamdallah,F,9,182,11081,M,826961,EUR,661392000,M,99,99,False,26.0,22.0,,,10.0,11.0,12.0,15.0,,2.0,,,,90.0,42.0,7.5,11.0,4,,,8.0,2.0,2.0,1.0,,1.0,1.0,2.0,4.0,,,,,,1.0,1.0,3.0,,abderrazak_hamdallah,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11452973,home,Al-Ittihad,Igor Coronado,igor-coronado,I. Coronado,M,77,170,5336,M,152098,EUR,714096000,M,10,10,False,28.0,23.0,4.0,2.0,8.0,8.0,15.0,23.0,,4.0,,,,60.0,50.0,7.7,14.0,1,3.0,,5.0,5.0,8.0,4.0,,1.0,4.0,,,,,1.0,,3.0,,2.0,2.0,,igor_coronado,,,,,,,,1.0,,,,,,,,,,
