match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_lastManTackle,captain,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed
11067472,home,Internacional,John Victor,john-victor,John,G,12,197,3318,M,840103,EUR,824169600,G,31,31,False,25.0,21.0,9.0,5.0,20.0,20.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,3.0,90.0,35.0,7.4,5.0,0.0,0.0,0.00064322,0,1.7143,,,,,,,,,,,,,,,,,,,,,,,,,
11067472,home,Internacional,Fabricio Bustos,fabricio-bustos,F. Bustos,D,16,167,800,M,850023,EUR,830649600,D,16,16,False,57.0,46.0,7.0,4.0,15.0,16.0,33.0,44.0,10.0,5.0,4.0,,2.0,,,,90.0,92.0,8.3,16.0,0.0,0.0,0.540785,0,,3.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,,,,,,,,,,
11067472,home,Internacional,Vitão,vitao,Vitão,D,44,185,3503,M,876625,EUR,949449600,D,44,44,False,65.0,58.0,5.0,2.0,27.0,29.0,31.0,36.0,4.0,2.0,2.0,,,,,,90.0,73.0,7.1,7.0,0.1934,0.0326,0.0237187,2,,,,1.0,2.0,4.0,,,,,,,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,
11067472,home,Internacional,Gabriel Mercado,gabriel-mercado,G. Mercado,D,25,180,995,M,128376,EUR,543024000,D,25,25,False,52.0,48.0,3.0,3.0,34.0,36.0,14.0,16.0,5.0,4.0,7.0,,1.0,,,,90.0,62.0,7.1,4.0,0.0,0.0,0.0162293,0,,,,,1.0,3.0,,,,,,,3.0,1.0,2.0,,1.0,,,,True,,,,,
11067472,home,Internacional,Renê,rene,Renê,D,6,174,1464,M,243113,EUR,716428800,D,6,6,False,92.0,78.0,9.0,8.0,27.0,29.0,51.0,63.0,6.0,1.0,10.0,2.0,2.0,,,,90.0,115.0,8.0,18.0,0.0,0.0,0.671353,0,,,,4.0,1.0,7.0,1.0,3.0,2.0,1.0,,1.0,1.0,,1.0,5.0,,,,,,,,,,
11067472,home,Internacional,Johnny Cardoso,johnny,J. Cardoso,M,5,186,5155,M,990169,EUR,1000944000,M,30,30,False,16.0,14.0,,,6.0,6.0,8.0,10.0,1.0,1.0,,3.0,,,,,45.0,25.0,6.4,6.0,0.1647,0.0,0.00340006,1,,,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,
11067472,home,Internacional,Rômulo Zwarg,romulo,R. Zwarg,M,23,182,491,M,989384,EUR,951868800,M,40,40,False,57.0,48.0,4.0,2.0,27.0,28.0,21.0,29.0,5.0,1.0,4.0,2.0,,,,,90.0,63.0,6.8,11.0,0.0308,0.0,0.0223125,1,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,1.0,,
11067472,home,Internacional,Mauricio,mauricio,Mauricio,M,18,174,5655,M,986233,EUR,993168000,M,27,27,False,15.0,12.0,,,3.0,3.0,9.0,12.0,3.0,1.0,4.0,1.0,2.0,,,,64.0,25.0,6.5,6.0,0.1946,0.0391,0.00507487,1,,,,1.0,,3.0,2.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,
11067472,home,Internacional,Alan Patrick,alan-patrick,A. Patrick,M,10,177,6630,M,124997,EUR,674092800,M,10,10,False,2.0,2.0,,,,,2.0,3.0,,,,1.0,,,,,18.0,7.0,6.4,3.0,0.0,0.0,0.00052264,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
11067472,home,Internacional,Wanderson,wanderson,Wanderson,M,94,175,1923,M,247483,EUR,781401600,M,11,11,False,36.0,31.0,2.0,,11.0,14.0,23.0,28.0,4.0,,9.0,2.0,1.0,,,,90.0,59.0,7.1,11.0,0.5523,0.0,0.392892,2,,6.0,3.0,,,5.0,,4.0,3.0,1.0,,,,,2.0,2.0,2.0,2.0,,,,,,,,1.0
