match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_aerialWon,stat_errorLeadToAGoal,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_totalContest,stat_wonContest,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,player_sofascoreId,stat_bigChanceMissed
14573129,home,FC Noah,Timothy Fayulu,timothy-fayulu,T. Fayulu,G,16,192,2764,M,927616,EUR,932774400,G,16,16,False,45.0,35.0,14.0,5.0,0.0,33.0,37.0,2.0,8.0,1.0,1.0,3.0,13.0,2.0,2.0,3.0,3.0,90.0,53.0,6.4,10.0,0.00047036,45.470778167116,8.0,17.745,7.77,0.2916,0,0.2638,0.02,0.02,-0.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573129,home,FC Noah,Eric Boakye,eric-boakye,E. Boakye,D,6,173,112,M,924969,EUR,942969600,D,6,6,False,56.0,43.0,8.0,2.0,0.0,22.0,24.0,21.0,32.0,2.0,,3.0,3.0,,,,,90.0,85.0,6.4,20.0,0.175685,152.21627342461,27.0,44.625,18.27,,1,,0.24,0.09,-0.1,,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0121,2.0,0.0,,,,,,,,,,,,,,,,,,,,
14573129,home,FC Noah,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,76,M,169729,EUR,675993600,D,37,37,False,96.0,82.0,15.0,7.0,0.0,58.0,60.0,24.0,36.0,1.0,,10.0,1.0,,,,,90.0,109.0,6.7,15.0,0.00968053,354.86890888153,50.0,201.705,18.795,,0,,0.22,0.19,-0.35,,,,1.0,4.0,,,,,,,,,,True,4.0,1.0,,,,,,,,,,,,,,,,,
14573129,home,FC Noah,Nathanaël Saintini,nathanael-saintini,N. Saintini,D,39,188,56,M,986992,EUR,959644800,D,39,39,False,83.0,76.0,11.0,7.0,0.0,51.0,54.0,25.0,29.0,6.0,,3.0,8.0,,,,,88.0,97.0,7.0,10.0,0.0123312,367.04730033996,45.0,179.235,24.36,,1,,0.1,0.22,-0.06,,,,3.0,7.0,,2.0,2.0,2.0,,,0.0105,,-0.06,,2.0,,3.0,1.0,3.0,,,,,,,,,,,,,,
14573129,home,FC Noah,David Sualehe,david-sualehe,D. Sualehe,D,33,183,78,M,796161,EUR,859075200,D,33,33,False,56.0,52.0,5.0,4.0,0.0,30.0,34.0,22.0,22.0,3.0,1.0,3.0,5.0,,,,,90.0,86.0,6.8,10.0,0.028247,156.82938731927,19.0,90.195,22.155,,1,,0.15,0.17,-0.17,,6.0,1.0,,5.0,1.0,2.0,4.0,2.0,,1.0,0.0143,,-0.08,,1.0,,1.0,,,,,,,,,,,,,,,,
14573129,home,FC Noah,Hélder Ferreira,helder-ferreira,H. Ferreira,M,7,180,120,M,892206,EUR,860198400,M,7,7,False,48.0,38.0,7.0,4.0,0.0,14.0,15.0,24.0,33.0,6.0,1.0,1.0,4.0,,,,,90.0,74.0,7.2,19.0,0.0810655,163.99899725967,24.0,120.435,18.27,,3,,0.25,0.19,0.18,,4.0,,3.0,6.0,2.0,,2.0,2.0,3.0,1.0,0.1077,3.0,-0.15,,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
14573129,home,FC Noah,Takuto Oshima,oshima-takuto,T. Oshima,M,14,175,140,M,1103106,EUR,896659200,M,14,14,False,58.0,54.0,2.0,1.0,0.0,32.0,34.0,22.0,24.0,4.0,1.0,1.0,5.0,,,,,90.0,66.0,6.7,4.0,0.0236447,123.91732388687,21.0,23.73,10.395,,1,,-0.03,0.3,0.0,,,,,4.0,,1.0,1.0,,,4.0,0.0241,2.0,-0.02,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,
14573129,home,FC Noah,Guðmundur Þórarinsson,gudmundur-thorarinsson,G. Þórarinsson,D,4,183,59,M,66758,EUR,703296000,M,4,4,False,45.0,40.0,1.0,1.0,0.0,23.0,26.0,17.0,19.0,7.0,2.0,,2.0,,,,,89.0,56.0,6.3,7.0,0.0448958,162.34346454065,19.0,61.635,13.335,,2,,-0.01,0.17,-0.23,,3.0,1.0,3.0,2.0,,1.0,1.0,,,2.0,0.0347,1.0,-0.2,,,,,2.0,,1.0,1.0,,,,,,,,,,,,
14573129,home,FC Noah,Marin Jakoliš,marin-jakolis,M. Jakoliš,M,47,182,547,M,319149,EUR,851558400,M,47,47,False,16.0,10.0,1.0,1.0,0.0,3.0,4.0,7.0,12.0,2.0,1.0,,3.0,,,,,72.0,32.0,6.5,15.0,0.147432,80.418906828546,10.0,35.91,14.595,,3,,0.06,0.24,-0.12,,7.0,,,4.0,1.0,,1.0,1.0,1.0,,0.1569,1.0,-0.35,,,,1.0,,1.0,2.0,2.0,,,,2.0,0.0928,,,,,,,
14573129,home,FC Noah,Matheus Aiás,matheus-aias,M. Aiás,F,9,175,296,M,899902,EUR,851904000,F,9,9,False,15.0,9.0,,,0.0,3.0,5.0,6.0,10.0,5.0,1.0,,2.0,,,,,72.0,37.0,7.4,9.0,0.0221582,72.836222024099,7.0,47.775,34.755,,6,,-0.36,0.41,-0.06,,,,3.0,7.0,4.0,,1.0,1.0,2.0,1.0,0.702,1.0,0.52,,,,,1.0,4.0,3.0,2.0,,,,1.0,0.6128,1.0,1.0,,,,,
