match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_dispossessed,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_outfielderBlock,player_firstName,player_lastName,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_hitWoodwork,stat_bigChanceCreated
11252722,home,Sacramento Republic FC,Danny Vitiello,danny-vitiello,D. Vitiello,G,1,185,8,M,1025208,EUR,826070400,G,31,31,False,18.0,15.0,6.0,3.0,15.0,15.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,90.0,28.0,5.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252722,home,Sacramento Republic FC,Jared Timmer,jared-timmer,J. Timmer,D,5,183,3,M,881855,EUR,862272000,D,5,5,False,82.0,71.0,10.0,7.0,44.0,47.0,35.0,2.0,6.0,1.0,,,,7.0,2.0,,90.0,94.0,6.8,12.0,0,27.0,1.0,6.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11252722,home,Sacramento Republic FC,Conor Donovan,conor-donovan,C. Donovan,D,20,188,6,M,790162,EUR,821059200,D,24,24,False,40.0,35.0,3.0,2.0,27.0,29.0,11.0,5.0,3.0,,,,1.0,,1.0,,78.0,46.0,6.0,7.0,0,8.0,2.0,,,,2.0,,True,2.0,1.0,,,,,,,,,,,,,,,,,
11252722,home,Sacramento Republic FC,Shane Wiedt,shane-wiedt,S. Wiedt,D,4,191,2,M,1025204,EUR,806112000,D,6,6,False,36.0,33.0,4.0,3.0,23.0,23.0,13.0,4.0,4.0,,,,,3.0,1.0,,62.0,40.0,5.5,4.0,0,10.0,1.0,,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
11252722,home,Sacramento Republic FC,Jack Gurr,jack-gurr,J. Gurr,M,2,173,11,M,1025224,EUR,817344000,M,2,2,False,66.0,42.0,16.0,6.0,17.0,18.0,57.0,3.0,4.0,,,,1.0,3.0,2.0,,90.0,96.0,7.0,33.0,3,27.0,1.0,,1.0,1.0,,2.0,,1.0,2.0,1.0,9.0,2.0,2.0,1.0,,,,,,,,,,,,
11252722,home,Sacramento Republic FC,Russell Cicerone,russell-cicerone,R. Cicerone,F,11,178,10,M,873510,EUR,785030400,M,11,11,False,24.0,18.0,3.0,1.0,6.0,7.0,17.0,8.0,4.0,2.0,1.0,1.0,,3.0,,,78.0,36.0,6.2,12.0,1,12.0,3.0,,,,1.0,2.0,,2.0,3.0,,,,,,1.0,2.0,1.0,,,,,,,,,
11252722,home,Sacramento Republic FC,Arnold Lopez,arnold-lopez,A. Lopez,M,,170,8,M,270271,EUR,785635200,M,29,29,False,71.0,60.0,11.0,7.0,33.0,35.0,38.0,4.0,5.0,1.0,,,,8.0,2.0,,86.0,80.0,6.9,14.0,1,27.0,1.0,1.0,2.0,1.0,,2.0,,3.0,,,2.0,,1.0,,,1.0,,,,,,,,,,
11252722,home,Sacramento Republic FC,Luis Fernandes,fernandes-luis,L. Fernandes,M,96,186,8,M,844543,EUR,822873600,M,96,96,False,32.0,24.0,3.0,2.0,6.0,8.0,26.0,7.0,8.0,2.0,,,,8.0,1.0,,86.0,55.0,6.6,15.0,4,18.0,3.0,3.0,4.0,2.0,1.0,,,1.0,3.0,,2.0,,1.0,3.0,,1.0,,1.0,,,,,,,,
11252722,home,Sacramento Republic FC,Aldair Sanchez,aldair-sanchez,A. Sanchez,M,3,173,10,M,1025372,EUR,1023321600,M,40,40,False,56.0,46.0,1.0,,22.0,24.0,33.0,4.0,2.0,,,,,6.0,1.0,,90.0,76.0,6.2,16.0,0,25.0,1.0,1.0,,,1.0,2.0,,,3.0,,1.0,1.0,,,,3.0,1.0,,,,,,,,,
11252722,home,Sacramento Republic FC,Keko,keko,Keko,F,,177,27,M,42802,EUR,693792000,F,7,7,False,57.0,44.0,12.0,9.0,11.0,11.0,46.0,9.0,3.0,1.0,,,,3.0,2.0,,90.0,76.0,7.3,20.0,3,33.0,,,1.0,,4.0,1.0,,,4.0,1.0,,,,1.0,2.0,2.0,,,,,,,,,,
