match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_outfielderBlock,player_firstName,player_lastName,stat_clearanceOffLine,player_sofascoreId,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_errorLeadToAShot,stat_hitWoodwork
12530830,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,True,44.0,22.0,33.0,11.0,0.0,13.0,15.0,9.0,29.0,2.0,2.0,3.0,7.0,1.0,1.0,1.0,2.0,90.0,53.0,7.0,22.0,0.00292293,0,0.3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530830,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,,41.0,30.0,8.0,3.0,0.0,14.0,19.0,16.0,23.0,,5.0,5.0,2.0,,,,,90.0,63.0,7.2,14.0,0.0661046,0,,1.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12530830,home,Beşiktaş JK,Tayyip Talha Sanuç,tayyip-talha-sanuc,T. T. Sanuç,D,23,188,911,M,851909,EUR,945388800,D,5,5,False,,33.0,27.0,6.0,3.0,0.0,20.0,25.0,7.0,8.0,3.0,4.0,6.0,3.0,,,,,70.0,44.0,7.2,6.0,0.00239033,0,,,3.0,4.0,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12530830,home,Beşiktaş JK,Emirhan Topçu,emirhan-topcu,E. Topçu,D,53,188,2617,M,895009,EUR,971222400,D,53,53,False,,53.0,44.0,13.0,6.0,0.0,34.0,36.0,10.0,18.0,3.0,3.0,3.0,6.0,,,,,90.0,62.0,7.5,11.0,0.0560673,0,,1.0,2.0,4.0,1.0,2.0,,,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,
12530830,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,,37.0,24.0,8.0,2.0,1.0,11.0,14.0,15.0,28.0,1.0,6.0,2.0,6.0,,,,,90.0,65.0,7.4,21.0,0.0618745,0,,5.0,,2.0,,1.0,3.0,1.0,1.0,,2.0,1.0,,,,masuaku26,2.0,2.0,2.0,2.0,,,,,,,,,,,,
12530830,home,Beşiktaş JK,Salih Uçan,salih-ucan,S. Uçan,M,8,182,1367,M,135695,EUR,757814400,M,8,8,False,,32.0,25.0,8.0,4.0,0.0,9.0,10.0,16.0,23.0,1.0,5.0,,8.0,,,,,70.0,42.0,6.9,11.0,0.0189664,1,,1.0,1.0,5.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,1.0,0.015,0.0963,,,,,,,,
12530830,home,Beşiktaş JK,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2806,M,868958,EUR,828748800,M,6,6,False,,52.0,46.0,4.0,2.0,0.0,27.0,28.0,19.0,24.0,1.0,2.0,1.0,8.0,,,,,90.0,58.0,7.1,6.0,0.0171814,1,,,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,0.0585,,1.0,,,,,,,
12530830,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3712,M,800411,EUR,835920000,M,7,7,False,,25.0,18.0,4.0,4.0,0.0,8.0,8.0,10.0,18.0,,4.0,,4.0,,,,,78.0,38.0,6.9,11.0,0.0312877,2,,1.0,,1.0,,1.0,3.0,,2.0,1.0,1.0,,,,,MRashica,,1.0,,1.0,,,0.0651,,1.0,1.0,,,,,,
12530830,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,,21.0,15.0,2.0,,0.0,3.0,4.0,12.0,18.0,1.0,11.0,1.0,3.0,,,,,90.0,38.0,7.5,10.0,0.216122,0,,1.0,1.0,4.0,,,2.0,1.0,2.0,5.0,4.0,,,,,gedson_83,,3.0,3.0,2.0,,,,,,,1.0,,,,,
12530830,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,17005,M,252577,EUR,737596800,M,27,27,False,,31.0,27.0,2.0,1.0,0.0,8.0,9.0,20.0,24.0,,5.0,,4.0,,,,,89.0,47.0,7.4,10.0,0.2032,3,,2.0,1.0,6.0,1.0,,2.0,2.0,1.0,2.0,,,,,,Rafa_Silva,1.0,4.0,1.0,3.0,1.0,2.0,0.6343,0.3633,1.0,,,1.0,1.0,,,
