match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_goalAssist
11399416,home,NEC Nijmegen,Jasper Cillessen,,,jasper-cillessen,J. Cillessen,G,22,185,1498,M,123865,EUR,609206400,G,1,1,False,33.0,25.0,14.0,6.0,20.0,23.0,5.0,10.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,3.0,1.0,90.0,45.0,7.1,9.0,0.00185498,0,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Bart van Rooij,,,bart-van-rooij,B. v. Rooij,D,28,174,343,M,946506,EUR,990835200,D,28,28,False,51.0,46.0,1.0,1.0,30.0,33.0,18.0,25.0,,5.0,4.0,1.0,2.0,4.0,,,,,90.0,75.0,7.1,12.0,0.151417,3,,7.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0903,2.0,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Philippe Sandler,,,philippe-sandler,P. Sandler,D,3,188,233,M,842275,EUR,855532800,D,3,3,False,74.0,69.0,5.0,3.0,45.0,48.0,24.0,26.0,4.0,2.0,7.0,,3.0,2.0,,,,,83.0,86.0,7.8,5.0,0.29068,0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,
11399416,home,NEC Nijmegen,Bram Nuytinck,,,bram-nuytinck,B. Nuytinck,D,17,190,135,M,70930,EUR,641779200,D,17,17,False,92.0,85.0,9.0,5.0,74.0,79.0,11.0,13.0,3.0,2.0,5.0,,3.0,6.0,,,,,90.0,102.0,7.2,8.0,0.0155875,0,,,,2.0,,,,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,
11399416,home,NEC Nijmegen,Calvin Verdonk,,,calvin-verdonk,C. Verdonk,D,24,174,14345,M,361780,EUR,862012800,D,24,24,False,78.0,65.0,11.0,4.0,41.0,50.0,24.0,30.0,,2.0,6.0,,,8.0,,,,,90.0,108.0,7.6,17.0,0.0339929,0,,2.0,,1.0,,,,,,1.0,5.0,5.0,1.0,,,2.0,1.0,,c.verdonk,,,,,,,,
11399416,home,NEC Nijmegen,Lasse Schöne,,,lasse-schone,L. Schöne,M,,178,570,M,10077,EUR,517536000,M,20,20,False,48.0,44.0,1.0,1.0,16.0,18.0,29.0,34.0,,3.0,1.0,2.0,1.0,6.0,,,,,83.0,56.0,6.9,8.0,0.210278,0,,4.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,True,,,,,,,
11399416,home,NEC Nijmegen,Dirk Proper,,,dirk-proper,D. Proper,M,71,167,193,M,961685,EUR,1014508800,M,71,71,False,57.0,50.0,2.0,1.0,25.0,28.0,25.0,29.0,2.0,4.0,8.0,2.0,3.0,11.0,,,,,90.0,71.0,7.6,8.0,0.525301,1,,,,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,0.0365,2.0,,3.0,1.0,,,,,,,,,
11399416,home,NEC Nijmegen,Sontje Hansen,,,sontje-hansen,S. Hansen,M,27,172,611,M,1199057,EUR,1021680000,M,10,10,False,32.0,25.0,,,5.0,6.0,20.0,28.0,,6.0,2.0,,,1.0,,,,,89.0,45.0,6.7,14.0,0.194162,1,,2.0,,2.0,4.0,2.0,,,1.0,,,,,0.0934,2.0,,,1.0,,,2.0,,,,,,
11399416,home,NEC Nijmegen,Magnus Mattsson,,,magnus-mattsson,M. Mattsson,M,8,174,794,M,896117,EUR,919900800,M,8,8,False,28.0,25.0,,,13.0,14.0,13.0,15.0,1.0,4.0,7.0,,,7.0,,,,,90.0,50.0,7.1,13.0,0.0719336,3,,1.0,1.0,1.0,3.0,2.0,,,2.0,1.0,2.0,,1.0,0.2796,2.0,,2.0,6.0,,,1.0,1.0,0.396,,,,
11399416,home,NEC Nijmegen,Youri Baas,,,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,M,5,5,False,21.0,16.0,2.0,1.0,6.0,7.0,10.0,14.0,1.0,5.0,5.0,2.0,,4.0,,,,,72.0,39.0,6.9,12.0,0.0194025,2,,,,,1.0,,,,,1.0,2.0,2.0,,0.2136,1.0,1.0,2.0,4.0,,,2.0,2.0,0.1454,1.0,,,
11399416,home,NEC Nijmegen,Koki Ogawa,,,koki-ogawa,K. Ogawa,F,18,186,1469,M,831860,EUR,870998400,F,18,18,False,14.0,9.0,,,2.0,6.0,7.0,8.0,8.0,4.0,9.0,,5.0,,,,,,90.0,32.0,7.1,10.0,0.0434661,4,,,,2.0,1.0,,,2.0,1.0,,,,1.0,0.2632,,,1.0,3.0,,,1.0,1.0,0.1971,,2.0,,
11399416,home,NEC Nijmegen,Elayis Tavsan,,,elayis-tavsan,E. Tavsan,F,7,183,301,M,929631,EUR,988588800,F,7,7,True,3.0,2.0,,,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,1.0,1.0,,,,,18.0,8.0,6.7,3.0,0.00096143,0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,
11399416,home,NEC Nijmegen,Mathias Ross,,,mathias-ross,M. Ross,D,2,190,376,M,918435,EUR,979516800,D,4,4,True,3.0,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,11.0,6.0,7.2,2.0,9.73e-06,1,,,,,,,,,,1.0,,,1.0,0.1066,,,,1.0,,,,1.0,0.2467,,,1.0,
11399416,home,NEC Nijmegen,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181,102,M,893748,EUR,887760000,M,6,6,True,1.0,1.0,,,,,3.0,3.0,,,1.0,,1.0,,,,,,11.0,5.0,7.2,,0.213962,0,,2.0,2.0,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0
11399416,home,NEC Nijmegen,Rober González,,,rober-gonzalez,R. González,M,11,169,147,M,910022,EUR,978739200,M,11,11,True,2.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,4.0,,2.0,8.69e-06,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Rijk Janse,,,rijk-janse,R. Janse,G,31,189,36,M,1066313,EUR,1018915200,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Robin Roefs,,,robin-roefs,R. Roefs,G,22,193,2142,M,1012928,EUR,1042761600,G,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,,178,82,M,795221,EUR,772761600,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Lars Olden Larsen,,,lars-olden-larsen,L. O. Larsen,M,7,175,133,M,877456,EUR,905990400,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,home,NEC Nijmegen,Kodai Sano,Kodai Sano,,kodai-sano,K. Sano,M,23,176,1274,M,1184054,EUR,1064448000,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,away,Go Ahead Eagles,Jeffrey de Lange,,,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,35.0,26.0,12.0,4.0,25.0,28.0,1.0,7.0,,,,,,10.0,,4.0,4.0,,90.0,46.0,7.1,9.0,0.00023526,0,-0.0148,,,,,,,,,,,,,,,,,,,,,,,,,,
11399416,away,Go Ahead Eagles,Mats Deijl,,,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,30.0,25.0,4.0,,16.0,18.0,10.0,14.0,2.0,3.0,3.0,1.0,2.0,3.0,,,,,90.0,59.0,6.6,12.0,0.0324574,0,,2.0,1.0,,1.0,,,,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
11399416,away,Go Ahead Eagles,Jamal Amofa,Jamal Amofa,,jamal-amofa,J. Amofa,D,6,185,110,M,1049653,EUR,911952000,D,25,25,False,39.0,31.0,6.0,2.0,23.0,24.0,8.0,15.0,,5.0,3.0,,4.0,5.0,,,,,90.0,49.0,6.8,8.0,0.0108447,0,,,,2.0,1.0,1.0,,,,,2.0,2.0,3.0,,,1.0,,,,,,,,,,,
