match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_totalCross,stat_interceptionWon,stat_accurateCross,stat_keyPass,stat_wonContest,stat_unsuccessfulTouch,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,captain,stat_punches,stat_bigChanceCreated,stat_goals,stat_lastManTackle,stat_bigChanceMissed
12499284,home,Venezia,Jesse Joronen,jesse-joronen,J. Joronen,G,66,197,329,M,97978,EUR,732672000,G,1,1,False,31.0,20.0,13.0,2.0,0.0,19.0,23.0,1.0,8.0,1.0,9.0,3.0,2.0,4.0,90.0,47.0,7.3,12.0,0.00036743,0,0.5613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499284,home,Venezia,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19111,M,933641,EUR,959904000,D,4,4,False,33.0,30.0,2.0,2.0,0.0,18.0,20.0,12.0,13.0,3.0,3.0,,,,90.0,51.0,7.5,4.0,0.00981838,2,,,,jayidzes,2.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.1229,,,,,,,,,,,,,,,,,,,,
12499284,home,Venezia,Michael Svoboda,michael-svoboda,M. Svoboda,D,30,195,196,M,888340,EUR,908409600,D,30,30,False,48.0,39.0,3.0,1.0,0.0,30.0,37.0,9.0,11.0,2.0,3.0,,,,90.0,59.0,6.8,10.0,0.0161965,0,,,,,3.0,7.0,4.0,10.0,,,,,1.0,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
12499284,home,Venezia,Marin Šverko,marin-sverko,M. Šverko,D,33,186,248,M,822485,EUR,886550400,D,33,33,False,25.0,22.0,1.0,,0.0,15.0,16.0,7.0,10.0,4.0,2.0,,,,77.0,39.0,6.9,6.0,0.00832674,0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
12499284,home,Venezia,Antonio Candela,candela-antonio,A. Candela,D,26,182,271,M,862464,EUR,956793600,M,27,27,False,20.0,18.0,1.0,,0.0,13.0,15.0,6.0,8.0,,3.0,,,,87.0,28.0,6.6,5.0,0.0282801,1,,,,,3.0,,4.0,1.0,1.0,1.0,,,,,,0.1312,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,
12499284,home,Venezia,Alfred Duncan,alfred-duncan,A. Duncan,M,32,178,572,M,232224,EUR,731721600,M,32,32,False,58.0,47.0,6.0,3.0,0.0,26.0,29.0,22.0,31.0,,7.0,,,,90.0,78.0,7.3,17.0,0.145083,0,,,,,,2.0,5.0,10.0,4.0,,,,,2.0,2.0,,1.0,4.0,2.0,,2.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,
12499284,home,Venezia,Hans Nicolussi Caviglia,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184,1622,M,876259,EUR,961286400,M,14,14,False,44.0,34.0,2.0,,0.0,19.0,21.0,16.0,24.0,,5.0,,,,63.0,52.0,7.4,11.0,0.0438616,4,,,,,1.0,2.0,3.0,4.0,1.0,1.0,,,,,1.0,0.2327,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,3.0,0.8204,,,,,,,
12499284,home,Venezia,Francesco Zampano,francesco-zampano,F. Zampano,M,7,177,142,M,235656,EUR,749347200,M,7,7,False,29.0,23.0,5.0,4.0,0.0,13.0,16.0,10.0,16.0,1.0,7.0,,,,90.0,47.0,7.1,10.0,0.0238723,0,,,,,,,1.0,6.0,1.0,,,,,2.0,,,1.0,3.0,2.0,1.0,3.0,2.0,,1.0,1.0,,,,,2.0,,,,,,
12499284,home,Venezia,Gaetano Oristanio,gaetano-oristanio,G. Oristanio,F,21,174,968,M,965009,EUR,1033171200,F,11,11,False,13.0,12.0,,,0.0,5.0,5.0,8.0,11.0,1.0,1.0,,,,76.0,37.0,6.8,11.0,0.0118276,0,,,,,3.0,,9.0,5.0,6.0,,,,,2.0,,,3.0,,,,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,
12499284,home,Venezia,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182,433,M,933203,EUR,1015804800,F,77,77,False,12.0,7.0,,,0.0,1.0,1.0,6.0,11.0,2.0,1.0,,,,90.0,25.0,7.0,7.0,0.0336851,2,,,,,,,2.0,5.0,,1.0,1.0,,,3.0,2.0,0.1923,,2.0,,,,,,1.0,,2.0,,,,,,,,,,
