match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_fouls,player_firstName,player_lastName,stat_outfielderBlock,stat_keyPass,stat_aerialLost,stat_interceptionWon,stat_wonTackle,captain,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,player_sofascoreId,stat_wonContest,stat_blockedScoringAttempt,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_goals
11369463,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,25.0,11.0,21.0,7.0,7.0,8.0,4.0,17.0,1.0,1.0,12.0,1.0,1.0,5.0,7.0,1.0,1.0,90.0,41.0,7.7,15.0,0.00187958,0,-0.0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369463,home,Getafe,Damián Suárez,damian-suarez,D. Suárez,D,22,172,368,M,36982,EUR,578102400,D,22,22,False,45.0,35.0,6.0,3.0,13.0,15.0,22.0,34.0,,3.0,4.0,,,,,,,90.0,67.0,5.8,20.0,0.0121715,0,,4.0,10.0,6.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11369463,home,Getafe,Domingos Duarte,domingos-duarte,D. Duarte,D,22,191,695,M,576276,EUR,794793600,D,6,6,False,25.0,20.0,4.0,2.0,12.0,13.0,8.0,12.0,1.0,1.0,2.0,,1.0,,,,,45.0,27.0,6.6,6.0,0.00539675,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11369463,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187,5163,M,805137,EUR,851558400,D,15,15,False,53.0,42.0,11.0,5.0,28.0,32.0,14.0,21.0,1.0,1.0,5.0,,,,,,,90.0,56.0,6.4,12.0,0.0138628,0,,,3.0,,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
11369463,home,Getafe,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184,491,M,980578,EUR,953856000,D,4,4,False,29.0,25.0,4.0,1.0,16.0,18.0,9.0,11.0,,3.0,5.0,,1.0,,,,,90.0,45.0,6.3,7.0,0.00285327,0,,,4.0,1.0,,1.0,1.0,3.0,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11369463,home,Getafe,José Ángel Carmona,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,M,18,18,False,17.0,12.0,,,2.0,3.0,10.0,15.0,,1.0,2.0,,3.0,,,,,45.0,27.0,6.1,11.0,0.00347348,0,,1.0,4.0,,2.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11369463,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,M,2,2,False,25.0,24.0,1.0,1.0,8.0,8.0,16.0,17.0,2.0,3.0,1.0,,,,,,,45.0,27.0,6.6,1.0,0.00737592,0,,,2.0,,,,1.0,1.0,2.0,,,,,,,1.0,True,,,,,,,,,,,,,,,,,
11369463,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,False,55.0,49.0,5.0,3.0,19.0,20.0,31.0,40.0,2.0,6.0,8.0,,,,,,,90.0,78.0,7.2,12.0,0.131746,1,,5.0,6.0,,1.0,,,3.0,1.0,,,1.0,1.0,4.0,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,0.0991,,,,,,,,,,,
11369463,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184,1287,M,331449,EUR,791078400,M,20,20,False,31.0,27.0,1.0,1.0,9.0,10.0,18.0,21.0,1.0,1.0,,,,,,,,88.0,35.0,6.5,4.0,0.0188897,1,,,3.0,,,,1.0,,1.0,,,,,2.0,,,,,,,1.0,,0.0543,,,,,,,,,,,
11369463,home,Getafe,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,942116,EUR,1001894400,F,12,12,False,45.0,39.0,3.0,3.0,9.0,10.0,30.0,36.0,1.0,4.0,4.0,,1.0,,,,,90.0,57.0,7.2,10.0,0.0211624,5,,1.0,2.0,,,3.0,,,,,,,,,,,,,,,4.0,2.0,0.1263,MGreenwood,1.0,1.0,1.0,,,,,,,
